,namespace,grade,Número de exercícios por turma
304,colegioguilhermedealmeida,em 3a serie,62.0
305,physicsumarizal,em 1a serie,62.0
306,universobarcarena,em 3a serie,61.5
307,colegiodasamericas,em 3a serie,61.0
308,colegiojoaopaulo,ef 8o ano,61.0
309,acessosantafelicidade,em 1a serie,61.0
310,acessosjpinhais,ef 6o ano,60.333333333333336
311,colegiocb,ef 4o ano,60.0
312,acessofazendariogrande,ef 7o ano,60.0
313,santamariacn,em 3a serie,60.0
314,overzonanorte,em 3a serie,60.0
315,cem,em 2a serie,60.0
316,overzonanorte,outro,60.0
317,acessofazendariogrande,em 1a serie,59.0
318,acessoalmirantetamandare,em 1a serie,59.0
319,physicsumarizal,em 2a serie,58.0
320,amadeus,ef 9o ano,58.0
321,physicsbatistacampos,outro,57.4
322,colegioiguatemy,ef 9o ano,57.0
323,colegioguilhermedealmeida,ef 4o ano,56.333333333333336
324,positivoon,em 3a serie,56.0
325,villalobos,ef 6o ano,56.0
326,stellamarisxaxim,ef 4o ano,55.5
327,casdvest,outro,55.333333333333336
328,acessosjpinhais,ef 8o ano,55.333333333333336
329,acessoboqueirao,ef 9o ano,55.25
330,colegioguilhermedealmeida,ef 3o ano,55.0
331,colegiobrasilia,ef 2o ano,55.0
332,colegioeag,ef 9o ano,55.0
333,colegiocb,ef 6o ano,54.5
334,cem,ef 7o ano,54.0
335,villalobos,em 1a serie,53.5
336,universobarcarena,em 2a serie,53.5
337,portinari,ef 9o ano,53.2
338,acessopinhais,outro,53.0
339,colegiodasamericas,ef 2o ano,53.0
340,colegioeag,ef 7o ano,53.0
341,eccos,ef 4o ano,53.0
342,acessopinhais,em 3a serie,53.0
343,eccos,ef 9o ano,52.5
344,ceabb,ef 6o ano,51.0
345,ceabb,ef 9o ano,51.0
346,physicsalcindocacela,ef 9o ano,51.0
347,physicsalcindocacela,em 1a serie,51.0
348,liessinbarra,ef 8o ano,51.0
349,colegiouirapuru,em 3a serie,51.0
350,eacorcovado,ef 6o ano,50.666666666666664
351,colegioecursoprogressao,ef 6o ano,50.0
352,colegioensitec,ef 8o ano,50.0
353,colegioguilhermedealmeida,ef 7o ano,50.0
354,cursoenfase,outro,49.666666666666664
355,colegiouniverso,ef 9o ano,49.0
356,cem,ef 8o ano,49.0
357,stellamarisxaxim,ef 2o ano,49.0
358,progressaoig,em 1a serie,49.0
359,colegioguilhermedealmeida,ef 9o ano,49.0
360,progressaoig,ef 9o ano,49.0
361,colegiosete,ef 9o ano,48.0
362,mariliamattoso,em 3a serie,48.0
363,acessosjpinhais,ef 2o ano,48.0
364,physicsaugustomontenegro,infantil i,48.0
365,colegiocb,ef 8o ano,48.0
366,physicsalmirantebarroso,outro,47.75
367,acessosjpinhais,ef 7o ano,47.666666666666664
368,universitariolondrina,ef 9o ano,47.0
369,overabelcabral,em 1a serie,46.0
370,stellamarisaguaverde,ef 3o ano,46.0
371,abdiasmartins,ef 9o ano,46.0
372,colegiobetelbrasileirosp,ef 4o ano,45.5
373,physicscidadenova,em 1a serie,45.333333333333336
374,physicsumarizal,outro,45.0
375,objetivolorena,em 1a serie,45.0
376,colegiobilac,ef 6o ano,45.0
377,colegiosete,ef 6o ano,45.0
378,colegiopremium,ef 7o ano,45.0
379,physicscidadenova,em 2a serie,44.333333333333336
380,portinari,ef 6o ano,44.0
381,colegioeag,ef 1o ano,44.0
382,colegiobrasilia,ef 7o ano,43.5
383,acessoboqueirao,em 1a serie,43.5
384,porto,ef 7o ano,43.333333333333336
385,colegiojoaopaulo,ef 9o ano,43.0
386,universobarcarena,em 1a serie,43.0
387,colegioeag,ef 6o ano,43.0
388,ceabb,ef 8o ano,42.0
389,alpha,ef 2o ano,42.0
390,abdiasmartins,ef 6o ano,42.0
391,colegioguilhermedealmeida,ef 6o ano,42.0
392,colegiobilac,ef 4o ano,42.0
393,colegiobilac,ef 9o ano,42.0
394,cem,ef 9o ano,42.0
395,eacorcovado,ef 9o ano,41.333333333333336
396,nucleocriativo,ef 6o ano,41.0
397,nucleocriativo,em 1a serie,41.0
398,nucleocriativo,ef 7o ano,41.0
399,acessosantafelicidade,ef 9o ano,41.0
400,eacorcovado,outro,41.0
401,nucleocriativo,ef 8o ano,41.0
402,nucleocriativo,ef 9o ano,41.0
403,eccos,ef 6o ano,41.0
404,eccos,ef 5o ano,41.0
405,colegioecursoprogressao,ef 8o ano,40.0
406,valdemiracoelho,ef 9o ano,40.0
407,colegiodasamericas,ef 6o ano,39.666666666666664
408,colegiointegral,ef 2o ano,39.25
409,sistemadeensinogpi,em 3a serie,39.0
410,acessofazendariogrande,ef 8o ano,39.0
411,acessofazendariogrande,outro,39.0
412,acessofazendariogrande,em 3a serie,39.0
413,antoniomelo,ef 7o ano,39.0
414,santoamerico,em 1a serie,38.6
415,litteratus,em 3a serie,38.0
416,objetivolorena,em 2a serie,38.0
417,stellamarisxaxim,ef 8o ano,38.0
418,overmarciliofurtado,em 3a serie,37.0
419,colegiojoaopaulo,em 2a serie,36.666666666666664
420,colegiobrasilia,ef 8o ano,36.5
421,objetivolorena,ef 5o ano,36.0
422,acessocampolargo,outro,36.0
423,overabelcabral,em 3a serie,36.0
424,acessocampolargo,em 3a serie,36.0
425,overabelcabral,em 2a serie,36.0
426,colegiodasamericas,ef 5o ano,35.333333333333336
427,colegioguilhermedealmeida,ef 1o ano,35.0
428,physicsmacapa,ef 7o ano,35.0
429,apogeustoantonio2,ef 9o ano,35.0
430,acessoalmirantetamandare,ef 9o ano,35.0
431,stellamarisxaxim,ef 9o ano,34.0
432,stellamarisjuveve,ef 5o ano,33.666666666666664
433,acessohauer,ef 7o ano,33.666666666666664
434,colegiodasamericas,ef 9o ano,33.5
435,psantagema,ef 6o ano,33.4
436,santoamerico,outro,33.166666666666664
437,stellamarisjuveve,ef 4o ano,33.0
438,colegiobilac,ef 7o ano,33.0
439,stellamarisxaxim,em 3a serie,33.0
440,eacorcovado,ef 7o ano,33.0
441,integradaeducativa,ef 6o ano,33.0
442,spdacruz,em 1a serie,32.666666666666664
443,acessosjpinhais,ef 5o ano,32.5
444,colegiopremium,ef 9o ano,32.0
445,acessoalmirantetamandare,ef 7o ano,32.0
446,colegiopremium,ef 8o ano,32.0
447,colegiopremium,ef 6o ano,32.0
448,physicsalmirantebarroso,em 3a serie,31.5
449,colegiojoaopaulo,em 3a serie,31.0
450,acessofazendariogrande,ef 5o ano,31.0
451,ceespacolivre,em 2a serie,31.0
452,colegiojoaopaulo,ef 5o ano,31.0
453,overpontanegra,em 3a serie,31.0
454,cicerofranklin,ef 2o ano,30.0
455,physicsconselheirofurtado,em 2a serie,30.0
456,physicsmacapa,ef 8o ano,30.0
457,colegiouniverso,outro,30.0
458,invictus,em 2a serie,30.0
459,integra,ef 4o ano,30.0
460,colegioensitec,ef 3o ano,30.0
461,acessocampolargo,ef 8o ano,29.0
462,physicsumarizal,em 3a serie,29.0
463,colegioensitec,ef 4o ano,29.0
464,colegiocb,ef 9o ano,29.0
465,mariliamattoso,em 1a serie,29.0
466,colegioecursoprogressao,ef 7o ano,29.0
467,eccos,ef 3o ano,29.0
468,invictus,em 3a serie,29.0
469,colegiodasamericas,ef 7o ano,29.0
470,acessoalmirantetamandare,ef 6o ano,28.0
471,physicsmacapa,ef 9o ano,28.0
472,colegiocb,ef 7o ano,28.0
473,navegasas,ef 5o ano,27.0
474,overabelcabral,ef 7o ano,27.0
475,colegiouirapuru,em 1a serie,27.0
476,valdemiracoelho,ef 6o ano,27.0
477,liessin,ef 8o ano,26.666666666666668
478,acessosantafelicidade,ef 8o ano,26.0
479,physicsmacapa,em 1a serie,26.0
480,objetivolorena,em 3a serie,26.0
481,stellamarisxaxim,ef 5o ano,26.0
482,educamais,ef 7o ano,26.0
483,qescola,ef 5o ano,26.0
484,portinari,ef 8o ano,25.75
485,moaciralves,ef 7o ano,25.333333333333332
486,colegiobrasilia,em 2a serie,25.0
487,invictus,em 1a serie,25.0
488,acessoalmirantetamandare,ef 5o ano,25.0
489,psantagema,ef 7o ano,24.4
490,moaciralves,ef 9o ano,24.0
491,colegiofuturageracao,ef 7o ano,24.0
492,spdacruz,ef 9o ano,24.0
493,overmarciliofurtado,em 2a serie,24.0
494,overmarciliofurtado,em 1a serie,23.5
495,colegiouirapuru,ef 9o ano,23.0
496,objetivolorena,ef 8o ano,23.0
497,educamais,ef 6o ano,23.0
498,professoratalitha,outro,23.0
499,acessosantafelicidade,ef 5o ano,23.0
500,overpontanegra,ef 8o ano,23.0
501,colegiofuturageracao,ef 8o ano,23.0
502,integradaeducativa,ef 7o ano,22.333333333333332
503,ceprimeiromundo,em 1a serie,22.0
504,colegiojoaopaulo,em 1a serie,22.0
505,senhorbonfim,ef 9o ano,22.0
506,colegiodasamericas,ef 8o ano,21.5
507,progressaodc,outro,21.0
508,acessocampolargo,ef 7o ano,21.0
509,integra,ef 1o ano,20.0
510,objetivolorena,outro,20.0
511,mariliamattoso,ef 7o ano,19.5
512,colegiobrasilia,infantil ii,19.5
513,colegiouniverso,ef 6o ano,19.0
514,physicsconselheirofurtado,em 3a serie,19.0
515,colegiobrasilia,em 3a serie,19.0
516,physicsaugustomontenegro,em 1a serie,19.0
517,objetivolorena,ef 9o ano,18.5
518,colegiouniverso,ef 8o ano,18.0
519,colegiojoaopaulo,ef 7o ano,18.0
520,overmossoro,ef 7o ano,18.0
521,acessohauer,ef 6o ano,18.0
522,colegioglobal,em 3a serie,18.0
523,colegiodasamericas,ef 1o ano,17.666666666666668
524,portinari,ef 7o ano,17.6
525,portinari,em 3a serie,17.5
526,colegiouirapuru,em 2a serie,17.5
527,colegioarena,outro,17.0
528,acessoalmirantetamandare,em 3a serie,17.0
529,stellamarisjuveve,ef 2o ano,17.0
530,qescola,ef 1o ano,17.0
531,escolaceciliameireles,ef 6o ano,17.0
532,escolaceciliameireles,ef 5o ano,17.0
533,qescola,ef 9o ano,17.0
534,moaciralves,ef 8o ano,16.5
535,physicsaugustomontenegro,em 2a serie,16.0
536,portinari,ef 5o ano,16.0
