,namespace,grade,Porcentagem de visualização de relatórios de SE por alunos
96,santamariacn,em 3a serie,0.19736842105263158
97,colegioensitec,ef 9o ano,0.197265625
98,portinari,em 2a serie,0.19691358024691358
99,colegioiguatemy,ef 5o ano,0.19642857142857142
100,colegioguilhermedealmeida,em 1a serie,0.19457313037723362
101,colegiobilac,ef 9o ano,0.19318181818181818
102,colegiodasamericas,ef 6o ano,0.19047619047619047
103,colegiodasamericas,ef 9o ano,0.1893939393939394
104,colegioguilhermedealmeida,ef 3o ano,0.18888888888888888
105,overabelcabral,ef 4o ano,0.1875
106,colegioguilhermedealmeida,em 2a serie,0.18653846153846154
107,colegioiguatemy,ef 8o ano,0.18620689655172415
108,colegioiguatemy,ef 9o ano,0.18461538461538463
109,acessofazendariogrande,em 2a serie,0.18441971383147854
110,acessosantafelicidade,ef 3o ano,0.18181818181818182
111,colegiojoaopaulo,ef 9o ano,0.18095238095238095
112,integra,ef 6o ano,0.17857142857142858
113,physicsalcindocacela,ef 9o ano,0.17857142857142858
114,liessinbarra,ef 8o ano,0.17857142857142858
115,mariliamattoso,ef 6o ano,0.1781609195402299
116,psantagema,ef 6o ano,0.1761006289308176
117,overmarciliofurtado,em 2a serie,0.17555555555555555
118,colegioiguatemy,em 1a serie,0.1721132897603486
119,colegiocb,em 3a serie,0.17135549872122763
120,eacorcovado,em 1a serie,0.16911764705882354
121,colegiodasamericas,em 1a serie,0.16825396825396827
122,colegiouirapuru,ef 5o ano,0.16717019133937563
123,overmossoro,ef 7o ano,0.16666666666666666
124,colegioglobal,em 1a serie,0.16666666666666666
125,acessohauer,ef 2o ano,0.16666666666666666
126,master,outro,0.16666666666666666
127,integra,ef 8o ano,0.16666666666666666
128,portinari,ef 9o ano,0.1658583899127061
129,acessofazendariogrande,em 1a serie,0.16420118343195267
130,eacorcovado,ef 9o ano,0.16355140186915887
131,integra,ef 1o ano,0.1625
132,invictus,em 2a serie,0.16071428571428573
133,colegiocb,em 1a serie,0.16042780748663102
134,colegiodasamericas,ef 3o ano,0.16040100250626566
135,colegiocb,ef 4o ano,0.1553672316384181
136,objetivolorena,ef 5o ano,0.15441176470588236
137,spdacruz,em 3a serie,0.15348288075560804
138,colegioensitec,em 2a serie,0.1527777777777778
139,acessocampolargo,em 2a serie,0.15096251266464034
140,colegioeag,ef 9o ano,0.1505922165820643
141,acessopinhais,em 2a serie,0.14879227053140096
142,porto,ef 7o ano,0.14857881136950904
143,acessofazendariogrande,ef 5o ano,0.14814814814814814
144,amadeus,ef 2o ano,0.14782608695652175
145,acessopinhais,em 1a serie,0.14761904761904762
146,acessohauer,ef 7o ano,0.1465648854961832
147,hamiltondarocha,ef 7o ano,0.14655172413793102
148,acessoalmirantetamandare,ef 5o ano,0.1452991452991453
149,eacorcovado,ef 7o ano,0.1452991452991453
150,progressaodc,em 2a serie,0.14421768707482993
151,colegiodasamericas,ef 7o ano,0.14333333333333334
152,colegioeag,ef 6o ano,0.1431159420289855
153,colegioguilhermedealmeida,ef 2o ano,0.14285714285714285
154,porto,ef 8o ano,0.14285714285714285
155,porto,ef 6o ano,0.14188034188034188
156,acessocampolargo,em 1a serie,0.1414267834793492
157,colegiosete,em 1a serie,0.1408695652173913
158,colegiocb,ef 6o ano,0.13949843260188088
159,qescola,ef 9o ano,0.13636363636363635
160,overzonanorte,em 1a serie,0.13636363636363635
161,colegioiguatemy,em 2a serie,0.13565891472868216
162,valdemiracoelho,ef 9o ano,0.1354679802955665
163,psantagema,em 2a serie,0.13526570048309178
164,acessoboqueirao,em 2a serie,0.13516483516483516
165,ceprimeiromundo,em 2a serie,0.1346153846153846
166,colegiouirapuru,em 2a serie,0.13425925925925927
167,jazzvestibular,outro,0.13333333333333333
168,acessosantafelicidade,ef 5o ano,0.1328125
169,acessohauer,ef 4o ano,0.1326530612244898
170,physicsmacapa,ef 8o ano,0.13194444444444445
171,spdacruz,em 2a serie,0.13095238095238096
172,liessin,ef 8o ano,0.13076923076923078
173,stellamarisjuveve,em 2a serie,0.13071895424836602
174,mariliamattoso,em 1a serie,0.13008130081300814
175,gamt,outro,0.12916666666666668
176,colegiodasamericas,em 3a serie,0.12727272727272726
177,colegiodasamericas,ef 5o ano,0.12721417069243157
178,colegiobilac,ef 2o ano,0.12698412698412698
179,progressaoig,em 1a serie,0.12653061224489795
180,mariliamattoso,em 2a serie,0.12612612612612611
181,alpha,ef 9o ano,0.1256887052341598
182,senhorbonfim,ef 6o ano,0.125
183,colegioglobal,em 3a serie,0.125
184,acessosantafelicidade,ef 2o ano,0.125
185,invictus,ef 2o ano,0.125
186,pioxi,em 3a serie,0.125
187,eacorcovado,ef 6o ano,0.12476722532588454
