,namespace,grade,Porcentagem de visualização de relatórios de SE por alunos
541,cem,ef 7o ano,0.017543859649122806
542,colegioecursodesafio,em 1a serie,0.017195767195767195
543,aescobjetivo,em 2a serie,0.017006802721088437
544,stellamarisjuveve,em 3a serie,0.016908212560386472
545,cem,ef 8o ano,0.016666666666666666
546,physicsaugustomontenegro,infantil ii,0.016129032258064516
547,casdinhosjc,ef 9o ano,0.016036120193056204
548,physicscidadenova,em 1a serie,0.015927189988623434
549,universobarcarena,ef 8o ano,0.015873015873015872
550,cem,ef 5o ano,0.015789473684210527
551,villalobos,em 3a serie,0.015715749914588316
552,villalobos,ef 6o ano,0.015572105619498984
553,santoamerico,ef 6o ano,0.015421871017078766
554,santoamerico,ef 8o ano,0.015102305943488145
555,colegiobrasilia,em 3a serie,0.015027322404371584
556,universobarcarena,em 3a serie,0.014991181657848324
557,cem,ef 9o ano,0.014802631578947368
558,ceprimeiromundo,ef 6o ano,0.014778325123152709
559,acessoboqueirao,outro,0.014769765421372719
560,universobarcarena,ef 6o ano,0.014705882352941176
561,joaorosa,ef 6o ano,0.014705882352941176
562,contemporaneocidadeverde,ef 8o ano,0.014285714285714285
563,physicsbatistacampos,ef 1o ano,0.0142602495543672
564,eccos,ef 7o ano,0.014218009478672985
565,adrianochan,outro,0.014072394652490033
566,universitariolondrina,ef 4o ano,0.013880855986119144
567,physicsbatistacampos,ef 3o ano,0.013818181818181818
568,physicscidadenova,ef 3o ano,0.013798701298701298
569,villalobos,ef 7o ano,0.013705583756345178
570,physicsbatistacampos,ef 9o ano,0.013482280431432974
571,colegiobrasilia,ef 1o ano,0.013469827586206896
572,physicscidadenova,em 2a serie,0.01335428122545169
573,physicsconselheirofurtado,em 2a serie,0.013333333333333334
574,physicsaugustomontenegro,em 2a serie,0.013333333333333334
575,colegiojoaopaulo,ef 3o ano,0.01282051282051282
576,macvest,outro,0.012679425837320573
577,joaorosa,ef 7o ano,0.0125
578,porto,em 2a serie,0.012367830823454022
579,stellamarisxaxim,ef 3o ano,0.012275731822474031
580,amadeus,ef 8o ano,0.011969815248503773
581,acessoalmirantetamandare,em 3a serie,0.011904761904761904
582,stellamarisxaxim,ef 2o ano,0.01162176439513999
583,villalobos,outro,0.011369019422074847
584,physicsalmirantebarroso,ef 2o ano,0.011363636363636364
585,acessofazendariogrande,em 3a serie,0.010683760683760684
586,physicsumarizal,em 3a serie,0.01056338028169014
587,colegiobrasilia,ef 9o ano,0.010526315789473684
588,physicsumarizal,ef 9o ano,0.010416666666666666
589,porto,em 3a serie,0.010307692307692308
590,insa,em 2a serie,0.010101010101010102
591,physicsumarizal,em 1a serie,0.009943181818181818
592,physicscidadenova,outro,0.009876543209876543
593,qescola,em 3a serie,0.009592326139088728
594,stellamarisxaxim,ef 4o ano,0.009195402298850575
595,santoamerico,em 3a serie,0.008829242450997704
596,physicsalmirantebarroso,outro,0.008695652173913044
597,physicsbatistacampos,outro,0.00867244829886591
598,physicsalmirantebarroso,ef 9o ano,0.008333333333333333
599,colegiobrasilia,ef 7o ano,0.00809968847352025
600,physicsaugustomontenegro,infantil i,0.008097165991902834
601,objetivolorena,ef 9o ano,0.0074850299401197605
602,physicsumarizal,outro,0.007425742574257425
603,universitariolondrina,outro,0.007376754228139618
604,acessoboqueirao,em 3a serie,0.007200338839474798
605,cem,ef 4o ano,0.007172131147540984
606,physicsalcindocacela,outro,0.0070498915401301515
607,universobarcarena,em 1a serie,0.006979062811565304
608,overmarciliofurtado,em 3a serie,0.006818181818181818
609,stellamarisxaxim,ef 1o ano,0.006578947368421052
610,physicsalmirantebarroso,em 3a serie,0.006289308176100629
611,physicscidadenova,em 3a serie,0.00625
612,acessocampolargo,outro,0.005952380952380952
613,stellamarisxaxim,ef 9o ano,0.005263157894736842
614,colegiobrasilia,infantil ii,0.005025125628140704
615,cem,ef 1o ano,0.004761904761904762
616,gerabixo,outro,0.0046485420481758
617,acessocampolargo,em 3a serie,0.004629629629629629
618,physicsumarizal,em 2a serie,0.0044444444444444444
619,colegiobrasilia,infantil iv,0.004298941798941799
620,colegiouniverso,em 2a serie,0.004081632653061225
621,master,ef 8o ano,0.0040650406504065045
622,universitariolondrina,em 3a serie,0.004025764895330112
623,acessosantafelicidade,em 3a serie,0.003360215053763441
624,educarse,outro,0.003341687552213868
625,acessopinhais,em 3a serie,0.0030959752321981426
626,casdvest,outro,0.002550710555083202
627,physicscidadenova,ef 1o ano,0.0022222222222222222
628,redeinspira,outro,0.0017406440382941688
629,informacao,em 3a serie,0.001717032967032967
630,colegiobrasilia,infantil iii,0.0017105713308244953
631,colegioliceu,em 1a serie,0.001282051282051282
632,stellamarisjuveve,ef 1o ano,0.0009398496240601503
633,cem,ef 2o ano,0.0007326007326007326
634,sagradafamilia,em 2a serie,0.0003338675213675214
635,sagradafamilia,em 1a serie,0.00023781212841854935
636,santadoroteia,em 1a serie,0.00019157088122605365
637,qescola,em 1a serie,6.535947712418301e-05
638,santadoroteia,em 2a serie,5.7234432234432234e-05
639,educamais,ef 7o ano,0.0
640,educamais,ef 6o ano,0.0
641,ceprimeiromundo,ef 4o ano,0.0
642,colegiopremium,ef 4o ano,0.0
643,alpha,outro,0.0
644,colegioliceu,em 2a serie,0.0
645,educamais,ef 8o ano,0.0
646,aridesa,em 3a serie,0.0
647,valdemiracoelho,ef 6o ano,0.0
648,acessoalmirantetamandare,ef 4o ano,0.0
649,ceprimeiromundo,ef 5o ano,0.0
650,eacorcovado,outro,0.0
651,colegiouniverso,outro,0.0
652,colegiointegral,ef 1o ano,0.0
653,cursoisfera,outro,0.0
654,acessoalmirantetamandare,ef 2o ano,0.0
655,contemporaneocidadeverde,ef 9o ano,0.0
656,overabelcabral,ef 3o ano,0.0
657,conexaosaber,ef 5o ano,0.0
658,venceslauchaves,ef 4o ano,0.0
659,conexaosaber,ef 2o ano,0.0
660,acessoalmirantetamandare,ef 3o ano,0.0
661,contemporaneocidadeverde,ef 5o ano,0.0
662,mesalva,em 3a serie,0.0
663,einsteinassis,ef 1o ano,0.0
664,escola,ef 4o ano,0.0
665,sas,em 1a serie,0.0
666,acessosjpinhais,ef 2o ano,0.0
667,pioxi,ef 3o ano,0.0
668,santoagostinholeblon,em 3a serie,0.0
669,progressaodc,outro,0.0
670,rede,ef 9o ano,0.0
671,josesoares,ef 4o ano,0.0
672,qescola,infantil ii,0.0
673,qescola,em 2a serie,0.0
674,josesoares,ef 5o ano,0.0
675,qescola,ef 6o ano,0.0
676,pioxi,outro,0.0
677,albertocabral,ef 5o ano,0.0
678,albertocabral,ef 2o ano,0.0
679,cicerofranklin,ef 2o ano,0.0
680,sas,em 2a serie,0.0
681,sas,outro,0.0
682,sasadapt,ef 6o ano,0.0
683,herciliovilanova,ef 1o ano,0.0
684,novotempo,ef 5o ano,0.0
685,navegasas,ef 5o ano,0.0
686,escolamaster,em 1a serie,0.0
687,meta,outro,0.0
688,escolamaster,em 2a serie,0.0
689,hamiltondarocha,ef 6o ano,0.0
690,albertocabral,ef 1o ano,0.0
691,sasadapt,em 3a serie,0.0
692,informacao,em 2a serie,0.0
693,colegioeag,ef 5o ano,0.0
694,colegiodasamericas,outro,0.0
695,sobral,outro,0.0
696,sistemadeensinogpi,em 3a serie,0.0
697,sasadapt,outro,0.0
698,herciliovilanova,ef 2o ano,0.0
