,namespace,grade,Média de séries de exercícios por turma
334,jazzvestibular,outro,10.0
335,integra,ef 4o ano,10.0
336,physicsumarizal,em 2a serie,10.0
337,amadeus,ef 2o ano,10.0
338,ceabb,ef 9o ano,10.0
339,overmarciliofurtado,em 2a serie,10.0
340,colegioiguatemy,ef 5o ano,10.0
341,colegioensitec,em 3a serie,10.0
342,colegiodasamericas,em 2a serie,10.0
343,colegiobilac,ef 8o ano,10.0
344,colegiouniverso,ef 9o ano,10.0
345,colegiocb,ef 8o ano,10.0
346,objetivolorena,em 1a serie,10.0
347,eacorcovado,ef 8o ano,10.0
348,colegioguilhermedealmeida,ef 7o ano,10.0
349,porto,ef 7o ano,10.0
350,objetivolorena,ef 9o ano,9.5
351,mariliamattoso,ef 7o ano,9.5
352,colegiosete,ef 5o ano,9.333333333333334
353,colegioeag,ef 7o ano,9.333333333333334
354,colegiointegral,ef 2o ano,9.25
355,colegiointegral,ef 3o ano,9.2
356,objetivolorena,em 2a serie,9.0
357,physicsalmirantebarroso,em 2a serie,9.0
358,eccos,ef 6o ano,9.0
359,colegiosete,ef 4o ano,9.0
360,stellamarisjuveve,em 3a serie,9.0
361,colegioiguatemy,em 1a serie,9.0
362,stellamarisjuveve,outro,9.0
363,universobarcarena,em 2a serie,9.0
364,colegioecursoprogressao,ef 6o ano,9.0
365,integradaeducativa,ef 6o ano,9.0
366,ceabb,ef 7o ano,9.0
367,acessoalmirantetamandare,ef 5o ano,9.0
368,acessofazendariogrande,ef 5o ano,9.0
369,colegioguilhermedealmeida,em 3a serie,9.0
370,colegiodasamericas,em 1a serie,9.0
371,colegioensitec,ef 7o ano,9.0
372,colegiobrasilia,em 1a serie,8.857142857142858
373,colegiouirapuru,ef 5o ano,8.8
374,acessohauer,ef 7o ano,8.666666666666666
375,objetivolorena,ef 7o ano,8.5
376,colegioeag,ef 9o ano,8.5
377,apogeustoantonio2,outro,8.444444444444445
378,physicscidadenova,em 2a serie,8.333333333333334
379,acessosjpinhais,ef 7o ano,8.333333333333334
380,acessosantafelicidade,ef 5o ano,8.0
381,overmarciliofurtado,em 3a serie,8.0
382,eccos,ef 5o ano,8.0
383,eccos,ef 3o ano,8.0
384,colegiobilac,ef 6o ano,8.0
385,colegiodasamericas,ef 4o ano,8.0
386,colegiobilac,ef 1o ano,8.0
387,portinari,em 1a serie,8.0
388,acessoalmirantetamandare,ef 8o ano,8.0
389,abdiasmartins,ef 9o ano,8.0
390,pioxi,em 3a serie,8.0
391,spdacruz,em 2a serie,8.0
392,acessoalmirantetamandare,em 1a serie,8.0
393,acessoboqueirao,ef 9o ano,8.0
394,physicsmacapa,em 1a serie,8.0
395,physicsmacapa,ef 8o ano,8.0
396,colegioiguatemy,ef 4o ano,8.0
397,physicsmacapa,ef 7o ano,8.0
398,qescola,ef 5o ano,8.0
399,nucleocriativo,ef 2o ano,8.0
400,colegiobilac,ef 9o ano,8.0
401,portinari,ef 9o ano,7.8
402,psantagema,ef 8o ano,7.75
403,amadeus,ef 9o ano,7.75
404,overabelcabral,ef 8o ano,7.5
405,ceprimeiromundo,ef 7o ano,7.333333333333333
406,cursosazambuja,outro,7.333333333333333
407,stellamarisjuveve,ef 4o ano,7.333333333333333
408,overabelcabral,em 3a serie,7.0
409,overnascimentodecastro,outro,7.0
410,ceabb,ef 8o ano,7.0
411,physicsmacapa,ef 9o ano,7.0
412,porto,ef 8o ano,7.0
413,progressaoig,ef 9o ano,7.0
414,progressaoig,em 1a serie,7.0
415,sistemadeensinogpi,em 3a serie,7.0
416,acessoalmirantetamandare,em 3a serie,7.0
417,acessoalmirantetamandare,ef 9o ano,7.0
418,valdemiracoelho,ef 9o ano,7.0
419,objetivolorena,ef 6o ano,7.0
420,abdiasmartins,ef 6o ano,7.0
421,colegiocb,ef 7o ano,7.0
422,colegiobetelbrasileirosp,ef 4o ano,7.0
423,eacorcovado,ef 6o ano,7.0
424,colegiouniverso,ef 6o ano,7.0
425,educamais,ef 7o ano,7.0
426,colegiobilac,ef 2o ano,7.0
427,colegioecursoprogressao,ef 7o ano,7.0
428,colegioguilhermedealmeida,ef 6o ano,7.0
429,adrianochan,outro,6.916030534351145
430,portinari,ef 8o ano,6.75
