,namespace,grade,Média de séries de exercícios por turma
653,mesalva,em 3a serie,1.0
654,meta,outro,1.0
655,venceslauchaves,ef 4o ano,1.0
656,ipdhsolucoes,outro,1.0
657,acessoalmirantetamandare,ef 4o ano,1.0
658,colegioeag,ef 5o ano,1.0
659,novotempo,ef 5o ano,1.0
660,acessoalmirantetamandare,ef 3o ano,1.0
661,acessoalmirantetamandare,ef 2o ano,1.0
662,colegiodasamericas,outro,1.0
663,abiliomartins,ef 7o ano,1.0
664,abiliomartins,ef 6o ano,1.0
665,colegioglobal,em 1a serie,1.0
666,sasadapt,ef 6o ano,1.0
667,antoniomelo,ef 9o ano,1.0
668,overjoaopessoa,em 1a serie,1.0
669,qescola,em 2a serie,1.0
670,eccos,ef 2o ano,1.0
671,einsteinassis,ef 1o ano,1.0
672,colegiobetelbrasileirosp,ef 8o ano,1.0
673,sobral,outro,1.0
674,integra,ef 5o ano,1.0
675,mocinhagomes,ef 6o ano,1.0
676,overpontanegra,ef 9o ano,1.0
677,qescola,ef 6o ano,1.0
678,pesenglish,outro,1.0
679,colegiojoaopaulo,ef 6o ano,1.0
680,qescola,infantil ii,1.0
681,psantagema,outro,1.0
682,overmossoro,em 1a serie,1.0
683,overmossoro,ef 8o ano,1.0
684,eldapereira,ef 4o ano,1.0
685,colegiointegral,ef 1o ano,1.0
686,overmossoro,ef 6o ano,1.0
687,josesoares,ef 5o ano,1.0
688,cicerofranklin,ef 2o ano,1.0
689,colegioiguatemy,ef 3o ano,1.0
690,senhorbonfim,ef 7o ano,1.0
691,sasadapt,outro,1.0
692,sasadapt,em 3a serie,1.0
693,ceespacolivre,em 1a serie,1.0
694,escolaceciliameireles,ef 2o ano,1.0
695,overmarciliofurtado,ef 7o ano,1.0
696,overmarciliofurtado,ef 6o ano,1.0
697,ceespacolivre,ef 7o ano,1.0
698,physicsalcindocacela,em 3a serie,1.0
