,namespace,Porcentagem de administradores que visualizaram relatórios de AD
202,nsdosagradocoracao,0.0
203,nsdasneves,0.0
204,nsdasgracas,0.0
205,nsconceicao,0.0
206,nsaparecida,0.0
207,novooriente,0.0
208,msetemporario,0.0
209,mov,0.0
210,motivacao,0.0
211,marketing,0.0
212,maxime,0.0
213,maxeducacional,0.0
214,matriz,0.0
215,mathmind,0.0
216,josepinheiro,0.0
217,mastersul,0.0
218,mastersolucoes,0.0
219,masternatal,0.0
220,masterbezerra,0.0
221,marqueslima,0.0
222,maristajoaopauloii,0.0
223,motiva,0.0
224,maristadomsilverio,0.0
225,maristacolatina,0.0
226,maristacentronorte,0.0
227,marinanascimento,0.0
228,mariaolinda,0.0
229,marianair,0.0
230,mariamerces,0.0
231,marialuiza,0.0
232,marialeao,0.0
233,marialaura,0.0
234,mayrink,0.0
235,medcel,0.0
236,melquiadescamelo,0.0
237,meninojesuspe,0.0
238,moria,0.0
239,montessori,0.0
240,montedasoliveiras,0.0
241,monsenhorgoncalo,0.0
242,monsenhorfrancisco,0.0
243,moniquebarreto,0.0
244,mocinhagomes,0.0
245,mobile,0.0
246,moaciralves,0.0
247,mls,0.0
248,miraflores,0.0
249,minhalista,0.0
250,milhaense,0.0
251,migueldecervantes,0.0
252,mfecursos,0.0
253,metodocerto,0.0
254,metodistadosul,0.0
255,mestrezecaamancio,0.0
256,mestre,0.0
257,mesalva,0.0
258,mentoring,0.0
259,josesoares,0.0
260,jhg,0.0
261,josemelo,0.0
262,genesislife,0.0
263,gef,0.0
264,gdv,0.0
265,gaylussac,0.0
266,garra,0.0
267,gamt,0.0
268,galois,0.0
269,galileugalilei,0.0
270,gaga,0.0
271,gacc,0.0
272,gabrielrtaliuli,0.0
273,futuroeducacional,0.0
274,fundacaoeducar,0.0
275,fundacaobradesco,0.0
276,ftec,0.0
277,ftd,0.0
278,fsjb,0.0
279,franciscopinto,0.0
280,franciscoperes,0.0
281,franciscanopioxii,0.0
282,forumcultural,0.0
283,formacao,0.0
284,fontenova,0.0
285,fmu,0.0
286,fmit,0.0
287,florestasenadorcanedo,0.0
288,genesiscolegioecurso,0.0
289,genesisstellamaris,0.0
290,highline,0.0
291,genius,0.0
292,harmoniabilingue,0.0
293,hamiltondarocha,0.0
294,hackiandoaeduc,0.0
295,habillis,0.0
296,habilisescolaecurso,0.0
297,habilis,0.0
298,guroo,0.0
299,guilhermefilho,0.0
300,guidotti,0.0
301,gualberto,0.0
302,grupopreve,0.0
303,grupoiep,0.0
304,grandepasso,0.0
305,granbery,0.0
306,gracinha,0.0
307,goncalomartins,0.0
308,gislainerosati,0.0
309,girassolcrecheescola,0.0
310,giramundo,0.0
311,ginasiodeeducacaodavinci,0.0
312,ginasioanchieta,0.0
313,gestaodenegocios,0.0
314,geraeduca,0.0
315,geracaocolegioecurso,0.0
316,gerabixo,0.0
317,flordenicedacosta,0.0
318,fleming,0.0
319,fito,0.0
320,fisicamarginal,0.0
321,evangelicagoianesia,0.0
322,evangcriancafeliz,0.0
323,eurekacolegio,0.0
324,eucorrijo,0.0
325,etsaomatheus,0.0
326,etepsjc,0.0
327,etaf,0.0
328,estudar,0.0
329,estreladedavi,0.0
330,esteioeducacaoadventista,0.0
331,estantemagica,0.0
332,estantefix,0.0
333,esramada,0.0
334,esperoqueestesejaok,0.0
335,esperanza,0.0
336,especificocn,0.0
337,espacolivre,0.0
338,espacoeducar,0.0
339,espacoamais,0.0
340,esmg,0.0
341,escreva,0.0
342,escolinhacaca,0.0
343,escolazeferino,0.0
344,escolavitoriaregia,0.0
345,escolavida,0.0
346,evangelicobebedouro,0.0
347,evangelicobetel,0.0
348,evangelicoce,0.0
349,fatene,0.0
350,fisicainloco,0.0
351,fisicadf,0.0
352,fip,0.0
353,finalizandabagaca,0.0
354,fiep,0.0
355,fide,0.0
356,fernaogaivota,0.0
357,fepcrato,0.0
358,felipemanoelcampos,0.0
359,febave,0.0
360,fazeducacao,0.0
361,fariasbrito,0.0
362,evolucao,0.0
363,faculdadeterranordeste,0.0
364,faculdadejaguariuna,0.0
365,faculdadeguarai,0.0
366,faculdadeflamingo,0.0
367,faculdadeamadeus,0.0
368,facesp,0.0
369,facens,0.0
370,experimentacaogratuita,0.0
371,experimentacao,0.0
372,exitoinstituto,0.0
373,exato,0.0
374,herciliovilanova,0.0
375,hogwarts,0.0
376,josemariano,0.0
377,isem,0.0
378,isaacnewtonsp,0.0
379,iraciveiga,0.0
380,iracilvianunes,0.0
381,iracemarufino,0.0
382,ipresbiterianocf,0.0
383,ipirangasesi,0.0
384,ipi,0.0
385,ipetucurui,0.0
386,ipesimonton,0.0
387,iperesende,0.0
388,ipepirai,0.0
389,ipeonline,0.0
390,ipenilopolis,0.0
391,ipemg,0.0
392,ipeeducacao,0.0
393,ipeccotia,0.0
394,ipec,0.0
395,ipdhsolucoes,0.0
396,ipcf,0.0
397,ipcabofrio,0.0
398,ipanemanotredame,0.0
399,ipae,0.0
400,ios,0.0
401,intensivaocomalu,0.0
402,integraformacoes,0.0
403,isec,0.0
404,isemear,0.0
405,https://colegiomastersp,0.0
406,ispindorama,0.0
407,josehumbertoborges,0.0
408,joseflorencio,0.0
409,josecesario,0.0
410,josecabral,0.0
411,joracycruz,0.0
412,joaoxxiii,0.0
413,joaosampaio,0.0
414,joaorosa,0.0
415,joaopedrodealmeida,0.0
416,joaolyrafilho,0.0
417,joaohmendonca,0.0
418,joaoferreira,0.0
419,joaobelem,0.0
420,obrasilparacristo,0.0
421,jesusmariajose,0.0
422,jeanpiaget,0.0
423,jeanjacquesrousseau,0.0
424,jazzvestibular,0.0
425,jam,0.0
426,jaimekratz,0.0
427,ivv,0.0
428,ivantotola,0.0
429,iter,0.0
430,itamarati,0.0
431,italo,0.0
432,integradaruibarbosa,0.0
433,integradaeducativa,0.0
434,institutosaojose,0.0
435,institutopandavas,0.0
436,imundoideal,0.0
437,implantacao,0.0
438,impactofloriano,0.0
439,imjedu,0.0
440,imhpicos,0.0
441,imep,0.0
442,imaculada,0.0
443,igmk,0.0
444,iftmparacatu,0.0
445,ifaba,0.0
446,iesg,0.0
447,iescamp,0.0
448,iepam,0.0
449,ienh,0.0
450,ienec,0.0
451,idealsagradocoracaodejesus,0.0
452,idealbsb,0.0
453,idb,0.0
454,idaam,0.0
455,iceducacao,0.0
456,ias,0.0
457,iacs,0.0
458,iabcd,0.0
459,humbertocampos,0.0
460,hubeducacional,0.0
461,informacao,0.0
462,ingenious,0.0
463,inovar,0.0
464,institutoeducacaosp,0.0
465,institutomuda,0.0
466,institutomontessori,0.0
467,institutomeninodedeus,0.0
468,institutomariobragancamg,0.0
469,institutomariaauxiliadora,0.0
470,institutokairos,0.0
471,institutoideia,0.0
472,institutoeducacionalsuperacao,0.0
473,institutoeducacionalflorence,0.0
474,institutoeducacionaldeamericana,0.0
475,institutoeducacionalanaoliveira,0.0
476,institutocristaoma,0.0
477,insa,0.0
478,institutocristaoeducacao,0.0
479,institutocristao,0.0
480,institutocolorir,0.0
481,institutocaminhar,0.0
482,institutoauxiliadoradf,0.0
483,institutoadventus,0.0
484,inspiresjc,0.0
485,inspire,0.0
486,inspira,0.0
487,insgmacae,0.0
488,insef,0.0
489,objetivozonanorte,0.0
490,padreeustaquio,0.0
491,oficinadoestudante,0.0
492,shalomblumenau,0.0
493,simulados,0.0
494,simuladoita,0.0
495,simuladoenem2016,0.0
496,simplificaquepassa,0.0
497,simontonsapezal,0.0
498,simontondf,0.0
499,simonealmeida,0.0
500,simbios,0.0
501,sigmacursoecolegio,0.0
502,sidarta,0.0
503,shekinah,0.0
504,sesitaubate,0.0
505,sesiitatiba,0.0
506,sesitatuape,0.0
507,sesisumare,0.0
508,sesisjdoriopreto,0.0
509,sesisjc,0.0
510,sesisbc,0.0
511,sesisaomigueldooeste,0.0
512,sesisaocarlos,0.0
513,sesiportoferreira,0.0
514,sesipinda,0.0
515,sesiparaguacupaulista,0.0
516,sesilimeira,0.0
517,sincroniza,0.0
518,singularidades,0.0
519,siqueirafelix,0.0
520,sistemadeensinogpi,0.0
521,sosmamaecoruja,0.0
522,sonhomeu,0.0
523,sonhodecrianca,0.0
524,solarcursinho,0.0
525,sociedadebread,0.0
526,sobral,0.0
527,smetatui,0.0
528,smerousseau,0.0
529,smepresbiterianopprudente,0.0
530,smemhorebe,0.0
531,smelemeitapeva,0.0
532,smeisaacnewton,0.0
533,smeipebotucatu,0.0
534,smecristaodecastro,0.0
535,smecolegioevangelicoluz,0.0
536,sme,0.0
537,smartz,0.0
538,sjoseegito,0.0
539,sistemaprima,0.0
540,sistemamaster,0.0
541,sistemaincentivo,0.0
542,sistemafb,0.0
543,sistemaeducacionalmaster,0.0
544,sesijacarei,0.0
545,sesiipiranga,0.0
546,spe,0.0
547,saosebastiao,0.0
548,segurancadigital,0.0
549,seculo,0.0
550,secretariadealagoas,0.0
551,scoredu,0.0
552,saturninopereira,0.0
553,saseducacao,0.0
554,sasadaptrelatorios,0.0
555,sasadaptfund,0.0
556,sasadaptem,0.0
557,sasadapt,0.0
558,sap,0.0
559,saoroque,0.0
560,sesiigaracudotiete,0.0
561,saoluiz,0.0
562,saojosecaxiasdosul,0.0
563,saojosecaxias,0.0
564,saojoseal,0.0
565,saojoaoilhabela,0.0
566,saobento,0.0
567,santoantoniojesus,0.0
568,santoantonio,0.0
569,santoamericoteste,0.0
570,santoagostinhomg,0.0
571,santoagostinholeblon,0.0
572,seletivoeducallis,0.0
573,semearjacarei,0.0
574,sementes,0.0
575,senacsc,0.0
576,sesihorto,0.0
577,sesigru,0.0
578,sesigama,0.0
579,sesidescalvado,0.0
580,sesicruzeiro,0.0
581,sesicrixas,0.0
582,sesicotia,0.0
583,sesicic,0.0
584,sesicampinas,0.0
585,sesicacapava,0.0
586,sesibarrabonita,0.0
587,sesiapucarana,0.0
588,sesiamericana,0.0
589,sesialvaresmachado,0.0
590,sesi376,0.0
591,sersorocaba,0.0
592,serios,0.0
593,seomega,0.0
594,senninha,0.0
595,senhorbonfim,0.0
596,senaismo,0.0
597,senaiserra,0.0
598,senaiourobranco,0.0
599,soueducativa,0.0
600,stellamaris,0.0
601,santissimosenhor,0.0
602,vcmaker,0.0
603,vicentecravo,0.0
604,viaquatro,0.0
605,viadeacesso,0.0
606,vetorbrasil,0.0
607,vetor,0.0
608,vestibularcidadao,0.0
609,vertice,0.0
610,veramagaldi,0.0
611,veracruz,0.0
612,venceslauchaves,0.0
613,vencermelhor,0.0
614,vanessaramos,0.0
615,unilan,0.0
616,valsaab,0.0
617,valdemiracoelho,0.0
618,vaivaivaivaivai,0.0
619,usj,0.0
620,ursinhofeliz,0.0
621,uri,0.0
622,universos,0.0
623,universobarcarena,0.0
624,universitas,0.0
625,universitario,0.0
626,universidademetodistasp,0.0
627,vieiraeducacional,0.0
628,vieirasantos,0.0
629,viladainfanciaeusebio,0.0
630,viladainfanciafortaleza,0.0
631,zecarioca,0.0
632,zacariasliberato,0.0
633,yduqs,0.0
634,xvdenovembro,0.0
635,www,0.0
636,witidiomas,0.0
637,wisecash,0.0
638,wise,0.0
639,wilsondeandradebarreto,0.0
640,wererockingitbabe,0.0
641,webinars,0.0
642,walfridocampos,0.0
643,vronlineschool,0.0
644,vivap,0.0
645,vitaldidonet,0.0
646,vitalbrazil,0.0
647,vitae,0.0
648,visaorecife,0.0
649,virgempoderosa,0.0
650,villalobos,0.0
651,vilaolimpia,0.0
652,vilagelin,0.0
653,viladasletras,0.0
654,uninter,0.0
655,unificado,0.0
656,stellamarisxaxim,0.0
657,teotonioneto,0.0
658,testeonzesetembro,0.0
659,testeiory,0.0
660,testeguilherme,0.0
661,testedozeset,0.0
662,testedetoken,0.0
663,testeconquista,0.0
664,teste,0.0
665,tesadsajda,0.0
666,terezaverzeri,0.0
667,terceiromilenio,0.0
668,terceiradimensao,0.0
669,teofilorezende,0.0
670,unicursos,0.0
671,teles,0.0
672,tdd,0.0
673,tableautaubate,0.0
674,tabernaculo,0.0
675,superpasso,0.0
676,supergeeks,0.0
677,superar,0.0
678,suellenenglishteacher,0.0
679,suelenenglishteacher,0.0
680,studos,0.0
681,stone,0.0
682,testetvveconquista,0.0
683,textecnologia,0.0
684,tiaanamaria,0.0
685,tialo,0.0
686,unicep,0.0
687,uniaomissnorte,0.0
688,unevale,0.0
689,unbidiomasjapones,0.0
690,umnomequalquer,0.0
691,umdoisquatro,0.0
692,ultimavezeuespero,0.0
693,ulbraconcordia,0.0
694,ulbra,0.0
695,uirapuru,0.0
696,ufrpe,0.0
697,tuue,0.0
698,tutorio,0.0
699,tsukimi,0.0
700,trattoatelier,0.0
701,topgunverissimo,0.0
702,topguncolombo,0.0
703,topdelinha,0.0
704,tomazdeaquino,0.0
705,tomasdeaquino,0.0
706,todalicao,0.0
707,tiquinhodegente,0.0
708,tiathais,0.0
709,santoagostinho,0.0
710,santenseadventista,0.0
711,oiapoque,0.0
712,poliedropv,0.0
713,positivojoinville,0.0
714,positivojardimambiental,0.0
715,positivoboavista,0.0
716,positivoaguaverde,0.0
717,positivo,0.0
718,portoseguro,0.0
719,porto,0.0
720,portalsas,0.0
721,portalceuaguiar,0.0
722,polisguimarania,0.0
723,poliedrotreinamento,0.0
724,poiujkl,0.0
725,pitagorasjc,0.0
726,pointedu,0.0
727,podion,0.0
728,pluricrecheescola,0.0
729,plurecrecheescola,0.0
730,plural,0.0
731,pleno,0.0
732,playpen,0.0
733,plannetataboao,0.0
734,plannetaosasco,0.0
735,planneta,0.0
736,planetaencantado,0.0
737,positivojunior,0.0
738,positivomaster,0.0
739,positivoon,0.0
740,positivopassocerto,0.0
741,principedapaz,0.0
742,primeiromundo,0.0
743,primeirodemaio,0.0
744,primeirachance,0.0
745,prevest,0.0
746,presbpatominas,0.0
747,presbjuina,0.0
748,presbiterianotatui,0.0
749,presbiterianopresidenteprudente,0.0
750,presbiterianomacae,0.0
751,presbiterianodepiumhi,0.0
752,presbiterianoaraguaia,0.0
753,presbiterianajdsaovicente,0.0
754,presbiterianadogama,0.0
755,presbiterianacastanheira,0.0
756,presbfmc,0.0
757,presbericocardoso,0.0
758,preparavest,0.0
759,preparatec,0.0
760,preparacursos,0.0
761,potenciacao,0.0
762,positivosemeador,0.0
763,positivosantamaria,0.0
764,pitagorasjuruti,0.0
765,pitagorascidadejardim,0.0
766,prisma,0.0
767,overmossoro,0.0
768,patriciafreitas,0.0
769,patriciafigueiredo,0.0
770,parceiros,0.0
771,paraisodosaber,0.0
772,palmares,0.0
773,palasatena,0.0
774,escolasoito,0.0
775,ovquim,0.0
776,overzonanorte,0.0
777,overpontanegra,0.0
778,overnascimentodecastro,0.0
779,overmarciliofurtado,0.0
780,piracicabaeducacaoadventista,0.0
781,overlimaesilva,0.0
782,overcolegioecurso,0.0
783,over,0.0
784,ouse,0.0
785,oswalddeandrade,0.0
786,oswald,0.0
787,osequim,0.0
788,opet,0.0
789,ongcidadededeus,0.0
790,oliveiranetto,0.0
791,olavonunes,0.0
792,patronatosaojose,0.0
793,paulofreire,0.0
794,paulovi,0.0
795,pauloviana,0.0
796,pioxiicolegio,0.0
797,pioxii,0.0
798,pioxi,0.0
799,pinheirosonline,0.0
800,piemonte,0.0
801,physicstrescoracoes,0.0
802,physicsaugustomontenegro,0.0
803,physics,0.0
804,phoenixeducacional,0.0
805,pesenglish,0.0
806,pertinhodanatureza,0.0
807,personalvestibulares,0.0
808,peresguimaraes,0.0
809,pequenospassos,0.0
810,pequenosamuel,0.0
811,pentagono,0.0
812,pensemac,0.0
813,pensecursos,0.0
814,pencantado,0.0
815,pedromurilo,0.0
816,pedrocamelo,0.0
817,pearson,0.0
818,pcf,0.0
819,principius,0.0
820,prismapatrocinio,0.0
821,santarita,0.0
822,relacionamento,0.0
823,ruilima,0.0
824,ruibarbosa,0.0
825,rosadesaron,0.0
826,rogeriolourenco,0.0
827,rodrigogabrielcursosonline,0.0
828,robertomarcal,0.0
829,riscorabisco,0.0
830,riobrancocampinas,0.0
831,ricardowobeto,0.0
832,renascer,0.0
833,renascenca,0.0
834,reisalomao,0.0
835,recriar,0.0
836,reges,0.0
837,reforcotiacoruja,0.0
838,reforcoescolarla,0.0
839,redhouse,0.0
840,redeprojecao,0.0
841,redemarista,0.0
842,redeisaacnewton,0.0
843,redeinspira,0.0
844,redefilhasdejesus,0.0
845,redeclarissas,0.0
846,redeapogeu,0.0
847,ruthgomesfigueira,0.0
848,sabixao,0.0
849,saea,0.0
850,sagradafamilia,0.0
851,santanavest,0.0
852,santamariacn,0.0
853,santamaria,0.0
854,santamarcelina,0.0
855,santaizabel,0.0
856,santahelena,0.0
857,santagertrudes,0.0
858,santadoroteia,0.0
859,santacruz,0.0
860,santaclara,0.0
861,santacatarinaes,0.0
862,santaamalia,0.0
863,sandraoliveira,0.0
864,sanar,0.0
865,salinhadogui,0.0
866,salesianodosalvador,0.0
867,salesianocampos,0.0
868,salesianoaracaju,0.0
869,saladeexatas,0.0
870,saladacristiane,0.0
871,saintmartin,0.0
872,saintgobain,0.0
873,sagradocoracaodejesus,0.0
874,redacaointerativa,0.0
875,recreiochristianschool,0.0
876,proa,0.0
877,professoraleila,0.0
878,projetomoa,0.0
879,projetogauss,0.0
880,projetodeventoempopa,0.0
881,progressaoig,0.0
882,progressaoeducacao,0.0
883,progressaodc,0.0
884,profroberta,0.0
885,profluizbilac,0.0
886,profilton,0.0
887,professormarciodarlen,0.0
888,professorgilberto,0.0
889,professorale,0.0
890,recantointerativo,0.0
891,professoragleise,0.0
892,professoradechines,0.0
893,professor,0.0
894,profeduardo,0.0
895,profederal,0.0
896,profdouglas,0.0
897,profdiego,0.0
898,profcrisfranco,0.0
899,profcelso,0.0
900,proens,0.0
901,prodteste,0.0
902,projetoventoepopa,0.0
903,projetovida,0.0
904,projetovinteeum,0.0
905,propostaatual,0.0
906,recantodosaber,0.0
907,rcaidiomas,0.0
908,raphaeldisanto,0.0
909,raphaelaulasparticulares,0.0
910,raizeducacao,0.0
911,raiodesol,0.0
912,raimundoalves,0.0
913,radial,0.0
914,quimicanadosecerta,0.0
915,questoesvitae,0.0
916,queroaprender,0.0
917,qmdoismildez,0.0
918,qi,0.0
919,qeducadores,0.0
920,purissimo,0.0
921,pulamuralha,0.0
922,pucsp,0.0
923,puccampinas,0.0
924,psantagema,0.0
925,prudentedemorais,0.0
926,providencia,0.0
927,provaspoliedro,0.0
928,prosperi,0.0
929,escolatecnicadoimperador,0.0
930,escolaparticularmaxime,0.0
931,escolasementesdoamanha,0.0
932,challenge,0.0
933,classea,0.0
934,ckadima,0.0
935,cieb,0.0
936,cidadaniaevida,0.0
937,cicerofranklin,0.0
938,ciadosaber,0.0
939,christianschool,0.0
940,chegadeficartestando,0.0
941,chcardoso,0.0
942,charlesdarwin,0.0
943,chamberlain,0.0
944,chacaravivaavida,0.0
945,cmariaimaculada,0.0
946,cfsantoantonio,0.0
947,cfimaculadaconceicao,0.0
948,cfc,0.0
949,cevip,0.0
950,cevangelicoagj,0.0
951,cetutores,0.0
952,ceteb,0.0
953,cesimoesfilho,0.0
954,cesilvapaiva,0.0
955,cesilvamachado,0.0
956,cesemeando,0.0
957,clubedopimpolho,0.0
958,cmc,0.0
959,cesaber,0.0
960,cnsr,0.0
961,colegioabre,0.0
962,colegioabgar,0.0
963,colegio1mundo,0.0
964,colbrasileiro,0.0
965,colband,0.0
966,cognitivo,0.0
967,cognita,0.0
968,coelgiocardeal,0.0
969,cocunidsul,0.0
970,cocaraucaria,0.0
971,coc,0.0
972,cnslpb,0.0
973,cmdpii,0.0
974,cnsl,0.0
975,cnsd,0.0
976,cnsco,0.0
977,cnscarmo,0.0
978,cnsasjc,0.0
979,cnn,0.0
980,cnecporangatu,0.0
981,cnecnovamutum,0.0
982,cmsaipiau,0.0
983,cmpalmas,0.0
984,cmodelo,0.0
985,cesc,0.0
986,certus,0.0
987,colegiofriburgo,0.0
988,cempacanguaretamarn,0.0
989,centrodeensinoserrano,0.0
990,centrodeensinosementinhadofuturo,0.0
991,centrodeensinomoderno,0.0
992,centroarcadenoe,0.0
993,centreensinoetreinamento,0.0
994,centec,0.0
995,censic,0.0
996,cenpec,0.0
997,cenic,0.0
998,cenecistaml,0.0
999,cenaza,0.0
1000,cemonza,0.0
1001,centroedcordeiro,0.0
1002,cemluciamayvore,0.0
1003,cemj,0.0
1004,cemaristasaojose,0.0
1005,cemardf,0.0
1006,cemanoelgoncalves,0.0
1007,cema,0.0
1008,cem,0.0
1009,celp,0.0
1010,celauracabral,0.0
1011,cekerigma,0.0
1012,cejosueroberto,0.0
1013,centroeaviv,0.0
1014,centroeditalva,0.0
1015,cermac,0.0
1016,cepaulofreire,0.0
1017,ceribeirogil,0.0
1018,cerecantointerativo,0.0
1019,cepvilhena,0.0
1020,ceprojetar,0.0
1021,cepresbiterianodebayeux,0.0
1022,ceprabotucatu,0.0
1023,cepquinzedenovembro,0.0
1024,cepotencial,0.0
1025,ceportoseguro,0.0
1026,cepep,0.0
1027,cepe,0.0
1028,cepaulista,0.0
1029,centroeducacionalaprendiz,0.0
1030,cep,0.0
1031,centrosuperiordetecnologia,0.0
1032,centroescolaranamelia,0.0
1033,centroedupincelmagico,0.0
1034,centroeducacionalsonhodedeus,0.0
1035,centroeducacionalmeta,0.0
1036,centroeducacionalkolping,0.0
1037,centroeducacionalinovacao,0.0
1038,centroeducacionalimpar,0.0
1039,centroeducacionalbrasileirinho,0.0
1040,centroeducacionalaviv,0.0
1041,colegioadventista,0.0
1042,colegioadventus,0.0
1043,colegioages,0.0
1044,colegiodasagradafamilia,0.0
1045,colegiodosalvador,0.0
1046,colegiodombosco,0.0
1047,colegiodoctum,0.0
1048,colegiodivinosalvador,0.0
1049,colegiodimensao,0.0
1050,colegiodigital,0.0
1051,colegiodiaspora,0.0
1052,colegiodeovolente,0.0
1053,colegiodeltaserrinha,0.0
1054,colegiodelta,0.0
1055,colegiodelrey,0.0
1056,colegiodarwin,0.0
1057,colegioeag,0.0
1058,colegiodantealighieri,0.0
1059,colegiodante,0.0
1060,colegiocristaopr,0.0
