,namespace,Semana,Número de AAs por turma
353,colegioeducallis,25,0.7555555555555555
354,colegioeducallis,31,1.125
355,colegioeducallis,32,0.85
356,colegioeducallis,33,0.7631578947368421
357,colegioeducallis,34,0.8076923076923077
358,colegioeducallis,35,1.4102564102564104
359,colegioeducallis,36,1.1428571428571428
360,colegioeducallis,37,1.3333333333333333
361,colegioensitec,25,1.0
362,colegioensitec,28,0.4444444444444444
363,colegioensitec,29,1.5833333333333333
364,colegioensitec,30,2.272727272727273
365,colegioensitec,31,2.0
366,colegioensitec,32,1.25
367,colegioensitec,33,1.6666666666666667
368,colegioensitec,34,1.2857142857142858
369,colegioensitec,35,2.0
370,colegioensitec,36,1.0
371,colegioensitec,37,2.111111111111111
372,colegioflamingo,25,2.8333333333333335
373,colegioflamingo,26,1.2
374,colegioflamingo,32,1.6666666666666667
375,colegioflamingo,33,3.3333333333333335
376,colegioflamingo,34,3.8333333333333335
377,colegioflamingo,35,1.3333333333333333
378,colegioflamingo,36,1.0
379,colegioflamingo,37,1.0
380,colegiofuturageracao,25,2.3333333333333335
381,colegiofuturageracao,26,1.0
382,colegiofuturageracao,31,2.6666666666666665
383,colegiofuturageracao,32,2.5714285714285716
384,colegiofuturageracao,33,2.0
385,colegiofuturageracao,34,1.75
386,colegiofuturageracao,35,2.25
387,colegiofuturageracao,37,1.5
388,colegioglobal,25,1.6666666666666667
389,colegioglobal,26,3.0
390,colegioglobal,30,1.0
391,colegioglobal,32,2.5833333333333335
392,colegioglobal,33,2.9166666666666665
393,colegioglobal,34,2.0
394,colegioglobal,35,1.2857142857142858
395,colegioglobal,36,1.7692307692307692
396,colegioglobal,37,1.8333333333333333
397,colegioguilhermedealmeida,31,0.2
398,colegioguilhermedealmeida,32,0.5
399,colegioguilhermedealmeida,33,0.5714285714285714
400,colegioguilhermedealmeida,34,0.6666666666666666
401,colegioguilhermedealmeida,35,1.5
402,colegioiguatemy,25,4.0
403,colegioiguatemy,26,7.0
404,colegioiguatemy,27,1.0
405,colegioiguatemy,31,1.6428571428571428
406,colegioiguatemy,32,1.6666666666666667
407,colegioiguatemy,33,2.4615384615384617
408,colegioiguatemy,34,1.9166666666666667
409,colegioiguatemy,35,1.9090909090909092
410,colegioiguatemy,36,1.8333333333333333
411,colegioiguatemy,37,1.125
412,colegiointegral,26,0.3333333333333333
413,colegiointegral,27,1.8181818181818181
414,colegiointegral,28,2.1785714285714284
415,colegiointegral,29,1.8974358974358974
416,colegiointegral,30,1.6607142857142858
417,colegiointegral,31,1.5945945945945945
418,colegiointegral,32,2.4444444444444446
419,colegiointegral,33,1.4
420,colegiointegral,34,2.425
421,colegiointegral,35,1.5555555555555556
422,colegiointegral,36,1.8235294117647058
423,colegiointegral,37,1.2222222222222223
424,colegiojoaopaulo,25,1.6666666666666667
425,colegiojoaopaulo,26,2.0
426,colegiojoaopaulo,27,1.4761904761904763
427,colegiojoaopaulo,28,1.6923076923076923
428,colegiojoaopaulo,29,1.0
429,colegiojoaopaulo,30,1.0
430,colegiojoaopaulo,31,1.25
431,colegiojoaopaulo,32,1.95
432,colegiojoaopaulo,33,2.823529411764706
433,colegiojoaopaulo,34,0.5555555555555556
434,colegiojoaopaulo,35,2.5
435,colegioliceu,33,1.5
436,colegiomagnum,33,0.15384615384615385
437,colegiomagnum,34,0.15384615384615385
438,colegiomodelo,29,0.5
439,colegiomodelo,30,1.0
440,colegiomodelo,32,0.5
441,colegiomodelo,35,0.5
442,colegiomundial,28,0.5
443,colegiomundial,29,0.6666666666666666
444,colegionobre,30,1.0
445,colegionobre,34,0.5
446,colegionovageracao,35,1.0
447,colegionovageracao,36,1.0
448,colegionovageracao,37,2.5
449,colegionovopatio,25,1.0
450,colegionovopatio,36,1.0
451,colegioplanck,25,0.75
452,colegioplanck,28,0.5
453,colegioplanck,29,0.5
454,colegioplanck,30,0.625
455,colegioplanck,31,1.0
456,colegioplanck,32,0.8571428571428571
457,colegioplanck,33,0.8536585365853658
458,colegioplanck,34,1.0
459,colegioplanck,35,1.3333333333333333
460,colegioplanck,36,1.0
461,colegioplanck,37,1.037037037037037
462,colegiopremium,25,1.0
463,colegiopremium,26,2.2857142857142856
464,colegiopremium,31,1.5
465,colegiopremium,33,2.923076923076923
466,colegiopremium,35,1.0
467,colegiopremium,36,1.0
468,colegioprogresso,28,1.0
469,colegioradar,33,1.0
470,colegioriobranco,27,1.0
471,colegiosantamaria,33,1.0
472,colegiosantamaria,34,2.0
473,colegioser,26,1.5
474,colegioser,34,1.0
475,colegiosete,25,0.5
476,colegiosete,29,0.4444444444444444
477,colegiosete,30,0.5
478,colegiosete,31,0.8181818181818182
479,colegiosete,32,0.7272727272727273
480,colegiosete,33,0.9047619047619048
481,colegiosete,34,2.2941176470588234
482,colegiosete,35,2.1333333333333333
483,colegiosete,36,2.15
484,colegiosete,37,4.741935483870968
485,colegioshalomoficial,37,1.0
486,colegiouirapuru,25,0.6666666666666666
487,colegiouirapuru,26,1.0
488,colegiouirapuru,29,0.2
489,colegiouirapuru,31,1.0
490,colegiouirapuru,32,0.7083333333333334
491,colegiouirapuru,33,1.0
492,colegiouirapuru,34,0.76
493,colegiouirapuru,35,1.0
494,colegiouirapuru,36,1.8666666666666667
495,colegiouirapuru,37,2.933333333333333
496,colegiouniverso,25,2.7777777777777777
497,colegiouniverso,26,1.0
498,colegiouniverso,32,0.6666666666666666
499,colegiouniverso,33,1.0
500,colegioup,25,5.111111111111111
501,colegioup,26,2.925925925925926
502,colegioup,27,5.111111111111111
503,colegioup,28,4.6
504,colegioup,31,1.0
505,colegioup,33,0.8888888888888888
506,colegioup,35,1.0
507,colegioup,36,0.7777777777777778
508,colegioup,37,1.0
