,namespace,Semana,numero_ex
604,eacorcovado,25,30.0
405,colegioiguatemy,31,30.0
745,jazzvestibular,36,30.0
267,colegioarena,37,30.0
1213,testevictorhugo,32,30.0
957,physicsconselheirofurtado,31,30.0
517,contemporaneo,33,30.0
667,escolamaster,37,30.0
643,elitecuritibaemilianoperneta,35,30.0
1128,santamariacn,27,30.0
1057,profederal,34,29.875
581,cursosazambuja,25,29.844444444444445
1058,profederal,35,29.75
729,invictus,37,29.666666666666668
422,colegiointegral,36,29.58823529411765
110,aescobjetivo,26,29.5
640,elitecuritibaemilianoperneta,32,29.5
416,colegiointegral,30,29.214285714285715
451,colegioplanck,25,29.166666666666668
8,acessoalmirantetamandare,35,29.142857142857142
294,colegiobilac,37,29.11111111111111
389,colegioglobal,26,29.0
291,colegiobilac,34,29.0
638,elitecuritibaemilianoperneta,30,29.0
728,invictus,36,28.9
625,educandarioterciocorreia,34,28.857142857142858
448,colegionovageracao,37,28.75
659,escoladeimpacto,28,28.666666666666668
346,colegioecursoprogressao,31,28.615384615384617
896,overpontanegra,26,28.58823529411765
767,maplebearslz,32,28.416666666666668
343,colegioecursoprogressao,27,28.384615384615383
649,escolaceciliameireles,26,28.333333333333332
582,cursosazambuja,26,28.272727272727273
392,colegioglobal,33,28.25
572,cursoisfera,33,28.142857142857142
226,ceprimeiromundo,35,28.125
229,ciadosaber,25,27.833333333333332
1018,portinari,37,27.833333333333332
303,colegiobrasilia,35,27.829787234042552
905,overpontanegra,37,27.764705882352942
1092,provaspoliedro,34,27.574468085106382
867,overlimaesilva,37,27.5
1197,stellamarisjuveve,33,27.25
1093,provaspoliedro,35,27.20967741935484
1038,prismapatrocinio,26,27.2
768,maplebearslz,33,27.176470588235293
292,colegiobilac,35,27.166666666666668
775,mariliamattoso,27,27.0
426,colegiojoaopaulo,27,27.0
1089,provaspoliedro,31,26.970149253731343
1046,prismapatrocinio,35,26.904761904761905
95,acessosjpinhais,33,26.838709677419356
1208,stellamarisxaxim,33,26.833333333333332
864,overlimaesilva,34,26.666666666666668
391,colegioglobal,32,26.666666666666668
264,colegioarena,34,26.666666666666668
495,colegiouirapuru,37,26.6
709,integra,34,26.555555555555557
794,master,33,26.53305785123967
434,colegiojoaopaulo,35,26.5
1060,profederal,37,26.25
979,pioxi,35,26.2
1073,progressaoig,26,26.2
991,plannetataboao,28,26.0
990,plannetaosasco,27,26.0
708,integra,25,26.0
313,colegiocb,34,25.933333333333334
49,acessofazendariogrande,32,25.75
723,invictus,28,25.6
65,acessohauer,37,25.454545454545453
363,colegioensitec,29,25.416666666666668
776,mariliamattoso,28,25.333333333333332
1207,stellamarisxaxim,32,25.333333333333332
1198,stellamarisjuveve,34,25.321428571428573
721,invictus,26,25.285714285714285
916,overzonanorte,37,25.272727272727273
796,master,35,25.086614173228348
130,amadeus,37,25.037037037037038
835,oficinadoestudante,25,25.0
380,colegiofuturageracao,25,25.0
584,cursosazambuja,28,25.0
904,overpontanegra,36,25.0
142,apogeustoantonio2,34,25.0
620,educandarioterciocorreia,25,25.0
1243,villalobos,30,25.0
837,osequim,34,25.0
138,apogeustoantonio2,28,25.0
262,colegioarena,32,25.0
559,cursobase,34,25.0
458,colegioplanck,34,25.0
829,objetivolorena,33,24.92
621,educandarioterciocorreia,26,24.857142857142858
1209,stellamarisxaxim,34,24.666666666666668
419,colegiointegral,33,24.385714285714286
556,crescercampinas,37,24.125
295,colegiobrasilia,25,24.11904761904762
353,colegioeducallis,25,24.044444444444444
452,colegioplanck,28,24.0
135,anchietaba,30,24.0
857,overjoaopessoa,36,24.0
599,deltaeducacional,36,24.0
605,eacorcovado,31,24.0
366,colegioensitec,32,24.0
81,acessosantafelicidade,32,23.928571428571427
790,master,29,23.917525773195877
778,mariliamattoso,30,23.818181818181817
538,crb,26,23.724137931034484
427,colegiojoaopaulo,28,23.692307692307693
849,overabelcabral,36,23.61111111111111
270,colegiobatistaindependente,27,23.583333333333332
208,ceespacolivre,37,23.533333333333335
764,maplebearslz,26,23.333333333333332
386,colegiofuturageracao,35,23.25
371,colegioensitec,37,23.22222222222222
1234,universobarcarena,30,23.157894736842106
658,escolaceciliameireles,37,23.0
840,overabelcabral,27,23.0
1059,profederal,36,22.857142857142858
890,overmossoro,37,22.857142857142858
555,crescercampinas,36,22.8
406,colegioiguatemy,32,22.75
253,colegioalphaunis,27,22.7
304,colegiobrasilia,36,22.682926829268293
1189,stellamarisaguaverde,35,22.615384615384617
430,colegiojoaopaulo,31,22.583333333333332
899,overpontanegra,31,22.583333333333332
336,colegioecursodesafio,25,22.5
288,colegiobilac,31,22.444444444444443
1091,provaspoliedro,33,22.305263157894736
1176,spdacruz,25,22.236842105263158
242,cnslpb,30,22.227272727272727
596,deltaeducacional,33,22.0
383,colegiofuturageracao,32,22.0
1113,qescola,34,22.0
202,ceespacolivre,28,22.0
456,colegioplanck,32,21.964285714285715
199,ceespacolivre,25,21.944444444444443
710,integradaeducativa,25,21.933333333333334
1240,villalobos,25,21.857142857142858
1095,provaspoliedro,37,21.836734693877553
1074,progressaoig,27,21.833333333333332
825,objetivolorena,25,21.733333333333334
575,cursoisfera,36,21.714285714285715
185,cbpdigital,25,21.666666666666668
880,overmarciliofurtado,37,21.666666666666668
1016,portinari,35,21.6
164,casdinhosjc,25,21.5
1126,santamariacn,25,21.5
373,colegioflamingo,26,21.4
1008,portinari,27,21.357142857142858
1140,santoamerico,26,21.266666666666666
1185,stellamarisaguaverde,25,21.25
832,objetivolorena,36,21.228571428571428
981,pioxi,37,21.17391304347826
33,acessocampolargo,36,21.0
892,overnascimentodecastro,27,21.0
1249,villalobos,36,21.0
355,colegioeducallis,32,20.95
986,pioxiicolegio,34,20.928571428571427
727,invictus,35,20.875
915,overzonanorte,36,20.714285714285715
125,amadeus,32,20.61111111111111
126,amadeus,33,20.466666666666665
211,cem,32,20.363636363636363
657,escolaceciliameireles,36,20.333333333333332
1017,portinari,36,20.235294117647058
53,acessofazendariogrande,36,20.166666666666668
219,ceprimeiromundo,28,20.125
186,cbpdigital,26,20.0
85,acessosantafelicidade,36,20.0
1211,stellamarisxaxim,37,20.0
297,colegiobrasilia,27,20.0
397,colegioguilhermedealmeida,31,20.0
1034,prevest,34,20.0
819,nucleocriativo,32,20.0
1050,profederal,26,20.0
1161,seletivoeducallis,32,20.0
1160,seletivoeducallis,28,20.0
22,acessoboqueirao,36,20.0
1159,seletivoeducallis,26,20.0
58,acessohauer,29,20.0
374,colegioflamingo,32,20.0
865,overlimaesilva,35,20.0
1119,saberviver,32,20.0
858,overjoaopessoa,37,20.0
98,acessosjpinhais,36,19.904761904761905
395,colegioglobal,36,19.692307692307693
384,colegiofuturageracao,33,19.6
356,colegioeducallis,33,19.55263157894737
1013,portinari,32,19.451612903225808
255,colegioalphaunis,34,19.428571428571427
409,colegioiguatemy,35,19.272727272727273
1105,qescola,26,19.25
761,magister,32,19.25
233,ciadosaber,33,19.2
1214,testevictorhugo,35,19.2
480,colegiosete,33,19.142857142857142
455,colegioplanck,31,19.136363636363637
518,contemporaneocidadeverde,28,19.0
758,magister,25,19.0
879,overmarciliofurtado,36,19.0
841,overabelcabral,28,19.0
393,colegioglobal,34,18.90909090909091
362,colegioensitec,28,18.88888888888889
232,ciadosaber,32,18.88888888888889
631,einsteinassis,25,18.857142857142858
850,overabelcabral,37,18.727272727272727
305,colegiobrasilia,37,18.71875
188,cbpdigital,32,18.620689655172413
396,colegioglobal,37,18.583333333333332
911,overzonanorte,32,18.571428571428573
1010,portinari,29,18.458333333333332
1088,provaspoliedro,30,18.350877192982455
234,ciadosaber,34,18.333333333333332
344,colegioecursoprogressao,28,18.181818181818183
64,acessohauer,36,18.1
515,conexaosaber,37,18.09090909090909
1100,psantagema,33,18.041666666666668
175,casdvest,31,18.0
325,colegiodasamericas,35,18.0
875,overmarciliofurtado,32,18.0
546,crb,37,17.88888888888889
273,colegiobatistaindependente,33,17.833333333333332
187,cbpdigital,31,17.77777777777778
1099,psantagema,32,17.61904761904762
1144,santoamerico,31,17.5
91,acessosjpinhais,29,17.5
446,colegionovageracao,35,17.5
547,crescercampinas,25,17.4
342,colegioecursoprogressao,26,17.36842105263158
505,colegioup,33,17.333333333333332
194,ceabb,27,17.285714285714285
1012,portinari,31,17.193548387096776
5,acessoalmirantetamandare,32,17.166666666666668
947,physicsbatistacampos,37,17.142857142857142
844,overabelcabral,31,17.125
128,amadeus,35,17.11111111111111
478,colegiosete,31,17.09090909090909
42,acessocampolargokids,36,17.0
1148,santoamerico,35,17.0
385,colegiofuturageracao,34,17.0
731,isem,25,17.0
908,overzonanorte,27,17.0
221,ceprimeiromundo,30,17.0
751,litteratus,35,17.0
1201,stellamarisjuveve,37,16.923076923076923
319,colegiodasamericas,26,16.916666666666668
459,colegioplanck,35,16.866666666666667
1084,provaspoliedro,25,16.721311475409838
632,einsteinassis,32,16.666666666666668
655,escolaceciliameireles,33,16.666666666666668
246,cnslpb,34,16.666666666666668
885,overmossoro,32,16.666666666666668
789,master,28,16.584269662921347
613,eccos,32,16.444444444444443
364,colegioensitec,30,16.363636363636363
1007,portinari,26,16.363636363636363
769,maplebearslz,34,16.12
831,objetivolorena,35,16.09090909090909
1030,portoseguro,34,16.0
315,colegiocb,36,16.0
1142,santoamerico,28,16.0
173,casdvest,29,16.0
473,colegioser,26,16.0
671,faculdadeflamingo,30,16.0
823,nucleocriativo,37,16.0
