,namespace,Semana,Tempo médio entre publicação e ínicio de AA
413,colegioiguatemy,34,2 days 01:53:40.478978391
414,colegioiguatemy,35,0 days 14:18:12.333971666
415,colegiointegral,23,3 days 14:33:56.102244847
416,colegiointegral,24,2 days 14:01:19.156795058
417,colegiointegral,26,23 days 16:49:45.911807
418,colegiointegral,27,5 days 21:13:51.876595800
419,colegiointegral,28,5 days 18:33:51.763437786
420,colegiointegral,29,4 days 02:30:12.837806229
421,colegiointegral,30,2 days 22:30:42.597329279
422,colegiointegral,31,4 days 15:11:02.498513169
423,colegiointegral,32,5 days 23:35:02.142124636
424,colegiointegral,33,3 days 09:59:34.055144309
425,colegiointegral,34,3 days 12:24:36.564947244
426,colegiointegral,35,2 days 11:06:19.490975800
427,colegiojoaopaulo,23,2 days 16:14:31.118265
428,colegiojoaopaulo,24,3 days 19:13:18.274374378
429,colegiojoaopaulo,25,9 days 11:17:37.662474750
430,colegiojoaopaulo,26,3 days 08:38:59.851648342
431,colegiojoaopaulo,27,1 days 04:57:10.072792193
432,colegiojoaopaulo,28,1 days 06:50:44.027766739
433,colegiojoaopaulo,29,10 days 10:17:56.324957
434,colegiojoaopaulo,30,8 days 17:47:13.269628500
435,colegiojoaopaulo,31,3 days 08:27:15.078646400
436,colegiojoaopaulo,32,4 days 16:33:56.583628564
437,colegiojoaopaulo,33,1 days 22:37:47.988530166
438,colegiojoaopaulo,34,1 days 18:18:12.182615600
439,colegiojoaopaulo,35,0 days 18:29:36.489148200
440,colegioliceu,33,0 days 10:52:27.356166777
441,colegiomagnum,23,1 days 00:15:16.577899
442,colegiomagnum,33,1 days 01:34:10.481153
443,colegiomagnum,34,0 days 22:46:02.943031
444,colegiomartinus,23,-1 days +23:58:19.599950
445,colegiomodelo,29,-1 days +23:54:42.679538
446,colegiomodelo,30,0 days 00:01:06.518974
447,colegiomodelo,35,-1 days +23:59:54.346322
448,colegiomundial,28,9 days 21:16:45.015332
449,colegiomundial,29,9 days 21:03:51.634748500
450,colegionobre,30,-1 days +23:59:34.917865
451,colegionobre,34,-1 days +23:58:17.344214
452,colegionovageracao,35,0 days 17:08:37.700908
453,colegionovopatio,23,2 days 11:00:00.343620500
454,colegionovopatio,25,1 days 11:46:40.947276
455,colegioplanck,23,2 days 02:06:21.542898500
456,colegioplanck,24,1 days 20:54:21.089381428
457,colegioplanck,25,2 days 05:10:47.028473388
458,colegioplanck,28,16 days 15:14:29.836116833
459,colegioplanck,29,-1 days +23:57:20.669104
460,colegioplanck,30,6 days 08:18:57.337171500
461,colegioplanck,31,4 days 17:23:59.195748277
462,colegioplanck,32,2 days 16:47:41.428956125
463,colegioplanck,33,3 days 01:05:58.713027794
464,colegioplanck,34,4 days 09:37:29.949573190
465,colegioplanck,35,0 days 21:17:39.491080375
466,colegiopremium,23,1 days 12:16:05.829949666
467,colegiopremium,24,1 days 23:26:17.831516750
468,colegiopremium,25,1 days 10:48:36.206991333
469,colegiopremium,26,0 days 13:19:59.179979562
470,colegiopremium,31,0 days 03:54:45.544156833
471,colegiopremium,33,0 days 06:35:13.602936526
472,colegioprogresso,28,0 days 00:02:20.248747
473,colegioradar,33,0 days 00:39:33.758096
474,colegioriobranco,27,-1 days +23:59:02.180970
475,colegiosantamaria,33,-1 days +23:58:57.064188
476,colegiosantamaria,34,-1 days +23:58:25.829060500
477,colegioser,26,19 days 22:11:54.615640333
478,colegioser,34,2 days 00:26:56.750569
479,colegiosete,23,0 days 22:01:29.923946597
480,colegiosete,24,1 days 12:41:10.163238757
481,colegiosete,25,0 days 04:31:45.124470
482,colegiosete,29,2 days 20:08:52.960210500
483,colegiosete,30,2 days 12:57:51.791605428
484,colegiosete,31,1 days 08:06:10.846658444
485,colegiosete,32,1 days 11:46:13.723156111
486,colegiosete,33,1 days 06:50:21.632857210
487,colegiosete,34,0 days 14:13:52.356612478
488,colegiosete,35,1 days 06:22:25.147977200
489,colegiouirapuru,23,0 days 22:59:06.234899060
490,colegiouirapuru,24,0 days 08:37:23.189384547
491,colegiouirapuru,25,-1 days +23:57:05.959657167
492,colegiouirapuru,26,0 days 00:54:42.032890
493,colegiouirapuru,29,0 days 00:03:42.249706
494,colegiouirapuru,31,3 days 19:56:28.818395
495,colegiouirapuru,32,0 days 20:44:19.472869176
496,colegiouirapuru,33,2 days 02:56:33.424751388
497,colegiouirapuru,34,2 days 04:44:00.966028615
498,colegiouirapuru,35,0 days 15:49:10.025484500
499,colegiouniverso,23,6 days 05:53:15.123618625
500,colegiouniverso,24,2 days 17:40:18.056178
501,colegiouniverso,25,0 days 18:09:33.885144840
502,colegiouniverso,26,0 days 01:59:37.221805
503,colegiouniverso,32,7 days 10:31:56.785721
504,colegiouniverso,33,2 days 00:19:50.285790125
505,colegioup,23,3 days 08:51:29.220296166
506,colegioup,24,2 days 19:39:38.815685879
507,colegioup,25,1 days 10:31:40.030808880
508,colegioup,26,0 days 14:53:47.537483822
509,colegioup,27,1 days 00:27:43.989733739
510,colegioup,28,0 days 18:51:25.207817319
511,colegioup,31,0 days 03:53:11.874349
512,colegioup,33,0 days 08:43:27.792272250
513,colegioup,35,1 days 00:27:11.220433500
514,conexaosaber,23,7 days 22:04:24.211250500
515,conexaosaber,24,3 days 00:18:41.701010382
516,conexaosaber,25,1 days 08:31:14.536687145
517,conexaosaber,26,0 days 00:38:49.441287
518,conexaosaber,33,6 days 09:32:02.677626
519,conexaosaber,34,0 days 19:42:08.691212555
520,conexaosaber,35,0 days 16:04:08.243686357
521,contemporaneo,31,5 days 06:55:03.512255600
522,contemporaneo,33,4 days 03:17:51.969872
523,contemporaneocidadeverde,23,1 days 20:37:57.219931
524,contemporaneocidadeverde,28,0 days 00:00:00.171693200
525,contemporaneocidadeverde,31,4 days 13:07:11.645781035
526,contemporaneocidadeverde,32,2 days 07:19:49.465976885
527,contemporaneocidadeverde,33,1 days 08:12:54.944899444
528,contemporaneocidadeverde,34,1 days 22:46:58.274400
529,contemporaneolagoanova,23,1 days 20:36:04.834643
530,contemporaneolagoanova,30,10 days 10:55:19.683795666
531,contemporaneolagoanova,31,4 days 21:02:14.940083
532,contemporaneolagoanova,32,3 days 01:24:06.092212625
533,contemporaneolagoanova,33,1 days 16:45:35.362479103
534,contemporaneolagoanova,34,1 days 11:23:35.336002500
535,cparaiso,32,0 days 00:00:34.093757
536,cparaiso,34,-1 days +23:54:12.162985
537,crb,23,5 days 23:42:40.760564736
