,namespace,Semana,Porcentagem de engajamento em AAs
871,overmarciliofurtado,36,0.8645640074211502
179,cats,29,0.8636363636363636
322,colegiodasamericas,33,0.8636363636363636
4,acessoalmirantetamandare,31,0.8630451415455241
999,portinari,26,0.8619084561675717
5,acessoalmirantetamandare,32,0.8616283315078496
48,acessofazendariogrande,31,0.8613569321533924
939,physicsbatistacampos,37,0.8609865470852018
865,overmarciliofurtado,30,0.8601398601398601
106,adrianochan,35,0.8587155963302753
1016,porto,32,0.8586842021259616
482,colegiosete,36,0.8584431660962645
1060,progressaodc,34,0.8571428571428571
490,colegiouirapuru,33,0.8563527423567369
397,colegioguilhermedealmeida,32,0.855072463768116
366,colegioensitec,33,0.8549060542797495
364,colegioensitec,31,0.8546637744034707
721,invictus,33,0.8529326784166426
419,colegiointegral,34,0.8524676004712659
849,overjoaopessoa,36,0.8519480519480519
1224,universobarcarena,35,0.8510804478000521
300,colegiobrasilia,33,0.8506220798992074
348,colegioecursoprogressao,34,0.8500182016745541
639,elitecuritibaemilianoperneta,32,0.8492569002123143
735,isem,35,0.8479427549194991
614,eccos,34,0.847926267281106
833,overabelcabral,28,0.8462334972819052
275,colegiobatistaindependente,36,0.8461538461538461
307,colegiocb,27,0.8448275862068966
1108,saberviver,32,0.8446601941747572
951,physicsconselheirofurtado,33,0.8407643312101911
687,idaam,33,0.8405172413793104
345,colegioecursoprogressao,31,0.8399486007995431
964,physicsumarizal,34,0.8388888888888889
91,acessosjpinhais,29,0.8387096774193549
392,colegioglobal,34,0.8383862497015995
1053,progressaodc,26,0.8368869936034116
301,colegiobrasilia,34,0.8366047745358091
755,magister,32,0.8360716952949963
262,colegioarena,33,0.8325757575757575
902,overzonanorte,31,0.8325315694527962
765,maplebearslz,36,0.8321104876996116
688,idaam,34,0.8318965517241379
1052,progressaodc,25,0.8304093567251462
79,acessosantafelicidade,30,0.8301886792452831
416,colegiointegral,31,0.8294077603812117
441,colegiomundial,28,0.8260869565217391
295,colegiobrasilia,26,0.825
1225,universobarcarena,37,0.8246708246708246
1015,porto,31,0.8235294117647058
481,colegiosete,35,0.8233530293676691
498,colegiouniverso,33,0.8222782681799076
308,colegiocb,30,0.8220338983050848
92,acessosjpinhais,30,0.8210526315789474
544,crb,36,0.8194389438943894
18,acessoboqueirao,32,0.8191737690679116
69,acessopinhais,30,0.8181818181818182
880,overmossoro,35,0.8176605504587156
761,maplebearslz,32,0.8170731707317073
850,overjoaopessoa,37,0.8163265306122449
393,colegioglobal,35,0.8153357531760436
783,master,28,0.8139920892781466
760,maplebearslz,31,0.8129935926091492
49,acessofazendariogrande,32,0.8097936058276002
493,colegiouirapuru,36,0.8079938802830369
343,colegioecursoprogressao,28,0.8052490805750585
268,colegiobatistaindependente,26,0.8039333734697973
34,acessocampolargo,37,0.8038282257264703
412,colegiointegral,27,0.7962555066079295
552,crescercampinas,34,0.7955059000753201
180,cats,30,0.7954545454545454
872,overmarciliofurtado,37,0.7937181663837012
1028,prismapatrocinio,25,0.7935961801776499
863,overmarciliofurtado,28,0.7929447852760736
