,namespace,grade,Porcentagem de visualização de relatórios de AA
134,amaisteste,ef 6o ano,0.3333333333333333
135,amaisteste,ef 9o ano,0.08
136,amaisteste,em 1a serie,0.0
137,amaisteste,em 3a serie,0.0
138,anchietaba,em 1a serie,0.0
139,anitagoncalves,em 1a serie,0.0
140,anossaatmosfera,ef 3o ano,0.0
141,anossaatmosfera,ef 7o ano,0.0
142,anossaatmosfera,ef 9o ano,0.0
143,anossaatmosfera,em 1a serie,0.0
144,anossaatmosfera,em 2a serie,0.0
145,anossaatmosfera,em 3a serie,0.0
146,anossaatmosfera,outro,0.0
147,apogeubenfica,outro,0.0
148,apogeupousoalegre,outro,0.0
149,apogeustoantonio1,outro,0.0
150,apogeustoantonio2,ef 9o ano,0.5909090909090909
151,apogeustoantonio2,outro,0.36312456016889516
152,aprovest,outro,0.8588235294117647
153,arena,em 1a serie,0.0
154,atmo,em 1a serie,0.0
155,augustolaranja,em 1a serie,0.0
156,avaliacaoapogeu,ef 9o ano,0.0
157,avaliacaoapogeu,outro,0.0
158,bahema,em 1a serie,0.0
159,beityaacov,em 1a serie,0.0
160,beityaacov,em 3a serie,0.0
161,benjaminconstant,ef 1o ano,0.0
162,benjaminconstant,em 1a serie,0.0
163,bertelsmann,ef 5o ano,0.0
164,bertelsmann,em 1a serie,0.0
165,blueschooleducacional,em 1a serie,0.0
166,boaviagem,ef 3o ano,0.0
167,boaviagem,ef 7o ano,0.0
168,boaviagem,ef 9o ano,0.0
169,boaviagem,em 1a serie,0.0
170,boaviagem,em 2a serie,0.0
171,boaviagem,em 3a serie,0.0
172,boaviagem,outro,0.0
173,borapassar,ef 3o ano,0.0
174,borapassar,ef 7o ano,0.0
175,borapassar,ef 9o ano,0.0
176,borapassar,em 1a serie,0.0
177,borapassar,em 2a serie,0.0
178,borapassar,em 3a serie,0.0
179,borapassar,outro,0.0
180,bosquemananciais,em 1a serie,0.0
181,brasilcursinhos,outro,0.4069767441860465
182,camerinocursos,outro,0.08
183,capacitacaoinspira,outro,0.0
184,casdinhosjc,ef 8o ano,0.4158730158730159
185,casdinhosjc,ef 9o ano,0.541958041958042
186,casdvest,ef 8o ano,0.0
187,casdvest,outro,0.07347035199622018
188,catamaravita,ef 3o ano,0.0
189,catamaravita,ef 7o ano,0.0
190,catamaravita,ef 9o ano,0.0
191,catamaravita,em 1a serie,0.0
192,catamaravita,em 2a serie,0.0
193,catamaravita,em 3a serie,0.0
194,catamaravita,outro,0.0
195,catarinense,ef 1o ano,0.0
196,catarinense,em 1a serie,0.0
197,cats,outro,0.38636363636363635
198,caur,ef 9o ano,0.0
199,caur,em 2a serie,0.0
200,caur,outro,0.0
201,cav,em 1a serie,0.0
202,cbpdigital,ef 2o ano,0.605
203,cbpdigital,ef 3o ano,0.7889908256880734
204,cbpdigital,ef 4o ano,0.936046511627907
205,cbpdigital,ef 5o ano,0.9027777777777778
206,cbpdigital,ef 6o ano,0.7724358974358975
207,cbpdigital,ef 7o ano,0.7314487632508834
208,cbpdigital,ef 8o ano,0.596078431372549
209,cbpdigital,ef 9o ano,0.7018633540372671
210,ceabb,ef 3o ano,0.020833333333333332
211,ceabb,ef 4o ano,0.4
212,ceabb,ef 5o ano,0.18181818181818182
213,ceabb,ef 6o ano,0.16708229426433915
214,ceabb,ef 7o ano,0.19607843137254902
215,ceabb,ef 8o ano,0.06349206349206349
216,ceabb,ef 9o ano,0.13194444444444445
217,cecbdf,em 1a serie,0.0
218,cecbdf,em 3a serie,0.0
219,ceespacolivre,ef 3o ano,0.0
220,ceespacolivre,ef 5o ano,1.0
221,ceespacolivre,ef 6o ano,0.11174785100286533
222,ceespacolivre,ef 7o ano,0.04121863799283154
223,ceespacolivre,ef 8o ano,0.057203389830508475
224,ceespacolivre,ef 9o ano,0.036016949152542374
225,ceespacolivre,em 1a serie,0.27419354838709675
226,ceespacolivre,em 2a serie,0.216
227,ceespacolivre,em 3a serie,0.0
228,ceespacolivre,outro,0.0
229,cem,ef 2o ano,0.5641025641025641
230,cem,ef 3o ano,0.625
231,cem,ef 4o ano,0.7708333333333334
232,cem,ef 5o ano,0.7456140350877193
233,cem,ef 6o ano,0.6888888888888889
234,cem,ef 7o ano,0.8713450292397661
235,cem,ef 8o ano,0.9155555555555556
236,cem,ef 9o ano,0.8333333333333334
237,cem,em 1a serie,0.8021978021978022
238,cem,em 2a serie,0.8576388888888888
239,cem,em 3a serie,0.6439393939393939
240,ceprimeiromundo,ef 1o ano,0.0
241,ceprimeiromundo,ef 2o ano,0.0
242,ceprimeiromundo,ef 3o ano,0.1875
243,ceprimeiromundo,ef 4o ano,0.4411764705882353
244,ceprimeiromundo,ef 5o ano,0.33
245,ceprimeiromundo,ef 6o ano,0.10698096101541252
246,ceprimeiromundo,ef 7o ano,0.14933837429111532
247,ceprimeiromundo,ef 8o ano,0.15297202797202797
248,ceprimeiromundo,ef 9o ano,0.18704512372634644
249,ceprimeiromundo,em 1a serie,0.14735772357723578
250,ceprimeiromundo,em 2a serie,0.10245398773006135
251,ceprimeiromundo,em 3a serie,0.38839285714285715
252,ceprimeiromundo,outro,0.0
253,cepseguro,em 1a serie,0.0
254,cfc,ef 1o ano,0.0
255,cfc,em 1a serie,0.0
256,cfimaculadaconceicao,em 2a serie,0.0
257,charlesdarwin,em 1a serie,0.0
258,ciadosaber,ef 2o ano,0.0
259,ciadosaber,ef 3o ano,0.08035714285714286
260,ciadosaber,ef 4o ano,0.16666666666666666
261,ciadosaber,ef 5o ano,0.3359375
262,ciadosaber,ef 6o ano,0.4093567251461988
263,ciadosaber,ef 7o ano,0.3431952662721893
264,ciadosaber,ef 8o ano,0.5714285714285714
265,ciadosaber,ef 9o ano,0.3089430894308943
266,cicserratalhada,em 1a serie,0.0
267,classea,em 1a serie,0.0
