,namespace,grade,numero_ex
270,colegioecursodesafio,ef 9o ano,125.0
271,colegioecursodesafio,em 1a serie,199.0
272,colegioecursodesafio,em 2a serie,211.0
273,colegioecursodesafio,em 3a serie,178.0
274,colegioecursoprogressao,ef 1o ano,10.0
275,colegioecursoprogressao,ef 6o ano,145.5
276,colegioecursoprogressao,ef 7o ano,141.0
277,colegioecursoprogressao,ef 8o ano,270.0
278,colegioecursoprogressao,ef 9o ano,152.0
279,colegioecursoprogressao,em 1a serie,81.81818181818181
280,colegioecursoprogressao,em 2a serie,187.57142857142858
281,colegioecursoprogressao,em 3a serie,229.25
282,colegioeducallis,ef 2o ano,18.0
283,colegioeducallis,ef 3o ano,15.857142857142858
284,colegioeducallis,ef 4o ano,26.4
285,colegioeducallis,ef 5o ano,18.666666666666668
286,colegioeducallis,ef 6o ano,48.6
287,colegioeducallis,ef 7o ano,53.07692307692308
288,colegioeducallis,ef 8o ano,52.54545454545455
289,colegioeducallis,ef 9o ano,64.85714285714286
290,colegioeducallis,em 1a serie,46.8
291,colegioeducallis,em 2a serie,45.473684210526315
292,colegioeducallis,em 3a serie,146.25
293,colegioensitec,ef 2o ano,60.0
294,colegioensitec,ef 3o ano,58.0
295,colegioensitec,ef 4o ano,35.0
296,colegioensitec,ef 5o ano,38.5
297,colegioensitec,ef 6o ano,43.0
298,colegioensitec,ef 7o ano,57.333333333333336
299,colegioensitec,ef 8o ano,48.0
300,colegioensitec,ef 9o ano,77.0
301,colegioensitec,em 1a serie,92.5
302,colegioensitec,em 2a serie,73.33333333333333
303,colegioensitec,em 3a serie,190.0
304,colegioflamingo,em 1a serie,174.0
305,colegioflamingo,em 2a serie,219.0
306,colegioflamingo,em 3a serie,243.5
307,colegiofuturageracao,ef 3o ano,60.0
308,colegiofuturageracao,ef 4o ano,50.0
309,colegiofuturageracao,ef 5o ano,60.0
310,colegiofuturageracao,ef 6o ano,122.0
311,colegiofuturageracao,ef 7o ano,122.0
312,colegiofuturageracao,ef 8o ano,140.0
313,colegiofuturageracao,ef 9o ano,133.0
314,colegiofuturageracao,em 1a serie,10.0
315,colegioglobal,ef 2o ano,45.5
316,colegioglobal,ef 3o ano,54.0
317,colegioglobal,ef 4o ano,52.0
318,colegioglobal,ef 5o ano,74.33333333333333
319,colegioglobal,ef 6o ano,123.0
320,colegioglobal,ef 7o ano,114.0
321,colegioglobal,ef 8o ano,88.0
322,colegioglobal,ef 9o ano,41.666666666666664
323,colegioglobal,em 1a serie,202.0
324,colegioglobal,em 2a serie,228.0
325,colegioglobal,em 3a serie,202.0
326,colegioguilhermedealmeida,ef 6o ano,36.0
327,colegioguilhermedealmeida,ef 7o ano,50.0
328,colegioguilhermedealmeida,ef 8o ano,29.666666666666668
329,colegioguilhermedealmeida,ef 9o ano,26.0
330,colegioguilhermedealmeida,em 1a serie,20.0
331,colegioguilhermedealmeida,em 2a serie,24.0
332,colegioguilhermedealmeida,em 3a serie,20.0
333,colegioiguatemy,ef 3o ano,143.0
334,colegioiguatemy,ef 4o ano,41.0
335,colegioiguatemy,ef 5o ano,102.0
336,colegioiguatemy,ef 6o ano,73.5
337,colegioiguatemy,ef 7o ano,121.0
338,colegioiguatemy,ef 8o ano,149.0
339,colegioiguatemy,ef 9o ano,150.0
340,colegioiguatemy,em 1a serie,121.0
341,colegioiguatemy,em 2a serie,109.5
342,colegioiguatemy,em 3a serie,97.25
343,colegiointegral,ef 2o ano,118.0
344,colegiointegral,ef 3o ano,124.0
345,colegiointegral,ef 4o ano,142.0
346,colegiointegral,ef 5o ano,93.2
347,colegiointegral,ef 6o ano,150.8
