,namespace,grade,Porcentagem de engajamento em AAs
818,overpontanegra,ef 6o ano,0.6308982873121286
623,insa,em 1a serie,0.6303317535545023
507,contemporaneocidadeverde,ef 6o ano,0.6301369863013698
509,contemporaneocidadeverde,ef 8o ano,0.6275071633237822
1041,santoamerico,ef 8o ano,0.6270753512132823
703,mariliamattoso,ef 8o ano,0.6258031616522183
44,acessohauer,ef 2o ano,0.6254789272030651
442,colegiopremium,em 1a serie,0.6243678887484198
34,acessofazendariogrande,ef 5o ano,0.6241887905604719
14,acessoboqueirao,ef 9o ano,0.6218581545291195
914,physicsumarizal,em 2a serie,0.6203562340966922
913,physicsumarizal,em 1a serie,0.6182808524173028
486,colegioup,ef 8o ano,0.6167533993620951
6,acessoalmirantetamandare,ef 8o ano,0.6160653505786249
490,colegioup,em 3a serie,0.6138583068980531
980,prismapatrocinio,em 1a serie,0.6133861101115509
702,mariliamattoso,ef 7o ano,0.6128281287629446
874,physicsbatistacampos,ef 3o ano,0.612
587,einsteinassis,ef 9o ano,0.6118421052631579
541,crescercampinas,em 3a serie,0.6104116222760291
493,colsantacatarinape,em 3a serie,0.6099547511312218
26,acessocampolargo,outro,0.606030647553139
724,minhalista,outro,0.6041666666666666
29,acessocampolargokids,ef 4o ano,0.6033755274261603
1089,stellamarisxaxim,ef 5o ano,0.6010544815465729
696,maplebearslz,em 1a serie,0.5996062992125984
1110,universitariolondrina,em 1a serie,0.5994972498071132
485,colegioup,ef 7o ano,0.5992268041237113
976,prismapatrocinio,ef 6o ano,0.5991266990633143
286,colegioeag,ef 1o ano,0.5986316989737742
1032,sagradafamilia,em 3a serie,0.5961963732861566
124,brasilcursinhos,outro,0.595271629778672
287,colegioeag,ef 3o ano,0.5952380952380952
656,invictus,ef 7o ano,0.5943843672927338
46,acessohauer,ef 4o ano,0.5941534713763703
1132,villalobos,ef 9o ano,0.5940089228808159
814,overpontanegra,ef 2o ano,0.59375
804,overmossoro,ef 7o ano,0.5922077922077922
499,conexaosaber,ef 5o ano,0.5913937547600914
531,crb,em 2a serie,0.5894649113855155
209,colegioalphaunis,em 2a serie,0.5893899204244032
846,physicsalcindocacela,em 3a serie,0.589135749973424
563,eacorcovado,em 2a serie,0.5884843353090601
491,colsantacatarinape,em 1a serie,0.5882352941176471
1034,santadoroteia,em 2a serie,0.5875888817065288
22,acessocampolargo,ef 9o ano,0.5869585643145729
508,contemporaneocidadeverde,ef 7o ano,0.5863013698630137
36,acessofazendariogrande,ef 7o ano,0.5861990950226245
592,elitecuritibaemilianoperneta,em 2a serie,0.5853413093307989
717,master,ef 9o ano,0.5817825151031178
895,physicsconselheirofurtado,em 2a serie,0.5814546676441837
540,crescercampinas,em 2a serie,0.5802886783942265
782,overjoaopessoa,em 3a serie,0.5797962648556876
425,colegioplanck,ef 6o ano,0.5791079812206573
219,colegioarena,em 2a serie,0.5787037037037037
86,aescobjetivo,ef 5o ano,0.578689099193831
1003,provaspoliedro,ef 9o ano,0.5766306522609044
