,namespace,grade,Tempo de correção por aluno por questão
217,stellamarisjuveve,ef 7o ano,0 days 00:10:43.819083
218,stellamarisjuveve,ef 8o ano,0 days 00:49:17.294602
219,stellamarisjuveve,ef 9o ano,0 days 01:43:10.973899333
220,stellamarisjuveve,em 1a serie,0 days 02:05:35.035483
221,villalobos,ef 4o ano,0 days 09:30:11.504157
222,villalobos,ef 5o ano,0 days 05:06:12.353575
223,villalobos,ef 7o ano,0 days 01:00:22.054352500
224,villalobos,ef 9o ano,0 days 11:45:37.914860500
225,villalobos,em 1a serie,0 days 12:33:36.943029375
226,villalobos,em 3a serie,0 days 02:39:01.613857
