,namespace,Tempo médio entre criação e publicação de AA por questão
,,
182,pioxiicolegio,0 days 08:01:46.609695263
183,plannetaosasco,0 days 00:00:13.856005692
184,plannetataboao,0 days 05:17:09.661293167
185,poliedro,0 days 00:14:50.179119501
186,poliedropv,0 days 02:36:43.016760984
187,poliedrotreinamento,0 days 00:00:47.392728040
188,portinari,0 days 03:19:12.337303323
189,porto,0 days 01:50:12.451086116
190,portoseguro,0 days 00:00:21.785293937
191,positivoon,1 days 09:58:01.704925500
192,prevest,0 days 00:06:22.656852425
193,primeirodemaio,0 days 01:38:43.255896858
194,prismapatrocinio,0 days 00:16:44.424612333
195,profederal,0 days 00:00:15.900004501
196,progressaodc,0 days 00:37:53.267181200
197,progressaoig,0 days 00:04:32.797304493
198,provaspoliedro,0 days 03:33:20.800782733
199,psantagema,0 days 00:28:56.418095494
200,qescola,0 days 05:28:39.538072220
201,rede,0 days 00:00:41.911422400
202,saberviver,0 days 00:09:38.718781925
203,saea,0 days 00:02:22.444272999
204,sagradafamilia,0 days 08:09:33.835754983
205,santadoroteia,0 days 00:03:07.956797086
206,santamariacn,0 days 04:46:30.504859972
207,santoagostinho,0 days 00:00:10.304983
208,santoamerico,0 days 01:44:48.669865863
209,santoantonio,0 days 00:00:46.487346583
210,sas,0 days 04:26:00.784565496
211,sasadapt,0 days 00:01:24.190281250
212,sasadaptem,0 days 00:00:29.239385748
213,saseducacao,0 days 00:00:15.296939933
214,seletivoeducallis,0 days 00:14:15.426162066
215,serios,0 days 00:00:10.957160333
216,simbios,0 days 00:05:34.389031293
217,simuladoita,0 days 14:59:54.782327797
218,sobral,0 days 00:00:04.640015
219,souhabilis,0 days 00:00:05.802033159
220,spdacruz,0 days 00:48:27.767518159
221,stellamarisaguaverde,0 days 01:34:21.095544854
222,stellamarisjuveve,0 days 01:25:40.865137432
223,stellamarisxaxim,0 days 04:49:08.898724458
224,studos,0 days 00:00:56.312239
225,testevictorhugo,0 days 00:00:02.258431378
226,universitariolondrina,0 days 00:28:48.442694175
227,universobarcarena,0 days 00:00:48.922401966
228,villalobos,0 days 00:12:11.565441270
229,vitae,0 days 00:00:34.490627622
230,wilsondeandradebarreto,0 days 00:00:12.216641
