,namespace,Semana,creation,Número de visualizações de relatórios de atividade avaliativa,user_id
108,apogeustoantonio2,0,2021-09-28,2,76
109,apogeustoantonio2,0,2021-10-01,3,76
110,apogeustoantonio2,0,2021-10-02,5,76
111,brasilcursinhos,0,2021-09-24,3,162
112,brasilcursinhos,0,2021-09-29,2,162
113,calculo2,0,2021-09-30,3,1
114,calculo2,0,2021-10-01,1,1
115,casdinhosjc,0,2021-09-30,4,123
116,casdvest,0,2021-09-29,4,150
117,casdvest,0,2021-10-01,1,150
118,cats,0,2021-09-26,9,38
119,cats,0,2021-09-27,3,38
120,cats,0,2021-09-28,3,38
121,cats,0,2021-09-29,11,38
122,cats,0,2021-09-30,3,38
123,cats,0,2021-10-01,3,38
124,cats,0,2021-10-02,2,38
125,cbpdigital,0,2021-09-24,889,21
126,cbpdigital,0,2021-09-25,3,21
127,cbpdigital,0,2021-09-26,49,21
128,cbpdigital,0,2021-09-27,620,21
129,cbpdigital,0,2021-09-28,94,21
130,cbpdigital,0,2021-09-29,185,21
131,cbpdigital,0,2021-09-30,144,21
132,cbpdigital,0,2021-10-01,265,21
133,cbpdigital,0,2021-10-02,23,21
134,ceabb,0,2021-09-27,4,12
135,ceabb,0,2021-10-01,1,12
136,ceespacolivre,0,2021-09-24,7,32
137,ceespacolivre,0,2021-09-25,10,32
138,ceespacolivre,0,2021-09-26,1,32
139,ceespacolivre,0,2021-09-27,32,32
140,ceespacolivre,0,2021-09-28,5,32
141,ceespacolivre,0,2021-09-29,10,32
142,ceespacolivre,0,2021-09-30,6,32
143,cem,0,2021-09-27,17,27
144,cem,0,2021-10-01,2,27
145,ceprimeiromundo,0,2021-09-24,15,112
146,ceprimeiromundo,0,2021-09-25,6,112
147,ceprimeiromundo,0,2021-09-26,48,112
148,ceprimeiromundo,0,2021-09-27,46,112
149,ceprimeiromundo,0,2021-09-28,30,112
150,ceprimeiromundo,0,2021-09-29,14,112
151,ceprimeiromundo,0,2021-09-30,7,112
152,ceprimeiromundo,0,2021-10-01,14,112
153,ciadosaber,0,2021-09-24,89,18
154,ciadosaber,0,2021-09-26,68,18
155,ciadosaber,0,2021-09-27,33,18
156,ciadosaber,0,2021-09-28,59,18
157,ciadosaber,0,2021-09-29,25,18
158,ciadosaber,0,2021-09-30,2,18
159,ciadosaber,0,2021-10-01,9,18
160,cnslpb,0,2021-09-24,2,24
161,cnslpb,0,2021-09-26,22,24
162,cnslpb,0,2021-09-27,9,24
163,cnslpb,0,2021-09-28,7,24
164,cnslpb,0,2021-09-29,23,24
165,cnslpb,0,2021-09-30,56,24
166,cnslpb,0,2021-10-01,100,24
167,colegioalphaunis,0,2021-09-30,3,28
168,colegioarena,0,2021-09-24,3,71
169,colegioarena,0,2021-09-25,1,71
170,colegioarena,0,2021-09-26,7,71
171,colegioarena,0,2021-09-27,19,71
172,colegioarena,0,2021-09-28,3,71
173,colegioarena,0,2021-09-29,7,71
174,colegioarena,0,2021-09-30,8,71
175,colegioarena,0,2021-10-01,3,71
176,colegiobatistaindependente,0,2021-09-24,36,17
177,colegiobatistaindependente,0,2021-09-25,3,17
178,colegiobatistaindependente,0,2021-09-26,83,17
179,colegiobatistaindependente,0,2021-09-27,170,17
180,colegiobatistaindependente,0,2021-09-28,271,17
181,colegiobatistaindependente,0,2021-09-29,115,17
182,colegiobatistaindependente,0,2021-09-30,284,17
183,colegiobatistaindependente,0,2021-10-01,160,17
