,namespace,Semana,creation,Número de visualizações de relatórios de caderno,user_id
61,cats,0,2021-09-27,1,38
62,cats,0,2021-09-28,1,38
63,cats,0,2021-10-01,1,38
64,ceespacolivre,0,2021-09-29,1,32
65,cem,0,2021-09-25,3,27
66,cem,0,2021-09-26,1,27
67,cem,0,2021-09-27,1,27
68,cem,0,2021-09-28,2,27
69,cem,0,2021-09-29,1,27
70,cem,0,2021-10-01,8,27
71,ceprimeiromundo,0,2021-09-24,5,112
72,ceprimeiromundo,0,2021-09-27,1,112
73,ceprimeiromundo,0,2021-09-28,3,112
74,ceprimeiromundo,0,2021-09-29,1,112
75,ceprimeiromundo,0,2021-09-30,1,112
76,ceprimeiromundo,0,2021-10-01,1,112
77,ciadosaber,0,2021-09-24,3,18
78,ciadosaber,0,2021-09-25,7,18
79,ciadosaber,0,2021-09-26,1,18
80,ciadosaber,0,2021-09-27,27,18
81,ciadosaber,0,2021-09-28,5,18
82,colegiobilac,0,2021-09-27,12,18
83,colegiobilac,0,2021-10-01,1,18
84,colegiobrasilia,0,2021-09-24,35,58
85,colegiobrasilia,0,2021-09-25,4,58
86,colegiobrasilia,0,2021-09-26,3,58
87,colegiobrasilia,0,2021-09-27,47,58
88,colegiobrasilia,0,2021-09-28,28,58
89,colegiobrasilia,0,2021-09-29,27,58
90,colegiobrasilia,0,2021-09-30,21,58
91,colegiobrasilia,0,2021-10-01,44,58
92,colegiobrasilia,0,2021-10-02,21,58
93,colegiocb,0,2021-09-29,1,27
94,colegiocb,0,2021-10-01,3,27
95,colegiodasamericas,0,2021-09-24,21,55
96,colegiodasamericas,0,2021-09-25,3,55
97,colegiodasamericas,0,2021-09-26,1,55
98,colegiodasamericas,0,2021-09-27,74,55
99,colegiodasamericas,0,2021-09-28,62,55
100,colegiodasamericas,0,2021-09-29,81,55
101,colegiodasamericas,0,2021-10-01,2,55
102,colegioeag,0,2021-09-28,1,43
103,colegioecursodesafio,0,2021-09-27,1,63
104,colegioecursodesafio,0,2021-10-02,15,63
105,colegioecursoprogressao,0,2021-09-27,1,32
106,colegioecursoprogressao,0,2021-09-30,3,32
107,colegioecursoprogressao,0,2021-10-02,2,32
108,colegioeducallis,0,2021-09-29,48,91
109,colegioeducallis,0,2021-10-01,20,91
110,colegioensitec,0,2021-09-24,1,34
111,colegioensitec,0,2021-09-30,1,34
112,colegioflamingo,0,2021-09-28,4,12
113,colegioflamingo,0,2021-09-29,1,12
114,colegioflamingo,0,2021-09-30,1,12
115,colegioflamingo,0,2021-10-01,8,12
116,colegioflamingo,0,2021-10-02,13,12
117,colegiofuturageracao,0,2021-09-27,2,15
118,colegioguilhermedealmeida,0,2021-09-24,6,65
119,colegioguilhermedealmeida,0,2021-09-27,3,65
120,colegioguilhermedealmeida,0,2021-09-28,10,65
121,colegioguilhermedealmeida,0,2021-09-29,2,65
122,colegioguilhermedealmeida,0,2021-10-01,1,65
123,colegioiguatemy,0,2021-09-28,1,32
124,colegioiguatemy,0,2021-09-29,4,32
125,colegioiguatemy,0,2021-09-30,6,32
126,colegioiguatemy,0,2021-10-01,2,32
127,colegioiguatemy,0,2021-10-02,3,32
128,colegiojoaopaulo,0,2021-09-25,1,72
129,colegiojoaopaulo,0,2021-09-27,2,72
130,colegiojoaopaulo,0,2021-09-28,1,72
131,colegiojoaopaulo,0,2021-09-30,1,72
132,colegiopremium,0,2021-09-29,8,48
133,colegiosete,0,2021-09-24,1,42
134,colegiosete,0,2021-09-26,2,42
135,colegiosete,0,2021-09-27,1,42
136,colegiosete,0,2021-09-29,3,42
137,colegiosete,0,2021-09-30,1,42
138,colegiouniverso,0,2021-09-29,1,84
139,conexaosaber,0,2021-09-26,1,31
140,conexaosaber,0,2021-09-27,4,31
141,conexaosaber,0,2021-09-28,1,31
142,conradochaves,0,2021-09-24,1,13
143,cursoenfase,0,2021-09-25,1,40
144,cursoisfera,0,2021-10-01,5,14
145,cursosazambuja,0,2021-09-28,1,25
146,cursosazambuja,0,2021-09-29,1,25
147,cursosazambuja,0,2021-10-01,2,25
148,cursosazambuja,0,2021-10-02,1,25
149,eacorcovado,0,2021-09-24,2,110
150,eacorcovado,0,2021-09-27,4,110
151,eacorcovado,0,2021-09-28,9,110
152,eacorcovado,0,2021-09-29,2,110
153,eacorcovado,0,2021-09-30,19,110
154,eacorcovado,0,2021-10-01,33,110
155,eacorcovado,0,2021-10-02,51,110
156,eccos,0,2021-09-27,1,46
157,eccos,0,2021-09-28,7,46
158,eccos,0,2021-09-29,1,46
159,eccos,0,2021-09-30,3,46
160,educamais,0,2021-09-25,6,2
161,educamais,0,2021-09-30,1,2
162,educarse,0,2021-09-27,1,15
163,einsteinassis,0,2021-09-27,1,25
164,einsteinassis,0,2021-09-28,15,25
165,einsteinassis,0,2021-09-30,4,25
166,einsteinassis,0,2021-10-02,1,25
167,elitecuritibaemilianoperneta,0,2021-09-29,1,42
168,esperanza,0,2021-09-29,1,35
169,faculdadeflamingo,0,2021-09-24,9,63
170,faculdadeflamingo,0,2021-09-25,7,63
171,faculdadeflamingo,0,2021-09-26,4,63
172,faculdadeflamingo,0,2021-09-27,10,63
173,faculdadeflamingo,0,2021-09-28,19,63
174,faculdadeflamingo,0,2021-09-29,11,63
175,faculdadeflamingo,0,2021-09-30,14,63
176,faculdadeflamingo,0,2021-10-01,12,63
177,faculdadeflamingo,0,2021-10-02,3,63
178,gamt,0,2021-09-24,4,6
179,gamt,0,2021-09-27,4,6
180,gamt,0,2021-09-28,4,6
181,gamt,0,2021-09-30,1,6
182,gamt,0,2021-10-01,1,6
183,gerabixo,0,2021-09-27,1,58
184,hamiltondarocha,0,2021-09-24,23,18
185,hamiltondarocha,0,2021-09-25,5,18
186,hamiltondarocha,0,2021-09-26,1,18
187,hamiltondarocha,0,2021-09-27,14,18
188,hamiltondarocha,0,2021-09-28,9,18
189,hamiltondarocha,0,2021-09-29,17,18
190,hamiltondarocha,0,2021-09-30,22,18
191,hamiltondarocha,0,2021-10-01,6,18
192,informacao,0,2021-09-25,2,29
193,informacao,0,2021-09-27,4,29
194,informacao,0,2021-10-02,1,29
195,insa,0,2021-09-27,1,15
196,integra,0,2021-09-25,1,32
197,integra,0,2021-09-28,4,32
198,integra,0,2021-09-29,1,32
199,integra,0,2021-09-30,13,32
200,integra,0,2021-10-01,4,32
201,integradaeducativa,0,2021-09-24,3,30
202,integradaeducativa,0,2021-09-28,1,30
203,integradaeducativa,0,2021-09-29,2,30
204,integradaeducativa,0,2021-09-30,2,30
205,invictus,0,2021-09-24,6,18
206,invictus,0,2021-09-27,4,18
207,invictus,0,2021-09-28,3,18
208,invictus,0,2021-09-29,5,18
209,invictus,0,2021-09-30,1,18
210,invictus,0,2021-10-01,3,18
211,isem,0,2021-09-27,2,37
212,isem,0,2021-09-28,2,37
213,isem,0,2021-09-29,2,37
214,isem,0,2021-10-01,2,37
215,ismart,0,2021-09-24,2,3
216,ismart,0,2021-09-27,1,3
217,ismart,0,2021-09-28,3,3
218,ismart,0,2021-09-29,5,3
219,itamarati,0,2021-09-27,1,88
220,jazzvestibular,0,2021-09-24,1,9
221,jazzvestibular,0,2021-10-01,1,9
222,joaobelem,0,2021-09-24,2,20
223,joaobelem,0,2021-09-28,2,20
224,joaorosa,0,2021-09-28,1,12
225,joaosampaio,0,2021-09-24,2,34
226,josemelo,0,2021-09-24,2,26
227,josepinheiro,0,2021-09-24,2,20
228,josepinheiro,0,2021-09-25,4,20
229,josepinheiro,0,2021-09-27,5,20
230,josepinheiro,0,2021-10-01,1,20
231,josepinheiro,0,2021-10-02,2,20
232,liessinbarra,0,2021-09-27,1,11
233,macvest,0,2021-09-24,5,36
234,macvest,0,2021-09-25,2,36
235,macvest,0,2021-09-26,1,36
236,macvest,0,2021-09-27,3,36
237,macvest,0,2021-09-28,3,36
238,macvest,0,2021-10-01,1,36
239,mariacarmo,0,2021-09-26,1,22
240,mariaeunice,0,2021-09-24,7,15
241,mariaeunice,0,2021-09-25,1,15
242,mariaeunice,0,2021-09-28,4,15
243,mariaeunice,0,2021-09-30,1,15
244,marialaura,0,2021-09-24,1,20
245,marianair,0,2021-09-27,3,11
246,marianair,0,2021-09-28,1,11
247,marianair,0,2021-09-29,1,11
248,marianair,0,2021-09-30,1,11
249,marianair,0,2021-10-01,2,11
250,mariliamattoso,0,2021-09-25,4,62
251,mariliamattoso,0,2021-09-26,1,62
252,mariliamattoso,0,2021-09-28,5,62
253,mariliamattoso,0,2021-09-29,4,62
254,mariliamattoso,0,2021-09-30,6,62
255,mariliamattoso,0,2021-10-02,3,62
256,moaciralves,0,2021-09-24,2,15
257,moaciralves,0,2021-09-27,2,15
258,mocinhagomes,0,2021-09-24,2,3
259,mocinhagomes,0,2021-09-27,3,3
260,mocinhagomes,0,2021-09-28,3,3
261,mocinhagomes,0,2021-09-29,1,3
262,mocinhagomes,0,2021-09-30,5,3
263,mocinhagomes,0,2021-10-01,4,3
264,monsenhorgoncalo,0,2021-09-24,1,46
265,murilorocha,0,2021-09-24,4,29
266,murilorocha,0,2021-09-25,2,29
267,murilorocha,0,2021-09-26,1,29
268,murilorocha,0,2021-09-27,1,29
269,murilorocha,0,2021-09-28,6,29
270,murilorocha,0,2021-09-29,9,29
271,murilorocha,0,2021-09-30,2,29
272,murilorocha,0,2021-10-01,3,29
273,nsfatima,0,2021-09-30,6,17
274,nucleocriativo,0,2021-09-26,1,17
275,nucleocriativo,0,2021-09-29,1,17
276,objetivolorena,0,2021-09-24,14,64
277,objetivolorena,0,2021-09-25,25,64
278,objetivolorena,0,2021-09-26,14,64
279,objetivolorena,0,2021-09-27,11,64
280,objetivolorena,0,2021-09-28,31,64
281,objetivolorena,0,2021-09-29,38,64
282,objetivolorena,0,2021-09-30,17,64
283,objetivolorena,0,2021-10-01,1,64
284,objetivolorena,0,2021-10-02,1,64
285,overabelcabral,0,2021-09-24,4,74
286,overabelcabral,0,2021-09-25,2,74
287,overabelcabral,0,2021-09-26,18,74
288,overabelcabral,0,2021-09-27,5,74
289,overabelcabral,0,2021-09-29,8,74
290,overjoaopessoa,0,2021-10-02,1,31
291,overlimaesilva,0,2021-09-25,2,21
292,overlimaesilva,0,2021-09-27,6,21
293,overlimaesilva,0,2021-09-29,2,21
294,overlimaesilva,0,2021-09-30,1,21
295,overmarciliofurtado,0,2021-09-24,4,53
296,overmossoro,0,2021-09-25,3,40
297,overmossoro,0,2021-09-26,4,40
298,overmossoro,0,2021-09-27,1,40
299,overnascimentodecastro,0,2021-09-25,1,21
300,overnascimentodecastro,0,2021-10-02,1,21
301,overpontanegra,0,2021-09-25,2,68
302,overpontanegra,0,2021-09-26,1,68
303,overpontanegra,0,2021-09-27,4,68
304,overpontanegra,0,2021-09-28,3,68
305,overpontanegra,0,2021-09-30,1,68
306,overpontanegra,0,2021-10-02,1,68
307,overzonanorte,0,2021-09-26,1,45
308,overzonanorte,0,2021-09-28,1,45
309,overzonanorte,0,2021-09-29,1,45
310,physicsalcindocacela,0,2021-09-24,1,88
311,physicsalcindocacela,0,2021-10-01,1,88
312,physicsalmirantebarroso,0,2021-09-24,1,112
313,physicsalmirantebarroso,0,2021-09-26,1,112
314,physicsalmirantebarroso,0,2021-09-29,1,112
315,physicsalmirantebarroso,0,2021-09-30,3,112
316,physicsaugustomontenegro,0,2021-09-24,3,80
317,physicsaugustomontenegro,0,2021-09-26,1,80
318,physicsaugustomontenegro,0,2021-09-27,3,80
319,physicsaugustomontenegro,0,2021-09-28,1,80
320,physicsaugustomontenegro,0,2021-09-29,3,80
321,physicsaugustomontenegro,0,2021-09-30,7,80
322,physicsbatistacampos,0,2021-09-24,1,52
323,physicsbatistacampos,0,2021-09-27,1,52
324,physicsbatistacampos,0,2021-09-28,5,52
325,physicsbatistacampos,0,2021-09-29,4,52
326,physicsbatistacampos,0,2021-09-30,6,52
327,physicsbatistacampos,0,2021-10-01,7,52
328,physicscidadenova,0,2021-09-24,5,93
329,physicscidadenova,0,2021-09-25,2,93
330,physicscidadenova,0,2021-09-26,8,93
331,physicscidadenova,0,2021-09-27,1,93
332,physicscidadenova,0,2021-09-29,1,93
333,physicsconselheirofurtado,0,2021-09-29,1,73
334,physicsconselheirofurtado,0,2021-09-30,2,73
335,physicsumarizal,0,2021-09-27,1,70
336,physicsumarizal,0,2021-09-28,1,70
337,physicsumarizal,0,2021-09-30,1,70
338,physicsumarizal,0,2021-10-01,6,70
339,pioxi,0,2021-09-30,2,64
340,portinari,0,2021-09-24,3,75
341,portinari,0,2021-09-27,1,75
342,portinari,0,2021-09-28,2,75
343,portinari,0,2021-09-30,2,75
344,porto,0,2021-09-26,2,68
345,porto,0,2021-09-27,1,68
346,primeirodemaio,0,2021-09-25,1,40
347,primeirodemaio,0,2021-10-01,1,40
348,profederal,0,2021-09-27,1,24
349,progressaodc,0,2021-09-29,1,24
350,progressaoig,0,2021-09-25,1,27
351,progressaoig,0,2021-09-26,1,27
352,progressaoig,0,2021-09-27,1,27
353,progressaoig,0,2021-09-30,1,27
354,progressaoig,0,2021-10-02,2,27
355,provaspoliedro,0,2021-10-02,1,255
356,qescola,0,2021-09-28,1,439
357,qescola,0,2021-09-29,1,439
358,raimundoalves,0,2021-09-27,1,5
359,santoamerico,0,2021-09-24,17,109
360,santoamerico,0,2021-09-25,2,109
361,santoamerico,0,2021-09-26,4,109
362,santoamerico,0,2021-09-27,2,109
363,santoamerico,0,2021-09-28,1,109
364,santoamerico,0,2021-09-29,6,109
365,santoamerico,0,2021-09-30,18,109
366,santoamerico,0,2021-10-01,11,109
367,senhorbonfim,0,2021-09-24,2,18
368,senhorbonfim,0,2021-09-27,1,18
369,senhorbonfim,0,2021-09-28,2,18
370,souhabilis,0,2021-09-29,1,17
371,spdacruz,0,2021-09-26,1,31
372,spdacruz,0,2021-09-27,1,31
373,stellamarisaguaverde,0,2021-09-25,2,39
374,stellamarisaguaverde,0,2021-09-27,1,39
375,stellamarisaguaverde,0,2021-09-28,1,39
376,stellamarisaguaverde,0,2021-09-29,3,39
377,stellamarisaguaverde,0,2021-10-01,3,39
378,stellamarisjuveve,0,2021-09-24,2,114
379,stellamarisjuveve,0,2021-09-25,2,114
380,stellamarisjuveve,0,2021-09-26,5,114
381,stellamarisjuveve,0,2021-09-27,7,114
382,stellamarisjuveve,0,2021-09-28,1,114
383,stellamarisjuveve,0,2021-09-29,1,114
384,stellamarisjuveve,0,2021-09-30,2,114
385,stellamarisjuveve,0,2021-10-02,2,114
386,stellamarisxaxim,0,2021-09-24,1,49
387,stellamarisxaxim,0,2021-09-25,4,49
388,stellamarisxaxim,0,2021-09-26,15,49
389,stellamarisxaxim,0,2021-09-27,4,49
390,stellamarisxaxim,0,2021-09-28,7,49
391,stellamarisxaxim,0,2021-09-29,11,49
392,stellamarisxaxim,0,2021-09-30,4,49
393,stellamarisxaxim,0,2021-10-01,1,49
394,universitariolondrina,0,2021-09-24,3,119
395,universitariolondrina,0,2021-09-25,3,119
396,universitariolondrina,0,2021-09-26,8,119
397,universitariolondrina,0,2021-09-27,2,119
398,universitariolondrina,0,2021-09-28,13,119
399,universitariolondrina,0,2021-09-29,4,119
400,universitariolondrina,0,2021-09-30,5,119
401,universitariolondrina,0,2021-10-01,9,119
402,universitariolondrina,0,2021-10-02,2,119
403,universobarcarena,0,2021-09-24,16,56
404,universobarcarena,0,2021-09-25,8,56
405,universobarcarena,0,2021-09-27,9,56
406,universobarcarena,0,2021-09-29,2,56
407,universobarcarena,0,2021-09-30,1,56
408,universobarcarena,0,2021-10-02,5,56
409,valdemiracoelho,0,2021-09-27,1,30
410,valdemiracoelho,0,2021-09-28,4,30
411,vicentecravo,0,2021-09-24,3,4
412,vicentecravo,0,2021-09-25,8,4
413,vicentecravo,0,2021-09-28,1,4
414,villalobos,0,2021-09-24,1,65
415,villalobos,0,2021-09-26,1,65
416,villalobos,0,2021-09-28,1,65
417,villalobos,0,2021-09-29,7,65
418,villalobos,0,2021-09-30,4,65
419,villalobos,0,2021-10-01,1,65
420,villalobos,0,2021-10-02,7,65
421,zacariasliberato,0,2021-09-24,3,3
422,zacariasliberato,0,2021-09-25,4,3
423,zacariasliberato,0,2021-09-28,2,3
424,zacariasliberato,0,2021-09-29,4,3
425,zacariasliberato,0,2021-09-30,1,3
