,namespace,Semana,creation,Número de visualizações de relatórios de lista,user_id
162,colegioguilhermedealmeida,0,2021-10-01,199,65
163,colegioguilhermedealmeida,0,2021-10-02,2,65
164,colegioiguatemy,0,2021-09-24,9,32
165,colegioiguatemy,0,2021-09-27,9,32
166,colegioiguatemy,0,2021-09-28,33,32
167,colegioiguatemy,0,2021-09-29,19,32
168,colegioiguatemy,0,2021-09-30,19,32
169,colegioiguatemy,0,2021-10-01,11,32
170,colegioiguatemy,0,2021-10-02,1,32
171,colegiointegral,0,2021-09-24,11,106
172,colegiointegral,0,2021-09-25,7,106
173,colegiointegral,0,2021-09-26,8,106
174,colegiointegral,0,2021-09-27,35,106
175,colegiointegral,0,2021-09-28,34,106
176,colegiointegral,0,2021-09-29,24,106
177,colegiointegral,0,2021-09-30,43,106
178,colegiointegral,0,2021-10-01,25,106
179,colegiointegral,0,2021-10-02,1,106
180,colegiojoaopaulo,0,2021-09-26,7,72
181,colegiojoaopaulo,0,2021-09-27,7,72
182,colegiojoaopaulo,0,2021-09-28,2,72
183,colegiojoaopaulo,0,2021-09-29,5,72
184,colegiojoaopaulo,0,2021-09-30,2,72
185,colegiopremium,0,2021-09-29,4,48
186,colegiosete,0,2021-09-24,26,42
187,colegiosete,0,2021-09-25,1,42
188,colegiosete,0,2021-09-26,4,42
189,colegiosete,0,2021-09-27,33,42
190,colegiosete,0,2021-09-28,16,42
191,colegiosete,0,2021-09-29,23,42
192,colegiosete,0,2021-09-30,17,42
193,colegiosete,0,2021-10-01,5,42
194,colegiouirapuru,0,2021-09-24,5,72
195,colegiouirapuru,0,2021-09-25,5,72
196,colegiouirapuru,0,2021-09-28,1,72
197,colegiouniverso,0,2021-09-26,2,84
198,colegiouniverso,0,2021-09-27,1,84
199,colegiouniverso,0,2021-09-28,5,84
200,colegiouniverso,0,2021-09-29,1,84
201,cursobase,0,2021-09-29,1,7
202,cursobase,0,2021-10-02,5,7
203,cursosazambuja,0,2021-09-24,1,25
204,cursosazambuja,0,2021-09-25,2,25
205,cursosazambuja,0,2021-09-29,1,25
206,cursosazambuja,0,2021-10-01,3,25
207,dominius,0,2021-09-27,4,48
208,eacorcovado,0,2021-09-24,72,110
209,eacorcovado,0,2021-09-25,2,110
210,eacorcovado,0,2021-09-26,7,110
211,eacorcovado,0,2021-09-27,9,110
212,eacorcovado,0,2021-09-28,49,110
213,eacorcovado,0,2021-09-29,37,110
214,eacorcovado,0,2021-09-30,8,110
215,eacorcovado,0,2021-10-01,57,110
216,eacorcovado,0,2021-10-02,65,110
217,eccos,0,2021-09-24,16,46
218,eccos,0,2021-09-26,12,46
219,eccos,0,2021-09-27,13,46
220,eccos,0,2021-09-28,7,46
221,eccos,0,2021-09-29,17,46
222,eccos,0,2021-09-30,37,46
223,eccos,0,2021-10-01,5,46
224,eccos,0,2021-10-02,4,46
225,educamais,0,2021-09-25,19,2
226,educamais,0,2021-09-30,6,2
227,einsteinassis,0,2021-09-24,7,25
228,einsteinassis,0,2021-09-26,37,25
229,einsteinassis,0,2021-09-27,6,25
230,einsteinassis,0,2021-09-28,24,25
231,einsteinassis,0,2021-09-29,3,25
232,einsteinassis,0,2021-09-30,28,25
233,einsteinassis,0,2021-10-01,77,25
234,elitecuritibaemilianoperneta,0,2021-09-24,2,42
235,elitecuritibaemilianoperneta,0,2021-09-28,1,42
236,elitecuritibaemilianoperneta,0,2021-10-02,4,42
237,escolamaster,0,2021-09-24,2,26
238,esperanza,0,2021-09-29,6,35
239,faculdadeflamingo,0,2021-09-24,19,63
240,faculdadeflamingo,0,2021-09-25,3,63
241,faculdadeflamingo,0,2021-09-26,31,63
242,faculdadeflamingo,0,2021-09-27,41,63
243,faculdadeflamingo,0,2021-09-28,84,63
244,faculdadeflamingo,0,2021-09-29,68,63
245,faculdadeflamingo,0,2021-09-30,54,63
246,faculdadeflamingo,0,2021-10-01,8,63
247,faculdadeflamingo,0,2021-10-02,27,63
248,francobrasileiro,0,2021-09-27,1,27
249,francobrasileiro,0,2021-09-29,4,27
250,francobrasileiro,0,2021-10-01,3,27
251,gerabixo,0,2021-09-27,2,58
252,hamiltondarocha,0,2021-09-24,1,18
253,hamiltondarocha,0,2021-09-25,3,18
254,hamiltondarocha,0,2021-09-29,49,18
255,hamiltondarocha,0,2021-09-30,15,18
256,hamiltondarocha,0,2021-10-02,2,18
257,informacao,0,2021-10-01,2,29
258,integra,0,2021-09-24,1,32
259,integra,0,2021-09-27,1,32
260,integra,0,2021-09-30,1,32
261,integra,0,2021-10-01,34,32
262,integradaeducativa,0,2021-09-24,5,30
263,integradaeducativa,0,2021-09-26,1,30
264,integradaeducativa,0,2021-09-27,7,30
265,integradaeducativa,0,2021-09-28,7,30
266,integradaeducativa,0,2021-09-29,20,30
267,integradaeducativa,0,2021-09-30,24,30
268,integradaeducativa,0,2021-10-01,17,30
269,ismart,0,2021-09-24,31,3
270,ismart,0,2021-09-28,1,3
271,ismart,0,2021-09-29,3,3
272,ismart,0,2021-09-30,1,3
273,jazzvestibular,0,2021-09-24,1,9
274,josepinheiro,0,2021-09-25,6,20
275,josepinheiro,0,2021-09-26,5,20
276,josepinheiro,0,2021-09-29,3,20
277,josepinheiro,0,2021-10-01,19,20
278,josepinheiro,0,2021-10-02,4,20
279,liessin,0,2021-09-27,1,17
280,liessinbarra,0,2021-09-25,1,11
281,liessinbarra,0,2021-09-27,2,11
282,liessinbarra,0,2021-09-29,3,11
283,macvest,0,2021-09-24,13,36
284,macvest,0,2021-09-25,8,36
285,macvest,0,2021-09-26,2,36
286,macvest,0,2021-09-27,2,36
287,macvest,0,2021-09-28,4,36
288,macvest,0,2021-10-01,5,36
289,mariliamattoso,0,2021-09-24,4,62
290,mariliamattoso,0,2021-09-27,19,62
291,mariliamattoso,0,2021-09-28,36,62
292,mariliamattoso,0,2021-09-29,10,62
293,moaciralves,0,2021-09-26,2,15
294,moaciralves,0,2021-09-27,15,15
295,moaciralves,0,2021-09-28,17,15
296,moaciralves,0,2021-09-29,1,15
297,moaciralves,0,2021-09-30,4,15
298,moaciralves,0,2021-10-01,7,15
299,murilorocha,0,2021-09-29,3,29
300,objetivolorena,0,2021-09-24,30,64
301,objetivolorena,0,2021-09-25,3,64
302,objetivolorena,0,2021-09-26,1,64
303,objetivolorena,0,2021-09-27,29,64
304,objetivolorena,0,2021-09-29,7,64
305,objetivolorena,0,2021-09-30,2,64
306,objetivolorena,0,2021-10-01,6,64
307,objetivolorena,0,2021-10-02,2,64
308,overabelcabral,0,2021-09-24,47,74
309,overabelcabral,0,2021-09-25,15,74
310,overabelcabral,0,2021-09-26,20,74
311,overabelcabral,0,2021-09-27,11,74
312,overabelcabral,0,2021-09-28,7,74
313,overabelcabral,0,2021-09-29,6,74
314,overabelcabral,0,2021-10-01,1,74
315,overjoaopessoa,0,2021-09-28,1,31
316,overjoaopessoa,0,2021-09-30,3,31
317,overmarciliofurtado,0,2021-09-24,1,53
318,overmarciliofurtado,0,2021-09-25,5,53
319,overmarciliofurtado,0,2021-10-01,3,53
320,overmossoro,0,2021-09-26,8,40
321,overpontanegra,0,2021-09-24,6,68
322,overpontanegra,0,2021-09-25,18,68
323,overpontanegra,0,2021-09-26,26,68
324,overpontanegra,0,2021-10-01,6,68
325,overzonanorte,0,2021-09-24,1,45
326,physicsalcindocacela,0,2021-09-24,7,88
327,physicsalcindocacela,0,2021-09-30,2,88
328,physicsalcindocacela,0,2021-10-01,2,88
329,physicsalmirantebarroso,0,2021-09-24,17,112
330,physicsalmirantebarroso,0,2021-09-25,1,112
331,physicsalmirantebarroso,0,2021-09-26,2,112
332,physicsalmirantebarroso,0,2021-09-27,58,112
333,physicsalmirantebarroso,0,2021-09-28,12,112
334,physicsalmirantebarroso,0,2021-09-29,6,112
335,physicsalmirantebarroso,0,2021-09-30,2,112
336,physicsalmirantebarroso,0,2021-10-01,6,112
337,physicsaugustomontenegro,0,2021-09-24,18,80
338,physicsaugustomontenegro,0,2021-09-26,6,80
339,physicsaugustomontenegro,0,2021-09-27,5,80
340,physicsaugustomontenegro,0,2021-09-28,19,80
341,physicsaugustomontenegro,0,2021-09-29,14,80
342,physicsaugustomontenegro,0,2021-09-30,13,80
343,physicsaugustomontenegro,0,2021-10-01,7,80
344,physicsaugustomontenegro,0,2021-10-02,3,80
345,physicsbatistacampos,0,2021-09-24,16,52
346,physicsbatistacampos,0,2021-09-25,1,52
347,physicsbatistacampos,0,2021-09-26,8,52
348,physicsbatistacampos,0,2021-09-27,14,52
349,physicsbatistacampos,0,2021-09-28,6,52
350,physicsbatistacampos,0,2021-09-29,8,52
351,physicsbatistacampos,0,2021-09-30,12,52
352,physicsbatistacampos,0,2021-10-01,2,52
353,physicscidadenova,0,2021-09-24,22,93
354,physicscidadenova,0,2021-09-25,1,93
355,physicscidadenova,0,2021-09-26,15,93
356,physicscidadenova,0,2021-09-27,15,93
357,physicscidadenova,0,2021-09-28,18,93
358,physicscidadenova,0,2021-09-29,23,93
359,physicscidadenova,0,2021-09-30,15,93
360,physicscidadenova,0,2021-10-01,13,93
361,physicscidadenova,0,2021-10-02,12,93
362,physicsmacapa,0,2021-09-24,1,64
363,physicsmacapa,0,2021-09-28,6,64
364,physicsmacapa,0,2021-09-29,2,64
365,physicsmacapa,0,2021-09-30,12,64
366,physicsmacapa,0,2021-10-02,21,64
367,physicsumarizal,0,2021-09-24,5,70
368,physicsumarizal,0,2021-09-25,5,70
369,physicsumarizal,0,2021-09-27,7,70
370,physicsumarizal,0,2021-09-28,4,70
371,physicsumarizal,0,2021-09-29,15,70
372,physicsumarizal,0,2021-09-30,16,70
373,physicsumarizal,0,2021-10-01,3,70
374,portinari,0,2021-09-24,11,75
375,portinari,0,2021-09-26,9,75
376,portinari,0,2021-09-27,6,75
377,portinari,0,2021-09-28,13,75
378,portinari,0,2021-09-29,5,75
379,portinari,0,2021-09-30,6,75
380,portinari,0,2021-10-01,14,75
381,porto,0,2021-09-24,29,68
382,porto,0,2021-09-25,4,68
383,porto,0,2021-09-26,9,68
