,namespace,Semana,creation,Número de AAs criadas,user_id
142,colegiouirapuru,0,2021-09-26,1,72
143,colegiouirapuru,0,2021-09-27,2,72
144,colegiouirapuru,0,2021-09-28,2,72
145,colegiouirapuru,0,2021-09-29,7,72
146,colegiouirapuru,0,2021-09-30,2,72
147,colegiouirapuru,0,2021-10-01,6,72
148,colegiouniverso,0,2021-09-26,1,84
149,colegiouniverso,0,2021-10-01,3,84
150,colegioup,0,2021-09-24,11,48
151,colegioup,0,2021-09-25,5,48
152,colegioup,0,2021-09-26,13,48
153,colegioup,0,2021-09-27,10,48
154,colegioup,0,2021-09-29,1,48
155,conexaosaber,0,2021-09-24,9,31
156,conexaosaber,0,2021-09-25,6,31
157,conexaosaber,0,2021-09-26,21,31
158,conexaosaber,0,2021-09-27,18,31
159,conexaosaber,0,2021-09-28,9,31
160,conexaosaber,0,2021-09-29,10,31
161,conexaosaber,0,2021-09-30,15,31
162,conexaosaber,0,2021-10-01,5,31
163,conexaosaber,0,2021-10-02,2,31
164,contemporaneo,0,2021-10-01,2,51
165,contemporaneocidadeverde,0,2021-09-24,7,74
166,contemporaneocidadeverde,0,2021-09-26,3,74
167,contemporaneocidadeverde,0,2021-09-28,2,74
168,contemporaneocidadeverde,0,2021-09-29,6,74
169,contemporaneocidadeverde,0,2021-09-30,7,74
170,contemporaneocidadeverde,0,2021-10-01,2,74
171,contemporaneolagoanova,0,2021-09-24,8,79
172,contemporaneolagoanova,0,2021-09-25,1,79
173,contemporaneolagoanova,0,2021-09-26,1,79
174,contemporaneolagoanova,0,2021-09-27,4,79
175,contemporaneolagoanova,0,2021-09-29,5,79
176,contemporaneolagoanova,0,2021-09-30,6,79
177,contemporaneolagoanova,0,2021-10-01,3,79
178,coopermundi,0,2021-09-27,1,4
179,cotemig,0,2021-10-01,2,42
180,crescercampinas,0,2021-09-24,16,34
181,crescercampinas,0,2021-09-25,2,34
182,crescercampinas,0,2021-09-26,3,34
183,crescercampinas,0,2021-09-27,18,34
184,crescercampinas,0,2021-09-28,9,34
185,crescercampinas,0,2021-09-29,5,34
186,crescercampinas,0,2021-09-30,2,34
187,crescercampinas,0,2021-10-01,6,34
188,cursoisfera,0,2021-09-27,2,14
189,deltaeducacional,0,2021-09-24,2,24
190,deltaeducacional,0,2021-09-27,7,24
191,deltaeducacional,0,2021-09-28,15,24
192,deltaeducacional,0,2021-09-29,5,24
193,deltaeducacional,0,2021-09-30,8,24
194,eccos,0,2021-09-24,3,46
195,eccos,0,2021-09-27,3,46
196,eccos,0,2021-09-28,3,46
197,eccos,0,2021-10-01,2,46
198,educamais,0,2021-09-25,1,2
199,educamais,0,2021-09-26,1,2
200,educandarioterciocorreia,0,2021-09-24,1,12
201,educandarioterciocorreia,0,2021-09-25,1,12
202,educandarioterciocorreia,0,2021-09-26,1,12
203,educandarioterciocorreia,0,2021-09-27,5,12
204,educandarioterciocorreia,0,2021-09-28,5,12
205,educandarioterciocorreia,0,2021-09-29,3,12
206,educandarioterciocorreia,0,2021-09-30,3,12
207,educandarioterciocorreia,0,2021-10-01,2,12
208,eluneonline,0,2021-09-27,1,3
209,esperanza,0,2021-10-02,1,35
210,faculdadeflamingo,0,2021-09-24,2,63
211,faculdadeflamingo,0,2021-09-27,1,63
212,faculdadeflamingo,0,2021-09-28,4,63
213,faculdadeflamingo,0,2021-09-30,3,63
214,faculdadeflamingo,0,2021-10-01,2,63
215,faculdadeflamingo,0,2021-10-02,5,63
216,hamiltondarocha,0,2021-09-27,1,18
217,integradaeducativa,0,2021-09-24,3,30
218,integradaeducativa,0,2021-09-28,6,30
219,integradaeducativa,0,2021-09-30,5,30
220,integradaeducativa,0,2021-10-02,8,30
221,invictus,0,2021-09-24,3,18
222,invictus,0,2021-09-25,4,18
223,invictus,0,2021-09-26,7,18
224,invictus,0,2021-09-27,10,18
225,invictus,0,2021-09-30,9,18
226,isem,0,2021-09-24,4,37
227,isem,0,2021-09-25,12,37
228,isem,0,2021-09-26,1,37
229,isem,0,2021-09-27,14,37
230,isem,0,2021-09-28,10,37
231,isem,0,2021-09-29,1,37
232,isem,0,2021-09-30,10,37
233,isem,0,2021-10-01,8,37
234,jazzvestibular,0,2021-09-24,3,9
235,jazzvestibular,0,2021-09-25,1,9
236,joaobelem,0,2021-09-28,4,20
237,josepinheiro,0,2021-09-24,18,20
238,josepinheiro,0,2021-09-25,7,20
239,josepinheiro,0,2021-09-27,13,20
240,josepinheiro,0,2021-09-28,7,20
241,josepinheiro,0,2021-09-30,6,20
242,josepinheiro,0,2021-10-01,5,20
243,maplebearslz,0,2021-09-24,12,61
244,maplebearslz,0,2021-09-25,1,61
245,maplebearslz,0,2021-09-27,7,61
246,maplebearslz,0,2021-09-28,15,61
247,maplebearslz,0,2021-09-29,10,61
248,maplebearslz,0,2021-09-30,8,61
249,maplebearslz,0,2021-10-01,14,61
250,maplebearslz,0,2021-10-02,4,61
251,mariliamattoso,0,2021-09-25,2,62
252,mariliamattoso,0,2021-09-27,4,62
253,mariliamattoso,0,2021-09-28,2,62
254,mariliamattoso,0,2021-09-29,1,62
255,mariliamattoso,0,2021-09-30,2,62
256,mariliamattoso,0,2021-10-01,6,62
257,mariliamattoso,0,2021-10-02,4,62
258,moaciralves,0,2021-09-26,6,15
259,moaciralves,0,2021-09-29,1,15
260,mocinhagomes,0,2021-09-24,1,3
261,murilorocha,0,2021-09-24,3,29
262,murilorocha,0,2021-09-26,1,29
263,nucleocriativo,0,2021-09-24,1,17
264,nucleocriativo,0,2021-09-30,1,17
265,nucleocriativo,0,2021-10-01,4,17
266,objetivolorena,0,2021-09-24,2,64
267,objetivolorena,0,2021-09-25,1,64
268,objetivolorena,0,2021-09-26,1,64
269,objetivolorena,0,2021-09-27,6,64
270,objetivolorena,0,2021-09-28,3,64
271,objetivolorena,0,2021-09-29,2,64
272,objetivolorena,0,2021-09-30,2,64
273,objetivolorena,0,2021-10-01,1,64
274,objetivolorena,0,2021-10-02,1,64
275,overabelcabral,0,2021-09-24,2,74
276,overabelcabral,0,2021-09-26,1,74
277,overabelcabral,0,2021-09-27,5,74
278,overabelcabral,0,2021-09-28,5,74
279,overabelcabral,0,2021-09-29,4,74
280,overabelcabral,0,2021-09-30,3,74
281,overabelcabral,0,2021-10-01,4,74
282,overjoaopessoa,0,2021-09-25,2,31
283,overjoaopessoa,0,2021-09-26,7,31
284,overjoaopessoa,0,2021-09-27,13,31
285,overjoaopessoa,0,2021-09-28,10,31
286,overjoaopessoa,0,2021-09-29,1,31
287,overjoaopessoa,0,2021-09-30,4,31
288,overjoaopessoa,0,2021-10-02,2,31
289,overlimaesilva,0,2021-09-24,1,21
290,overlimaesilva,0,2021-09-27,10,21
291,overlimaesilva,0,2021-09-28,2,21
292,overlimaesilva,0,2021-09-29,2,21
293,overlimaesilva,0,2021-09-30,2,21
294,overmarciliofurtado,0,2021-09-27,3,53
295,overmarciliofurtado,0,2021-09-28,2,53
296,overmarciliofurtado,0,2021-10-01,2,53
297,overmarciliofurtado,0,2021-10-02,1,53
298,overmossoro,0,2021-09-28,1,40
299,overpontanegra,0,2021-09-27,9,68
300,overpontanegra,0,2021-09-28,7,68
301,overpontanegra,0,2021-09-29,1,68
302,overzonanorte,0,2021-09-27,10,45
303,overzonanorte,0,2021-09-28,2,45
304,overzonanorte,0,2021-10-01,4,45
305,physicscidadenova,0,2021-09-27,2,93
306,physicscidadenova,0,2021-10-01,1,93
307,pioxi,0,2021-09-24,12,64
308,pioxi,0,2021-09-25,5,64
309,pioxi,0,2021-09-26,18,64
310,pioxi,0,2021-09-27,20,64
311,pioxi,0,2021-09-28,14,64
312,pioxi,0,2021-09-29,17,64
313,pioxi,0,2021-09-30,21,64
314,pioxi,0,2021-10-01,6,64
315,pioxi,0,2021-10-02,3,64
316,pioxiicolegio,0,2021-09-25,4,43
317,pioxiicolegio,0,2021-09-26,2,43
318,pioxiicolegio,0,2021-09-27,6,43
319,pioxiicolegio,0,2021-09-28,4,43
320,pioxiicolegio,0,2021-09-29,2,43
321,pioxiicolegio,0,2021-09-30,2,43
322,pioxiicolegio,0,2021-10-01,7,43
323,pioxiicolegio,0,2021-10-02,1,43
324,portinari,0,2021-09-24,3,75
325,portinari,0,2021-09-26,1,75
326,portinari,0,2021-09-27,4,75
327,portinari,0,2021-09-28,5,75
328,portinari,0,2021-09-29,3,75
329,portinari,0,2021-10-01,3,75
330,portinari,0,2021-10-02,5,75
331,porto,0,2021-09-24,8,68
332,porto,0,2021-09-25,3,68
333,porto,0,2021-09-26,1,68
334,porto,0,2021-09-27,10,68
335,porto,0,2021-09-28,15,68
