,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
78,overjoaopessoa,ef 9o ano,0.0
79,overpontanegra,ef 3o ano,0.0
80,overzonanorte,ef 6o ano,0.0
81,overzonanorte,ef 5o ano,0.0
82,overzonanorte,ef 4o ano,0.0
83,overzonanorte,ef 3o ano,0.0
84,overzonanorte,ef 2o ano,0.0
85,overzonanorte,ef 1o ano,0.0
86,overzonanorte,0,0.0
87,overpontanegra,em 3a serie,0.0
88,overpontanegra,em 2a serie,0.0
89,overpontanegra,em 1a serie,0.0
90,overpontanegra,ef 9o ano,0.0
91,overpontanegra,ef 8o ano,0.0
92,overpontanegra,ef 7o ano,0.0
93,overpontanegra,ef 6o ano,0.0
94,overpontanegra,ef 5o ano,0.0
95,overzonanorte,ef 7o ano,0.0
96,overzonanorte,ef 8o ano,0.0
97,overzonanorte,ef 9o ano,0.0
98,physicsalcindocacela,ef 9o ano,0.0
99,physicsalmirantebarroso,ef 2o ano,0.0
100,physicsalmirantebarroso,0,0.0
101,physicsalcindocacela,outro,0.0
102,physicsalcindocacela,em 3a serie,0.0
103,physicsalcindocacela,em 2a serie,0.0
104,physicsalcindocacela,em 1a serie,0.0
105,physicsalcindocacela,0,0.0
106,overzonanorte,em 1a serie,0.0
107,pesenglish,0,0.0
108,pearson,em 3a serie,0.0
109,pauloviana,ef 9o ano,0.0
110,overzonanorte,outro,0.0
111,overzonanorte,em 3a serie,0.0
112,overzonanorte,em 2a serie,0.0
113,overpontanegra,ef 4o ano,0.0
114,overpontanegra,ef 2o ano,0.0
115,master,ef 4o ano,0.0
116,overpontanegra,ef 1o ano,0.0
117,overmarciliofurtado,em 1a serie,0.0
118,overmarciliofurtado,ef 9o ano,0.0
119,overmarciliofurtado,ef 8o ano,0.0
120,overmarciliofurtado,ef 7o ano,0.0
121,overmarciliofurtado,ef 6o ano,0.0
122,overmarciliofurtado,0,0.0
123,overlimaesilva,ef 5o ano,0.0
124,overlimaesilva,ef 4o ano,0.0
125,overlimaesilva,ef 3o ano,0.0
126,overlimaesilva,ef 2o ano,0.0
127,overlimaesilva,ef 1o ano,0.0
128,overlimaesilva,0,0.0
129,overjoaopessoa,outro,0.0
130,overjoaopessoa,em 3a serie,0.0
131,overjoaopessoa,em 2a serie,0.0
132,overmarciliofurtado,em 2a serie,0.0
133,overmarciliofurtado,em 3a serie,0.0
134,overmossoro,0,0.0
135,overmossoro,em 1a serie,0.0
136,overpontanegra,0,0.0
137,overnascimentodecastro,outro,0.0
138,overnascimentodecastro,0,0.0
139,overmossoro,outro,0.0
140,overmossoro,em 3a serie,0.0
141,overmossoro,em 2a serie,0.0
142,overmossoro,ef 9o ano,0.0
143,overmossoro,ef 1o ano,0.0
144,overmossoro,ef 8o ano,0.0
145,overmossoro,ef 7o ano,0.0
146,overmossoro,ef 6o ano,0.0
147,overmossoro,ef 5o ano,0.0
148,overmossoro,ef 4o ano,0.0
149,overmossoro,ef 2o ano,0.0
150,overjoaopessoa,em 1a serie,0.0
151,mariliamattoso,em 3a serie,0.0
152,master,ef 2o ano,0.0
153,forumcultural,0,0.0
154,idaam,em 3a serie,0.0
155,gerabixo,outro,0.0
156,garra,0,0.0
157,galois,0,0.0
158,fundacaobradesco,0,0.0
159,francobrasileiro,em 3a serie,0.0
160,fleming,0,0.0
161,implantacao,outro,0.0
162,faculdadeflamingo,outro,0.0
163,faculdadeflamingo,0,0.0
164,estantemagica,outro,0.0
165,esperanza,0,0.0
166,escprogressiva,em 1a serie,0.0
167,escolamaster,em 3a serie,0.0
168,implantacao,0,0.0
169,insa,em 1a serie,0.0
170,integra,ef 3o ano,0.0
171,institutocristao,em 2a serie,0.0
172,integra,ef 1o ano,0.0
173,institutosaojose,em 3a serie,0.0
174,institutosaojose,em 2a serie,0.0
175,institutosaojose,em 1a serie,0.0
176,institutoeurofarma,outro,0.0
177,institutocristao,em 3a serie,0.0
178,institutocristao,ef 9o ano,0.0
179,insa,em 2a serie,0.0
180,institutocristao,ef 7o ano,0.0
181,institutocristao,ef 6o ano,0.0
182,institutoauxiliadoradf,em 3a serie,0.0
183,institutoauxiliadoradf,em 2a serie,0.0
