,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
699,colegiobatistaindependente,0,0.0
700,colegioarena,outro,0.0
701,colegioarena,em 3a serie,0.0
702,colegioarena,em 2a serie,0.0
703,colegioarena,em 1a serie,0.0
704,colegioarena,0,0.0
705,colegiobatistaindependente,outro,0.0
706,colegiobetelbrasileirosp,ef 7o ano,0.0
707,colegiobilac,ef 8o ano,0.0
708,colegiobilac,ef 1o ano,0.0
709,colegiobilac,ef 7o ano,0.0
710,colegiobilac,ef 6o ano,0.0
711,colegiobilac,ef 5o ano,0.0
712,colegiobilac,ef 4o ano,0.0
713,colegiobilac,ef 3o ano,0.0
714,colegiobilac,ef 2o ano,0.0
715,colegiobianguloiv,em 3a serie,0.0
716,colegiobetelbrasileirosp,ef 8o ano,0.0
717,colegiobianguloiv,em 2a serie,0.0
718,colegiobianguloiv,em 1a serie,0.0
719,colegiobetelbrasileirosp,em 3a serie,0.0
720,colegiobetelbrasileirosp,em 2a serie,0.0
721,colegiobetelbrasileirosp,em 1a serie,0.0
722,colegiobetelbrasileirosp,ef 9o ano,0.0
723,ceabb,ef 5o ano,0.0
724,ceabb,ef 4o ano,0.0
725,ceabb,ef 3o ano,0.0
726,acessohauer,ef 3o ano,0.0
727,acessopinhais,em 2a serie,0.0
728,acessopinhais,em 1a serie,0.0
729,acessohauer,ef 7o ano,0.0
730,acessohauer,ef 6o ano,0.0
731,acessohauer,ef 5o ano,0.0
732,acessohauer,ef 4o ano,0.0
733,acessohauer,ef 2o ano,0.0
734,acessopinhais,outro,0.0
735,acessohauer,0,0.0
736,acessofazendariogrande,outro,0.0
737,acessofazendariogrande,em 3a serie,0.0
738,acessofazendariogrande,em 2a serie,0.0
739,acessofazendariogrande,em 1a serie,0.0
740,acessofazendariogrande,ef 9o ano,0.0
741,acessopinhais,em 3a serie,0.0
742,acessosantafelicidade,ef 2o ano,0.0
743,acessofazendariogrande,ef 7o ano,0.0
744,acessosantafelicidade,em 2a serie,0.0
745,acessosjpinhais,ef 4o ano,0.0
746,acessosjpinhais,ef 3o ano,0.0
747,acessosjpinhais,ef 2o ano,0.0
748,acessosjpinhais,0,0.0
749,acessosantafelicidade,outro,0.0
750,acessosantafelicidade,em 3a serie,0.0
751,acessosantafelicidade,em 1a serie,0.0
752,acessosantafelicidade,ef 3o ano,0.0
753,acessosantafelicidade,ef 9o ano,0.0
754,acessosantafelicidade,ef 8o ano,0.0
755,acessosantafelicidade,ef 7o ano,0.0
756,acessosantafelicidade,ef 6o ano,0.0
757,acessosantafelicidade,ef 5o ano,0.0
758,acessosantafelicidade,ef 4o ano,0.0
759,acessofazendariogrande,ef 8o ano,0.0
760,acessofazendariogrande,ef 6o ano,0.0
761,acessosjpinhais,ef 6o ano,0.0
762,acessoalmirantetamandare,em 2a serie,0.0
763,acessoboqueirao,em 1a serie,0.0
764,acessoboqueirao,ef 9o ano,0.0
765,acessoboqueirao,ef 8o ano,0.0
766,acessoboqueirao,0,0.0
767,acessoalmirantetamandare,outro,0.0
768,acessoalmirantetamandare,em 3a serie,0.0
769,acessoalmirantetamandare,em 1a serie,0.0
770,acessoboqueirao,em 3a serie,0.0
771,acessoalmirantetamandare,ef 9o ano,0.0
772,acessoalmirantetamandare,ef 8o ano,0.0
773,acessoalmirantetamandare,ef 7o ano,0.0
774,acessoalmirantetamandare,ef 6o ano,0.0
775,acessoalmirantetamandare,ef 5o ano,0.0
776,acessoalmirantetamandare,ef 4o ano,0.0
777,acessoboqueirao,em 2a serie,0.0
778,acessoboqueirao,outro,0.0
779,acessofazendariogrande,ef 5o ano,0.0
780,acessocampolargokids,ef 2o ano,0.0
781,acessofazendariogrande,ef 4o ano,0.0
782,acessofazendariogrande,ef 3o ano,0.0
783,acessofazendariogrande,ef 2o ano,0.0
784,acessocampolargokids,ef 5o ano,0.0
785,acessocampolargokids,ef 4o ano,0.0
786,acessocampolargokids,ef 3o ano,0.0
787,acessocampolargo,outro,0.0
788,acessocampolargo,ef 6o ano,0.0
789,acessocampolargo,em 3a serie,0.0
790,acessocampolargo,em 2a serie,0.0
791,acessocampolargo,em 1a serie,0.0
792,acessocampolargo,ef 9o ano,0.0
793,acessocampolargo,ef 8o ano,0.0
794,acessocampolargo,ef 7o ano,0.0
795,acessosjpinhais,ef 5o ano,0.0
796,acessosjpinhais,ef 7o ano,0.0
797,cbpdigital,ef 9o ano,0.0
798,arena,0,0.0
799,brasilcursinhos,outro,0.0
800,brasilcursinhos,0,0.0
801,bertelsmann,0,0.0
802,beityaacov,em 3a serie,0.0
803,beityaacov,0,0.0
804,arlindocavalcanti,0,0.0
805,aprovest,outro,0.0
806,camerinocursos,0,0.0
807,apogeustoantonio2,outro,0.0
808,apogeustoantonio2,ef 9o ano,0.0
809,apogeustoantonio2,0,0.0
810,anchietaba,0,0.0
811,amaisteste,em 3a serie,0.0
812,amaisteste,em 1a serie,0.0
813,calculo2,0,0.0
814,camerinocursos,outro,0.0
815,amaisteste,ef 6o ano,0.0
816,cbpdigital,ef 2o ano,0.0
817,cbpdigital,ef 8o ano,0.0
818,cbpdigital,ef 7o ano,0.0
819,cbpdigital,ef 6o ano,0.0
820,cbpdigital,ef 5o ano,0.0
821,cbpdigital,ef 4o ano,0.0
822,cbpdigital,ef 3o ano,0.0
823,cbpdigital,0,0.0
824,casdinhosjc,0,0.0
825,cats,outro,0.0
826,castelobruxo,0,0.0
827,casdvest,outro,0.0
828,casdvest,0,0.0
829,casdinhosjc,ef 9o ano,0.0
830,casdinhosjc,ef 8o ano,0.0
831,amaisteste,ef 9o ano,0.0
832,amais,outro,0.0
833,acessosjpinhais,ef 8o ano,0.0
834,aescobjetivo,0,0.0
835,aescobjetivo,ef 6o ano,0.0
836,aescobjetivo,ef 5o ano,0.0
837,aescobjetivo,ef 4o ano,0.0
838,aescobjetivo,ef 3o ano,0.0
839,aescobjetivo,ef 2o ano,0.0
840,aescobjetivo,ef 1o ano,0.0
841,adrianochan,outro,0.0
842,aescobjetivo,ef 8o ano,0.0
843,adrianochan,0,0.0
844,acessosjpinhais,outro,0.0
845,acessosjpinhais,em 3a serie,0.0
846,acessosjpinhais,em 2a serie,0.0
847,acessosjpinhais,em 1a serie,0.0
848,acessosjpinhais,ef 9o ano,0.0
849,aescobjetivo,ef 7o ano,0.0
850,aescobjetivo,ef 9o ano,0.0
851,amais,em 3a serie,0.0
852,amadeus,ef 7o ano,0.0
853,amais,0,0.0
854,amadeus,em 3a serie,0.0
855,amadeus,em 2a serie,0.0
856,amadeus,em 1a serie,0.0
857,amadeus,ef 9o ano,0.0
858,amadeus,ef 8o ano,0.0
859,amadeus,ef 6o ano,0.0
860,aescobjetivo,em 3a serie,0.0
861,amadeus,ef 5o ano,0.0
862,amadeus,ef 4o ano,0.0
863,amadeus,ef 3o ano,0.0
864,amadeus,ef 2o ano,0.0
865,amadeus,0,0.0
866,alfacembilingue,0,0.0
867,colegiodompedrosegundo,0,0.0
868,colegioeag,ef 1o ano,0.0
869,colegioeag,ef 3o ano,0.0
870,colegiouirapuru,em 3a serie,0.0
871,colegiouniverso,em 1a serie,0.0
872,colegiouniverso,ef 9o ano,0.0
873,colegiouniverso,ef 8o ano,0.0
874,colegiouniverso,ef 7o ano,0.0
875,colegiouniverso,ef 6o ano,0.0
876,colegiouniverso,0,0.0
877,colegiouirapuru,em 2a serie,0.0
878,colegiouniverso,em 3a serie,0.0
879,colegiouirapuru,em 1a serie,0.0
880,colegiouirapuru,ef 9o ano,0.0
881,colegiouirapuru,ef 8o ano,0.0
882,colegiouirapuru,ef 7o ano,0.0
883,colegiouirapuru,ef 6o ano,0.0
884,colegiouirapuru,ef 5o ano,0.0
885,colegiouniverso,em 2a serie,0.0
886,colegioup,0,0.0
887,colegiouirapuru,ef 3o ano,0.0
888,colsantacatarinape,em 2a serie,0.0
889,conexaosaber,ef 4o ano,0.0
890,conexaosaber,ef 3o ano,0.0
891,conexaosaber,ef 2o ano,0.0
892,conexaosaber,ef 1o ano,0.0
893,conexaosaber,0,0.0
894,colsantacatarinape,em 3a serie,0.0
895,colsantacatarinape,em 1a serie,0.0
896,colegioup,ef 6o ano,0.0
897,colegioup,em 3a serie,0.0
898,colegioup,em 2a serie,0.0
899,colegioup,em 1a serie,0.0
900,colegioup,ef 9o ano,0.0
901,colegioup,ef 8o ano,0.0
902,colegioup,ef 7o ano,0.0
903,colegiouirapuru,ef 4o ano,0.0
904,colegioshalomoficial,0,0.0
905,conexaosaber,ef 6o ano,0.0
906,colegiopremium,ef 6o ano,0.0
907,colegiopremium,em 3a serie,0.0
908,colegiopremium,em 2a serie,0.0
909,colegiopremium,em 1a serie,0.0
910,colegiopremium,ef 9o ano,0.0
911,colegiopremium,ef 8o ano,0.0
912,colegiopremium,ef 7o ano,0.0
913,colegiopremium,ef 5o ano,0.0
914,colegioradar,0,0.0
915,colegiopremium,ef 4o ano,0.0
916,colegiopremium,ef 3o ano,0.0
917,colegiopremium,ef 2o ano,0.0
918,colegiopremium,ef 1o ano,0.0
919,colegioplanck,outro,0.0
920,colegioplanck,em 3a serie,0.0
921,colegioprogresso,0,0.0
922,colegioriobranco,0,0.0
923,colegiosete,em 3a serie,0.0
924,colegiosete,ef 5o ano,0.0
925,colegiosete,em 2a serie,0.0
926,colegiosete,em 1a serie,0.0
927,colegiosete,ef 9o ano,0.0
928,colegiosete,ef 8o ano,0.0
929,colegiosete,ef 7o ano,0.0
930,colegiosete,ef 6o ano,0.0
931,colegiosete,ef 4o ano,0.0
932,colegiosantamaria,0,0.0
933,colegiosete,ef 3o ano,0.0
934,colegiosete,ef 2o ano,0.0
935,colegiosete,ef 1o ano,0.0
936,colegiosete,0,0.0
937,colegioser,outro,0.0
938,colegioser,0,0.0
939,conexaosaber,ef 5o ano,0.0
940,conexaosaber,ef 7o ano,0.0
941,colegioplanck,em 1a serie,0.0
942,cursoenfase,outro,0.0
943,cursosazambuja,0,0.0
944,cursoprogressao,0,0.0
945,cursoleopoldo,outro,0.0
946,cursoleopoldo,em 3a serie,0.0
947,cursoisfera,outro,0.0
948,cursoisfera,0,0.0
949,cursobase,0,0.0
950,dante,em 3a serie,0.0
951,cursinhoeach,0,0.0
952,crescercampinas,em 3a serie,0.0
953,crescercampinas,em 2a serie,0.0
954,crescercampinas,em 1a serie,0.0
955,crescercampinas,ef 9o ano,0.0
956,crescercampinas,ef 8o ano,0.0
957,cursosazambuja,outro,0.0
958,deltaeducacional,0,0.0
959,crescercampinas,ef 6o ano,0.0
960,eacorcovado,em 1a serie,0.0
961,eccos,ef 4o ano,0.0
962,eccos,ef 3o ano,0.0
963,eccos,0,0.0
964,eacorcovado,outro,0.0
965,eacorcovado,em 3a serie,0.0
966,eacorcovado,em 2a serie,0.0
967,eacorcovado,ef 8o ano,0.0
968,deltaeducacional,em 1a serie,0.0
969,domus,em 3a serie,0.0
970,domus,em 2a serie,0.0
971,domus,em 1a serie,0.0
972,dommga,em 3a serie,0.0
973,deltaeducacional,em 3a serie,0.0
974,deltaeducacional,em 2a serie,0.0
975,crescercampinas,ef 7o ano,0.0
976,crescercampinas,0,0.0
977,conexaosaber,ef 8o ano,0.0
978,contemporaneocidadeverde,ef 8o ano,0.0
979,contemporaneolagoanova,ef 6o ano,0.0
980,contemporaneolagoanova,0,0.0
981,contemporaneocidadeverde,em 3a serie,0.0
982,contemporaneocidadeverde,em 2a serie,0.0
983,contemporaneocidadeverde,em 1a serie,0.0
984,contemporaneocidadeverde,ef 9o ano,0.0
985,contemporaneocidadeverde,ef 7o ano,0.0
986,contemporaneolagoanova,ef 8o ano,0.0
987,contemporaneocidadeverde,ef 6o ano,0.0
988,contemporaneocidadeverde,ef 5o ano,0.0
989,contemporaneocidadeverde,ef 3o ano,0.0
990,contemporaneocidadeverde,0,0.0
991,contemporaneo,em 3a serie,0.0
992,conexaosaber,ef 9o ano,0.0
993,contemporaneolagoanova,ef 7o ano,0.0
994,contemporaneolagoanova,ef 9o ano,0.0
995,crb,outro,0.0
996,crb,ef 6o ano,0.0
997,crb,em 3a serie,0.0
998,crb,em 2a serie,0.0
999,crb,em 1a serie,0.0
1000,crb,ef 9o ano,0.0
1001,crb,ef 8o ano,0.0
1002,crb,ef 7o ano,0.0
1003,cparaiso,0,0.0
1004,contemporaneolagoanova,em 1a serie,0.0
1005,cotemig,em 1a serie,0.0
1006,coopermundi,ef 8o ano,0.0
1007,coopermundi,ef 7o ano,0.0
1008,coopermundi,ef 6o ano,0.0
1009,contemporaneolagoanova,em 3a serie,0.0
1010,contemporaneolagoanova,em 2a serie,0.0
1011,colegioplanck,em 2a serie,0.0
1012,colegioplanck,ef 9o ano,0.0
1013,colegioeag,ef 4o ano,0.0
1014,colegioensitec,ef 8o ano,0.0
1015,colegioflamingo,em 2a serie,0.0
1016,colegioflamingo,em 1a serie,0.0
1017,colegioensitec,em 3a serie,0.0
1018,colegioensitec,em 2a serie,0.0
1019,colegioensitec,em 1a serie,0.0
1020,colegioensitec,ef 9o ano,0.0
1021,colegioensitec,ef 7o ano,0.0
1022,colegiofuturageracao,ef 3o ano,0.0
1023,colegioensitec,ef 6o ano,0.0
1024,colegioensitec,ef 5o ano,0.0
1025,colegioensitec,ef 4o ano,0.0
1026,colegioensitec,ef 3o ano,0.0
1027,colegioensitec,ef 2o ano,0.0
1028,colegioensitec,0,0.0
1029,colegioflamingo,em 3a serie,0.0
1030,colegiofuturageracao,ef 4o ano,0.0
1031,colegioeducallis,em 2a serie,0.0
1032,colegioglobal,ef 3o ano,0.0
1033,colegioglobal,ef 9o ano,0.0
1034,colegioglobal,ef 8o ano,0.0
1035,colegioglobal,ef 7o ano,0.0
1036,colegioglobal,ef 6o ano,0.0
1037,colegioglobal,ef 5o ano,0.0
1038,colegioglobal,ef 4o ano,0.0
1039,colegioglobal,ef 2o ano,0.0
1040,colegiofuturageracao,ef 5o ano,0.0
1041,colegioglobal,0,0.0
1042,colegiofuturageracao,em 1a serie,0.0
1043,colegiofuturageracao,ef 9o ano,0.0
1044,colegiofuturageracao,ef 8o ano,0.0
1045,colegiofuturageracao,ef 7o ano,0.0
1046,colegiofuturageracao,ef 6o ano,0.0
1047,colegioeducallis,em 3a serie,0.0
1048,colegioeducallis,em 1a serie,0.0
1049,colegioglobal,em 2a serie,0.0
1050,colegioecursodesafio,ef 5o ano,0.0
1051,colegioecursodesafio,em 2a serie,0.0
1052,colegioecursodesafio,em 1a serie,0.0
1053,colegioecursodesafio,ef 9o ano,0.0
1054,colegioecursodesafio,ef 8o ano,0.0
1055,colegioecursodesafio,ef 7o ano,0.0
1056,colegioecursodesafio,ef 6o ano,0.0
1057,colegioecursodesafio,ef 4o ano,0.0
1058,colegioecursoprogressao,0,0.0
1059,colegioecursodesafio,ef 3o ano,0.0
1060,colegioecursodesafio,ef 2o ano,0.0
1061,colegioecursodesafio,ef 1o ano,0.0
1062,colegioeag,ef 7o ano,0.0
1063,colegioeag,ef 6o ano,0.0
1064,colegioeag,ef 5o ano,0.0
1065,colegioecursodesafio,em 3a serie,0.0
1066,colegioecursoprogressao,ef 1o ano,0.0
1067,colegioeducallis,ef 9o ano,0.0
1068,colegioeducallis,ef 2o ano,0.0
1069,colegioeducallis,ef 8o ano,0.0
1070,colegioeducallis,ef 7o ano,0.0
1071,colegioeducallis,ef 6o ano,0.0
1072,colegioeducallis,ef 5o ano,0.0
1073,colegioeducallis,ef 4o ano,0.0
1074,colegioeducallis,ef 3o ano,0.0
1075,colegioeducallis,0,0.0
1076,colegioecursoprogressao,ef 6o ano,0.0
1077,colegioecursoprogressao,em 3a serie,0.0
1078,colegioecursoprogressao,em 2a serie,0.0
1079,colegioecursoprogressao,em 1a serie,0.0
1080,colegioecursoprogressao,ef 9o ano,0.0
1081,colegioecursoprogressao,ef 8o ano,0.0
1082,colegioecursoprogressao,ef 7o ano,0.0
1083,colegioglobal,em 1a serie,0.0
1084,colegioglobal,em 3a serie,0.0
1085,colegioplanck,ef 8o ano,0.0
1086,colegiomagnum,em 1a serie,0.0
1087,colegiomundial,em 1a serie,0.0
1088,colegiomundial,ef 9o ano,0.0
1089,colegiomundial,ef 6o ano,0.0
1090,colegiomodelo,0,0.0
1091,colegiomagnum,em 3a serie,0.0
1092,colegiomagnum,em 2a serie,0.0
1093,colegioliceu,em 3a serie,0.0
1094,colegiomundial,em 3a serie,0.0
1095,colegioliceu,em 2a serie,0.0
1096,colegioliceu,em 1a serie,0.0
1097,colegiojoaopaulo,outro,0.0
1098,colegiojoaopaulo,em 3a serie,0.0
1099,colegiojoaopaulo,em 2a serie,0.0
1100,colegiojoaopaulo,em 1a serie,0.0
1101,colegiomundial,em 2a serie,0.0
1102,colegionobre,0,0.0
1103,colegiojoaopaulo,ef 8o ano,0.0
1104,colegionovageracao,em 2a serie,0.0
1105,colegioplanck,ef 7o ano,0.0
1106,colegioplanck,ef 6o ano,0.0
1107,colegioplanck,0,0.0
1108,colegionovopatio,em 1a serie,0.0
1109,colegionovopatio,0,0.0
1110,colegionovageracao,em 3a serie,0.0
1111,colegionovageracao,em 1a serie,0.0
1112,colegionobre,ef 6o ano,0.0
1113,colegionovageracao,ef 9o ano,0.0
1114,colegionovageracao,ef 8o ano,0.0
1115,colegionovageracao,ef 5o ano,0.0
1116,colegionovageracao,ef 4o ano,0.0
1117,colegionovageracao,ef 3o ano,0.0
1118,colegionovageracao,ef 2o ano,0.0
1119,colegiojoaopaulo,ef 9o ano,0.0
1120,colegiojoaopaulo,ef 7o ano,0.0
1121,colegioguilhermedealmeida,ef 6o ano,0.0
1122,colegioiguatemy,ef 4o ano,0.0
1123,colegioiguatemy,em 1a serie,0.0
1124,colegioiguatemy,ef 9o ano,0.0
1125,colegioiguatemy,ef 8o ano,0.0
1126,colegioiguatemy,ef 7o ano,0.0
1127,colegioiguatemy,ef 6o ano,0.0
1128,colegioiguatemy,ef 5o ano,0.0
1129,colegioiguatemy,ef 3o ano,0.0
1130,colegioiguatemy,em 3a serie,0.0
1131,colegioguilhermedealmeida,em 3a serie,0.0
1132,colegioguilhermedealmeida,em 2a serie,0.0
1133,colegioguilhermedealmeida,em 1a serie,0.0
1134,colegioguilhermedealmeida,ef 9o ano,0.0
1135,colegioguilhermedealmeida,ef 8o ano,0.0
1136,colegioguilhermedealmeida,ef 7o ano,0.0
1137,colegioiguatemy,em 2a serie,0.0
1138,colegiointegral,0,0.0
1139,colegiojoaopaulo,ef 6o ano,0.0
1140,colegiointegral,em 1a serie,0.0
1141,colegiojoaopaulo,ef 5o ano,0.0
1142,colegiojoaopaulo,ef 4o ano,0.0
1143,colegiojoaopaulo,0,0.0
1144,colegiointegral,outro,0.0
1145,colegiointegral,em 3a serie,0.0
1146,colegiointegral,em 2a serie,0.0
1147,colegiointegral,ef 9o ano,0.0
1148,colegiointegral,ef 2o ano,0.0
1149,colegiointegral,ef 8o ano,0.0
1150,colegiointegral,ef 7o ano,0.0
1151,colegiointegral,ef 6o ano,0.0
1152,colegiointegral,ef 5o ano,0.0
1153,colegiointegral,ef 4o ano,0.0
1154,colegiointegral,ef 3o ano,0.0
1155,wilsondeandradebarreto,em 1a serie,0.0
