,namespace,grade,gerados
230,colegiobatistaindependente,ef 8o ano,0.0
229,colegiobatistaindependente,ef 7o ano,0.0
227,colegiobatistaindependente,ef 5o ano,0.0
236,colegiobetelbrasileirosp,ef 6o ano,0.0
226,colegiobatistaindependente,0,0.0
225,colegioarena,outro,0.0
224,colegioarena,em 3a serie,0.0
223,colegioarena,em 2a serie,0.0
222,colegioarena,em 1a serie,0.0
221,colegioarena,0,0.0
235,colegiobatistaindependente,outro,0.0
237,colegiobetelbrasileirosp,ef 7o ano,0.0
253,colegiobilac,ef 8o ano,0.0
246,colegiobilac,ef 1o ano,0.0
252,colegiobilac,ef 7o ano,0.0
251,colegiobilac,ef 6o ano,0.0
250,colegiobilac,ef 5o ano,0.0
249,colegiobilac,ef 4o ano,0.0
248,colegiobilac,ef 3o ano,0.0
247,colegiobilac,ef 2o ano,0.0
245,colegiobianguloiv,em 3a serie,0.0
238,colegiobetelbrasileirosp,ef 8o ano,0.0
244,colegiobianguloiv,em 2a serie,0.0
243,colegiobianguloiv,em 1a serie,0.0
242,colegiobetelbrasileirosp,em 3a serie,0.0
241,colegiobetelbrasileirosp,em 2a serie,0.0
240,colegiobetelbrasileirosp,em 1a serie,0.0
239,colegiobetelbrasileirosp,ef 9o ano,0.0
147,ceabb,ef 5o ano,0.0
146,ceabb,ef 4o ano,0.0
145,ceabb,ef 3o ano,0.0
45,acessohauer,ef 3o ano,0.0
51,acessopinhais,em 2a serie,0.0
50,acessopinhais,em 1a serie,0.0
49,acessohauer,ef 7o ano,0.0
48,acessohauer,ef 6o ano,0.0
47,acessohauer,ef 5o ano,0.0
46,acessohauer,ef 4o ano,0.0
44,acessohauer,ef 2o ano,0.0
53,acessopinhais,outro,0.0
43,acessohauer,0,0.0
42,acessofazendariogrande,outro,0.0
41,acessofazendariogrande,em 3a serie,0.0
40,acessofazendariogrande,em 2a serie,0.0
39,acessofazendariogrande,em 1a serie,0.0
38,acessofazendariogrande,ef 9o ano,0.0
52,acessopinhais,em 3a serie,0.0
54,acessosantafelicidade,ef 2o ano,0.0
36,acessofazendariogrande,ef 7o ano,0.0
63,acessosantafelicidade,em 2a serie,0.0
69,acessosjpinhais,ef 4o ano,0.0
68,acessosjpinhais,ef 3o ano,0.0
67,acessosjpinhais,ef 2o ano,0.0
66,acessosjpinhais,0,0.0
65,acessosantafelicidade,outro,0.0
64,acessosantafelicidade,em 3a serie,0.0
62,acessosantafelicidade,em 1a serie,0.0
55,acessosantafelicidade,ef 3o ano,0.0
61,acessosantafelicidade,ef 9o ano,0.0
60,acessosantafelicidade,ef 8o ano,0.0
59,acessosantafelicidade,ef 7o ano,0.0
58,acessosantafelicidade,ef 6o ano,0.0
57,acessosantafelicidade,ef 5o ano,0.0
56,acessosantafelicidade,ef 4o ano,0.0
37,acessofazendariogrande,ef 8o ano,0.0
35,acessofazendariogrande,ef 6o ano,0.0
71,acessosjpinhais,ef 6o ano,0.0
9,acessoalmirantetamandare,em 2a serie,0.0
15,acessoboqueirao,em 1a serie,0.0
14,acessoboqueirao,ef 9o ano,0.0
13,acessoboqueirao,ef 8o ano,0.0
12,acessoboqueirao,0,0.0
11,acessoalmirantetamandare,outro,0.0
10,acessoalmirantetamandare,em 3a serie,0.0
8,acessoalmirantetamandare,em 1a serie,0.0
17,acessoboqueirao,em 3a serie,0.0
7,acessoalmirantetamandare,ef 9o ano,0.0
6,acessoalmirantetamandare,ef 8o ano,0.0
5,acessoalmirantetamandare,ef 7o ano,0.0
4,acessoalmirantetamandare,ef 6o ano,0.0
3,acessoalmirantetamandare,ef 5o ano,0.0
2,acessoalmirantetamandare,ef 4o ano,0.0
16,acessoboqueirao,em 2a serie,0.0
18,acessoboqueirao,outro,0.0
34,acessofazendariogrande,ef 5o ano,0.0
27,acessocampolargokids,ef 2o ano,0.0
33,acessofazendariogrande,ef 4o ano,0.0
32,acessofazendariogrande,ef 3o ano,0.0
31,acessofazendariogrande,ef 2o ano,0.0
30,acessocampolargokids,ef 5o ano,0.0
29,acessocampolargokids,ef 4o ano,0.0
28,acessocampolargokids,ef 3o ano,0.0
26,acessocampolargo,outro,0.0
19,acessocampolargo,ef 6o ano,0.0
25,acessocampolargo,em 3a serie,0.0
24,acessocampolargo,em 2a serie,0.0
23,acessocampolargo,em 1a serie,0.0
22,acessocampolargo,ef 9o ano,0.0
21,acessocampolargo,ef 8o ano,0.0
20,acessocampolargo,ef 7o ano,0.0
70,acessosjpinhais,ef 5o ano,0.0
72,acessosjpinhais,ef 7o ano,0.0
144,cbpdigital,ef 9o ano,0.0
119,arena,0,0.0
125,brasilcursinhos,outro,0.0
124,brasilcursinhos,0,0.0
123,bertelsmann,0,0.0
122,beityaacov,em 3a serie,0.0
121,beityaacov,0,0.0
120,arlindocavalcanti,0,0.0
118,aprovest,outro,0.0
127,camerinocursos,0,0.0
117,apogeustoantonio2,outro,0.0
116,apogeustoantonio2,ef 9o ano,0.0
115,apogeustoantonio2,0,0.0
114,anchietaba,0,0.0
113,amaisteste,em 3a serie,0.0
112,amaisteste,em 1a serie,0.0
126,calculo2,0,0.0
128,camerinocursos,outro,0.0
110,amaisteste,ef 6o ano,0.0
137,cbpdigital,ef 2o ano,0.0
143,cbpdigital,ef 8o ano,0.0
142,cbpdigital,ef 7o ano,0.0
141,cbpdigital,ef 6o ano,0.0
140,cbpdigital,ef 5o ano,0.0
139,cbpdigital,ef 4o ano,0.0
138,cbpdigital,ef 3o ano,0.0
136,cbpdigital,0,0.0
129,casdinhosjc,0,0.0
135,cats,outro,0.0
134,castelobruxo,0,0.0
133,casdvest,outro,0.0
132,casdvest,0,0.0
131,casdinhosjc,ef 9o ano,0.0
130,casdinhosjc,ef 8o ano,0.0
111,amaisteste,ef 9o ano,0.0
109,amais,outro,0.0
73,acessosjpinhais,ef 8o ano,0.0
81,aescobjetivo,0,0.0
87,aescobjetivo,ef 6o ano,0.0
86,aescobjetivo,ef 5o ano,0.0
85,aescobjetivo,ef 4o ano,0.0
84,aescobjetivo,ef 3o ano,0.0
83,aescobjetivo,ef 2o ano,0.0
82,aescobjetivo,ef 1o ano,0.0
80,adrianochan,outro,0.0
89,aescobjetivo,ef 8o ano,0.0
79,adrianochan,0,0.0
78,acessosjpinhais,outro,0.0
77,acessosjpinhais,em 3a serie,0.0
76,acessosjpinhais,em 2a serie,0.0
75,acessosjpinhais,em 1a serie,0.0
74,acessosjpinhais,ef 9o ano,0.0
88,aescobjetivo,ef 7o ano,0.0
90,aescobjetivo,ef 9o ano,0.0
108,amais,em 3a serie,0.0
101,amadeus,ef 7o ano,0.0
107,amais,0,0.0
106,amadeus,em 3a serie,0.0
105,amadeus,em 2a serie,0.0
104,amadeus,em 1a serie,0.0
103,amadeus,ef 9o ano,0.0
102,amadeus,ef 8o ano,0.0
100,amadeus,ef 6o ano,0.0
93,aescobjetivo,em 3a serie,0.0
99,amadeus,ef 5o ano,0.0
98,amadeus,ef 4o ano,0.0
97,amadeus,ef 3o ano,0.0
96,amadeus,ef 2o ano,0.0
95,amadeus,0,0.0
94,alfacembilingue,0,0.0
289,colegiodompedrosegundo,0,0.0
290,colegioeag,ef 1o ano,0.0
291,colegioeag,ef 3o ano,0.0
480,colegiouirapuru,em 3a serie,0.0
486,colegiouniverso,em 1a serie,0.0
485,colegiouniverso,ef 9o ano,0.0
484,colegiouniverso,ef 8o ano,0.0
483,colegiouniverso,ef 7o ano,0.0
482,colegiouniverso,ef 6o ano,0.0
481,colegiouniverso,0,0.0
479,colegiouirapuru,em 2a serie,0.0
488,colegiouniverso,em 3a serie,0.0
478,colegiouirapuru,em 1a serie,0.0
477,colegiouirapuru,ef 9o ano,0.0
476,colegiouirapuru,ef 8o ano,0.0
475,colegiouirapuru,ef 7o ano,0.0
474,colegiouirapuru,ef 6o ano,0.0
473,colegiouirapuru,ef 5o ano,0.0
487,colegiouniverso,em 2a serie,0.0
489,colegioup,0,0.0
471,colegiouirapuru,ef 3o ano,0.0
498,colsantacatarinape,em 2a serie,0.0
504,conexaosaber,ef 4o ano,0.0
503,conexaosaber,ef 3o ano,0.0
502,conexaosaber,ef 2o ano,0.0
501,conexaosaber,ef 1o ano,0.0
500,conexaosaber,0,0.0
499,colsantacatarinape,em 3a serie,0.0
497,colsantacatarinape,em 1a serie,0.0
490,colegioup,ef 6o ano,0.0
496,colegioup,em 3a serie,0.0
495,colegioup,em 2a serie,0.0
494,colegioup,em 1a serie,0.0
493,colegioup,ef 9o ano,0.0
492,colegioup,ef 8o ano,0.0
491,colegioup,ef 7o ano,0.0
472,colegiouirapuru,ef 4o ano,0.0
470,colegioshalomoficial,0,0.0
506,conexaosaber,ef 6o ano,0.0
444,colegiopremium,ef 6o ano,0.0
450,colegiopremium,em 3a serie,0.0
449,colegiopremium,em 2a serie,0.0
448,colegiopremium,em 1a serie,0.0
447,colegiopremium,ef 9o ano,0.0
446,colegiopremium,ef 8o ano,0.0
445,colegiopremium,ef 7o ano,0.0
443,colegiopremium,ef 5o ano,0.0
452,colegioradar,0,0.0
442,colegiopremium,ef 4o ano,0.0
441,colegiopremium,ef 3o ano,0.0
440,colegiopremium,ef 2o ano,0.0
439,colegiopremium,ef 1o ano,0.0
438,colegioplanck,outro,0.0
437,colegioplanck,em 3a serie,0.0
451,colegioprogresso,0,0.0
453,colegioriobranco,0,0.0
469,colegiosete,em 3a serie,0.0
462,colegiosete,ef 5o ano,0.0
468,colegiosete,em 2a serie,0.0
467,colegiosete,em 1a serie,0.0
466,colegiosete,ef 9o ano,0.0
465,colegiosete,ef 8o ano,0.0
464,colegiosete,ef 7o ano,0.0
463,colegiosete,ef 6o ano,0.0
461,colegiosete,ef 4o ano,0.0
454,colegiosantamaria,0,0.0
460,colegiosete,ef 3o ano,0.0
459,colegiosete,ef 2o ano,0.0
458,colegiosete,ef 1o ano,0.0
457,colegiosete,0,0.0
456,colegioser,outro,0.0
455,colegioser,0,0.0
505,conexaosaber,ef 5o ano,0.0
507,conexaosaber,ef 7o ano,0.0
435,colegioplanck,em 1a serie,0.0
552,cursoenfase,outro,0.0
558,cursosazambuja,0,0.0
557,cursoprogressao,0,0.0
556,cursoleopoldo,outro,0.0
555,cursoleopoldo,em 3a serie,0.0
554,cursoisfera,outro,0.0
553,cursoisfera,0,0.0
551,cursobase,0,0.0
560,dante,em 3a serie,0.0
550,cursinhoeach,0,0.0
549,crescercampinas,em 3a serie,0.0
548,crescercampinas,em 2a serie,0.0
547,crescercampinas,em 1a serie,0.0
546,crescercampinas,ef 9o ano,0.0
545,crescercampinas,ef 8o ano,0.0
559,cursosazambuja,outro,0.0
561,deltaeducacional,0,0.0
543,crescercampinas,ef 6o ano,0.0
570,eacorcovado,em 1a serie,0.0
576,eccos,ef 4o ano,0.0
575,eccos,ef 3o ano,0.0
574,eccos,0,0.0
573,eacorcovado,outro,0.0
572,eacorcovado,em 3a serie,0.0
571,eacorcovado,em 2a serie,0.0
569,eacorcovado,ef 8o ano,0.0
562,deltaeducacional,em 1a serie,0.0
568,domus,em 3a serie,0.0
567,domus,em 2a serie,0.0
566,domus,em 1a serie,0.0
565,dommga,em 3a serie,0.0
564,deltaeducacional,em 3a serie,0.0
563,deltaeducacional,em 2a serie,0.0
544,crescercampinas,ef 7o ano,0.0
542,crescercampinas,0,0.0
508,conexaosaber,ef 8o ano,0.0
516,contemporaneocidadeverde,ef 8o ano,0.0
522,contemporaneolagoanova,ef 6o ano,0.0
521,contemporaneolagoanova,0,0.0
520,contemporaneocidadeverde,em 3a serie,0.0
519,contemporaneocidadeverde,em 2a serie,0.0
518,contemporaneocidadeverde,em 1a serie,0.0
517,contemporaneocidadeverde,ef 9o ano,0.0
515,contemporaneocidadeverde,ef 7o ano,0.0
524,contemporaneolagoanova,ef 8o ano,0.0
514,contemporaneocidadeverde,ef 6o ano,0.0
513,contemporaneocidadeverde,ef 5o ano,0.0
512,contemporaneocidadeverde,ef 3o ano,0.0
511,contemporaneocidadeverde,0,0.0
510,contemporaneo,em 3a serie,0.0
509,conexaosaber,ef 9o ano,0.0
523,contemporaneolagoanova,ef 7o ano,0.0
525,contemporaneolagoanova,ef 9o ano,0.0
541,crb,outro,0.0
534,crb,ef 6o ano,0.0
540,crb,em 3a serie,0.0
539,crb,em 2a serie,0.0
538,crb,em 1a serie,0.0
537,crb,ef 9o ano,0.0
536,crb,ef 8o ano,0.0
535,crb,ef 7o ano,0.0
533,cparaiso,0,0.0
526,contemporaneolagoanova,em 1a serie,0.0
532,cotemig,em 1a serie,0.0
531,coopermundi,ef 8o ano,0.0
530,coopermundi,ef 7o ano,0.0
529,coopermundi,ef 6o ano,0.0
528,contemporaneolagoanova,em 3a serie,0.0
527,contemporaneolagoanova,em 2a serie,0.0
436,colegioplanck,em 2a serie,0.0
434,colegioplanck,ef 9o ano,0.0
292,colegioeag,ef 4o ano,0.0
336,colegioensitec,ef 8o ano,0.0
342,colegioflamingo,em 2a serie,0.0
341,colegioflamingo,em 1a serie,0.0
340,colegioensitec,em 3a serie,0.0
339,colegioensitec,em 2a serie,0.0
338,colegioensitec,em 1a serie,0.0
337,colegioensitec,ef 9o ano,0.0
335,colegioensitec,ef 7o ano,0.0
344,colegiofuturageracao,ef 3o ano,0.0
334,colegioensitec,ef 6o ano,0.0
333,colegioensitec,ef 5o ano,0.0
332,colegioensitec,ef 4o ano,0.0
331,colegioensitec,ef 3o ano,0.0
330,colegioensitec,ef 2o ano,0.0
329,colegioensitec,0,0.0
343,colegioflamingo,em 3a serie,0.0
345,colegiofuturageracao,ef 4o ano,0.0
327,colegioeducallis,em 2a serie,0.0
354,colegioglobal,ef 3o ano,0.0
360,colegioglobal,ef 9o ano,0.0
359,colegioglobal,ef 8o ano,0.0
358,colegioglobal,ef 7o ano,0.0
357,colegioglobal,ef 6o ano,0.0
356,colegioglobal,ef 5o ano,0.0
355,colegioglobal,ef 4o ano,0.0
353,colegioglobal,ef 2o ano,0.0
346,colegiofuturageracao,ef 5o ano,0.0
352,colegioglobal,0,0.0
351,colegiofuturageracao,em 1a serie,0.0
350,colegiofuturageracao,ef 9o ano,0.0
349,colegiofuturageracao,ef 8o ano,0.0
348,colegiofuturageracao,ef 7o ano,0.0
347,colegiofuturageracao,ef 6o ano,0.0
328,colegioeducallis,em 3a serie,0.0
326,colegioeducallis,em 1a serie,0.0
362,colegioglobal,em 2a serie,0.0
300,colegioecursodesafio,ef 5o ano,0.0
306,colegioecursodesafio,em 2a serie,0.0
305,colegioecursodesafio,em 1a serie,0.0
304,colegioecursodesafio,ef 9o ano,0.0
303,colegioecursodesafio,ef 8o ano,0.0
302,colegioecursodesafio,ef 7o ano,0.0
301,colegioecursodesafio,ef 6o ano,0.0
299,colegioecursodesafio,ef 4o ano,0.0
308,colegioecursoprogressao,0,0.0
298,colegioecursodesafio,ef 3o ano,0.0
297,colegioecursodesafio,ef 2o ano,0.0
296,colegioecursodesafio,ef 1o ano,0.0
295,colegioeag,ef 7o ano,0.0
294,colegioeag,ef 6o ano,0.0
293,colegioeag,ef 5o ano,0.0
307,colegioecursodesafio,em 3a serie,0.0
309,colegioecursoprogressao,ef 1o ano,0.0
325,colegioeducallis,ef 9o ano,0.0
318,colegioeducallis,ef 2o ano,0.0
324,colegioeducallis,ef 8o ano,0.0
323,colegioeducallis,ef 7o ano,0.0
322,colegioeducallis,ef 6o ano,0.0
321,colegioeducallis,ef 5o ano,0.0
320,colegioeducallis,ef 4o ano,0.0
319,colegioeducallis,ef 3o ano,0.0
317,colegioeducallis,0,0.0
310,colegioecursoprogressao,ef 6o ano,0.0
316,colegioecursoprogressao,em 3a serie,0.0
315,colegioecursoprogressao,em 2a serie,0.0
314,colegioecursoprogressao,em 1a serie,0.0
313,colegioecursoprogressao,ef 9o ano,0.0
312,colegioecursoprogressao,ef 8o ano,0.0
311,colegioecursoprogressao,ef 7o ano,0.0
361,colegioglobal,em 1a serie,0.0
363,colegioglobal,em 3a serie,0.0
433,colegioplanck,ef 8o ano,0.0
408,colegiomagnum,em 1a serie,0.0
414,colegiomundial,em 1a serie,0.0
413,colegiomundial,ef 9o ano,0.0
412,colegiomundial,ef 6o ano,0.0
411,colegiomodelo,0,0.0
410,colegiomagnum,em 3a serie,0.0
409,colegiomagnum,em 2a serie,0.0
407,colegioliceu,em 3a serie,0.0
416,colegiomundial,em 3a serie,0.0
406,colegioliceu,em 2a serie,0.0
405,colegioliceu,em 1a serie,0.0
404,colegiojoaopaulo,outro,0.0
403,colegiojoaopaulo,em 3a serie,0.0
402,colegiojoaopaulo,em 2a serie,0.0
401,colegiojoaopaulo,em 1a serie,0.0
415,colegiomundial,em 2a serie,0.0
417,colegionobre,0,0.0
399,colegiojoaopaulo,ef 8o ano,0.0
426,colegionovageracao,em 2a serie,0.0
432,colegioplanck,ef 7o ano,0.0
431,colegioplanck,ef 6o ano,0.0
430,colegioplanck,0,0.0
429,colegionovopatio,em 1a serie,0.0
428,colegionovopatio,0,0.0
427,colegionovageracao,em 3a serie,0.0
425,colegionovageracao,em 1a serie,0.0
418,colegionobre,ef 6o ano,0.0
424,colegionovageracao,ef 9o ano,0.0
423,colegionovageracao,ef 8o ano,0.0
422,colegionovageracao,ef 5o ano,0.0
421,colegionovageracao,ef 4o ano,0.0
420,colegionovageracao,ef 3o ano,0.0
419,colegionovageracao,ef 2o ano,0.0
400,colegiojoaopaulo,ef 9o ano,0.0
398,colegiojoaopaulo,ef 7o ano,0.0
364,colegioguilhermedealmeida,ef 6o ano,0.0
372,colegioiguatemy,ef 4o ano,0.0
378,colegioiguatemy,em 1a serie,0.0
377,colegioiguatemy,ef 9o ano,0.0
376,colegioiguatemy,ef 8o ano,0.0
375,colegioiguatemy,ef 7o ano,0.0
374,colegioiguatemy,ef 6o ano,0.0
373,colegioiguatemy,ef 5o ano,0.0
371,colegioiguatemy,ef 3o ano,0.0
380,colegioiguatemy,em 3a serie,0.0
370,colegioguilhermedealmeida,em 3a serie,0.0
369,colegioguilhermedealmeida,em 2a serie,0.0
368,colegioguilhermedealmeida,em 1a serie,0.0
367,colegioguilhermedealmeida,ef 9o ano,0.0
366,colegioguilhermedealmeida,ef 8o ano,0.0
365,colegioguilhermedealmeida,ef 7o ano,0.0
379,colegioiguatemy,em 2a serie,0.0
381,colegiointegral,0,0.0
397,colegiojoaopaulo,ef 6o ano,0.0
390,colegiointegral,em 1a serie,0.0
396,colegiojoaopaulo,ef 5o ano,0.0
395,colegiojoaopaulo,ef 4o ano,0.0
394,colegiojoaopaulo,0,0.0
393,colegiointegral,outro,0.0
392,colegiointegral,em 3a serie,0.0
391,colegiointegral,em 2a serie,0.0
389,colegiointegral,ef 9o ano,0.0
382,colegiointegral,ef 2o ano,0.0
388,colegiointegral,ef 8o ano,0.0
387,colegiointegral,ef 7o ano,0.0
386,colegiointegral,ef 6o ano,0.0
385,colegiointegral,ef 5o ano,0.0
384,colegiointegral,ef 4o ano,0.0
383,colegiointegral,ef 3o ano,0.0
1155,wilsondeandradebarreto,em 1a serie,0.0
