,namespace,grade,gerados
813,overmossoro,ef 4o ano,0.0
812,overmossoro,ef 2o ano,0.0
792,overjoaopessoa,em 1a serie,0.0
718,mariliamattoso,em 3a serie,0.0
721,master,ef 2o ano,0.0
624,forumcultural,0,0.0
630,idaam,em 3a serie,0.0
629,gerabixo,outro,0.0
628,garra,0,0.0
627,galois,0,0.0
626,fundacaobradesco,0,0.0
625,francobrasileiro,em 3a serie,0.0
623,fleming,0,0.0
632,implantacao,outro,0.0
622,faculdadeflamingo,outro,0.0
621,faculdadeflamingo,0,0.0
620,estantemagica,outro,0.0
619,esperanza,0,0.0
618,escprogressiva,em 1a serie,0.0
617,escolamaster,em 3a serie,0.0
631,implantacao,0,0.0
633,insa,em 1a serie,0.0
650,integra,ef 3o ano,0.0
642,institutocristao,em 2a serie,0.0
648,integra,ef 1o ano,0.0
647,institutosaojose,em 3a serie,0.0
646,institutosaojose,em 2a serie,0.0
645,institutosaojose,em 1a serie,0.0
644,institutoeurofarma,outro,0.0
643,institutocristao,em 3a serie,0.0
641,institutocristao,ef 9o ano,0.0
634,insa,em 2a serie,0.0
640,institutocristao,ef 7o ano,0.0
639,institutocristao,ef 6o ano,0.0
638,institutoauxiliadoradf,em 3a serie,0.0
637,institutoauxiliadoradf,em 2a serie,0.0
636,institutoauxiliadoradf,em 1a serie,0.0
635,insa,em 3a serie,0.0
616,escolamaster,em 2a serie,0.0
615,escolamaster,em 1a serie,0.0
614,escoladofuturo,0,0.0
588,educandarioterciocorreia,ef 8o ano,0.0
594,einsteinassis,ef 8o ano,0.0
593,einsteinassis,ef 7o ano,0.0
592,einsteinassis,ef 6o ano,0.0
591,eduqo,0,0.0
590,educarse,outro,0.0
589,educandarioterciocorreia,ef 9o ano,0.0
587,educandarioterciocorreia,ef 7o ano,0.0
613,escoladinamicaiturama,0,0.0
586,educandarioterciocorreia,ef 6o ano,0.0
585,educandarioterciocorreia,ef 5o ano,0.0
584,educandarioterciocorreia,ef 4o ano,0.0
583,educandarioterciocorreia,ef 3o ano,0.0
582,educamais,ef 6o ano,0.0
581,eccos,ef 9o ano,0.0
595,einsteinassis,ef 9o ano,0.0
596,einsteinassis,em 1a serie,0.0
597,einsteinassis,em 2a serie,0.0
598,einsteinassis,em 3a serie,0.0
599,elitecuritibaemilianoperneta,em 1a serie,0.0
600,elitecuritibaemilianoperneta,em 2a serie,0.0
601,elitecuritibaemilianoperneta,em 3a serie,0.0
602,elitecuritibaemilianoperneta,outro,0.0
603,eluneonline,0,0.0
604,eluneonline,em 1a serie,0.0
606,escola,ef 4o ano,0.0
607,escolaceciliameireles,ef 2o ano,0.0
608,escolaceciliameireles,ef 3o ano,0.0
609,escolaceciliameireles,ef 4o ano,0.0
610,escolaceciliameireles,ef 5o ano,0.0
611,escolaceciliameireles,ef 6o ano,0.0
612,escoladeimpacto,0,0.0
649,integra,ef 2o ano,0.0
651,integra,ef 4o ano,0.0
720,master,ef 1o ano,0.0
695,magister,ef 4o ano,0.0
701,maplebearslz,ef 4o ano,0.0
700,maplebearslz,ef 3o ano,0.0
699,maplebearslz,ef 2o ano,0.0
698,maplebearslz,0,0.0
697,magister,outro,0.0
696,magister,ef 5o ano,0.0
694,magister,ef 3o ano,0.0
703,maplebearslz,ef 6o ano,0.0
693,magister,0,0.0
692,macvest,outro,0.0
691,litteratus,em 3a serie,0.0
690,litteratus,ef 5o ano,0.0
689,liessinbarra,ef 8o ano,0.0
688,lasalleaguasclaras,em 3a serie,0.0
702,maplebearslz,ef 5o ano,0.0
704,maplebearslz,ef 7o ano,0.0
652,integra,ef 5o ano,0.0
713,mariliamattoso,ef 7o ano,0.0
719,master,0,0.0
864,physicsalmirantebarroso,ef 4o ano,0.0
717,mariliamattoso,em 2a serie,0.0
716,mariliamattoso,em 1a serie,0.0
715,mariliamattoso,ef 9o ano,0.0
714,mariliamattoso,ef 8o ano,0.0
712,mariliamattoso,ef 6o ano,0.0
705,maplebearslz,ef 8o ano,0.0
711,mariliamattoso,ef 5o ano,0.0
710,mariliamattoso,0,0.0
709,maplebearslz,outro,0.0
708,maplebearslz,em 2a serie,0.0
707,maplebearslz,em 1a serie,0.0
706,maplebearslz,ef 9o ano,0.0
687,lasalleaguasclaras,em 2a serie,0.0
686,lasalleaguasclaras,em 1a serie,0.0
685,joaobelem,ef 9o ano,0.0
660,integradaeducativa,ef 9o ano,0.0
666,invictus,ef 7o ano,0.0
665,invictus,ef 6o ano,0.0
664,invictus,0,0.0
663,integradaeducativa,em 3a serie,0.0
662,integradaeducativa,em 2a serie,0.0
661,integradaeducativa,em 1a serie,0.0
