,namespace,Porcentagem de engajamento em série de exercícios,Número de exercícios por turma,Média de séries de exercícios por turma,Porcentagem de visualização de relatórios de SE por alunos,Porcentagem de visualização de relatórios de AA,Número de AAs iniciadas por aluno
44,colegioeag,0.2493391580177523,59.9375,8.875,0.1177862734389222,0.5683229813664596,0.4491978609625668
45,colegioensitec,0.2409997100806657,83.15384615384616,10.307692307692308,0.2012266355140187,0.6104567652973284,8.55045871559633
46,cem,0.2406268963879581,69.25,49.583333333333336,0.0197779319916724,0.7968694414799004,9.897142857142857
47,senhorbonfim,0.2375886524822695,12.25,2.75,0.0967741935483871,0.0,0.0
48,professoratalitha,0.2306238185255198,23.0,2.0,0.2608695652173913,0.0,0.0
49,hamiltondarocha,0.2241887905604719,8.25,3.0,0.147919876733436,0.0,0.0
50,mesalva,0.2222222222222222,3.0,1.0,0.0,0.0,0.0
51,stellamarisjuveve,0.217033411238994,77.03333333333333,15.5,0.0761742516427354,0.3907568653717347,9.162870159453304
52,eccos,0.2092013645759227,33.333333333333336,9.88888888888889,0.0559485530546623,0.7114147909967846,3.03690036900369
53,arco,0.2083333333333333,12.0,5.0,0.0666666666666666,0.0,0.0
54,faculdadeflamingo,0.2012030565076085,7.666666666666667,2.888888888888889,0.0870385658686165,0.5160220994475138,0.7834158415841584
55,galois,0.2004766949152542,0.0,0.0,0.0,0.0,0.0
56,colegiofuturageracao,0.2,18.666666666666668,1.6666666666666667,0.2222222222222222,0.749400479616307,9.710144927536232
57,acessosantafelicidade,0.1960859067225822,62.142857142857146,10.214285714285714,0.0798171589310829,0.4271736331645352,16.06741573033708
58,gamt,0.1944588744588744,10.666666666666666,2.0,0.1291666666666666,0.0,0.0
59,ceprimeiromundo,0.1902657621211178,10.38888888888889,3.8333333333333335,0.0823598130841121,0.1766582230978516,3.2852272727272727
60,colegiobrasilia,0.1900572888876407,105.78787878787878,30.818181818181817,0.0201478302336671,0.3961140992324892,27.28502415458937
61,physicsalmirantebarroso,0.1898753536743901,133.52,30.8,0.0276811981813319,0.1649354737173434,4.108638743455497
62,portinari,0.1897257468122784,46.23333333333333,6.2,0.1839717741935483,0.7186372255183803,14.78659793814433
63,esperanza,0.1863247863247863,0.0,0.0,0.2564102564102564,0.0,0.0
64,colegioglobal,0.1825221238938053,10.5,2.5,0.1307692307692307,0.7456579334707094,9.93581081081081
65,psantagema,0.1808567129834498,67.58333333333333,9.833333333333334,0.0784382694336968,0.6883720930232559,7.774774774774775
66,mocinhagomes,0.1794871794871795,4.0,1.0,0.0769230769230769,0.0,0.0
67,lidera,0.1666666666666666,0.0,0.0,0.1428571428571428,0.0,0.0
68,novotempo,0.1666666666666666,4.0,1.0,0.0,0.3855932203389831,0.1785334750265675
69,ceespacolivre,0.1650088567924785,13.6,1.6,0.0760233918128654,0.6289825282631039,5.072289156626506
70,colegiocb,0.1634777123633305,71.53846153846153,11.384615384615383,0.1143717080511663,0.6135764944275582,7.926289926289926
71,universobarcarena,0.152097761852555,29.0,8.1,0.0168800931315483,0.3003896563939072,5.300546448087432
72,colegioecursodesafio,0.1489263742806112,184.15384615384616,37.69230769230769,0.0338045112781954,0.2734797483721443,5.277932960893855
73,moaciralves,0.1469867711905928,28.125,5.125,0.0675555555555555,0.02803738317757,0.0321100917431192
74,physicsbatistacampos,0.1449093392003641,132.93333333333334,29.23333333333333,0.0218916166987215,0.4457197513151602,3.624423963133641
75,colegioguilhermedealmeida,0.143187692254162,73.82857142857142,11.228571428571428,0.1402599941354706,0.4293239683933275,0.7728937728937729
76,colegioflamingo,0.142233477301681,248.2,42.2,0.0352630032324419,0.4582291145572786,4.9523809523809526
77,santamariacn,0.1415204678362573,60.0,4.0,0.1973684210526315,0.5653939886271324,8.155737704918034
78,objetivolorena,0.1403048148443462,25.0,8.0,0.0545370155488512,0.2912789439515256,7.417777777777777
79,colegiodasamericas,0.1402962602642947,42.2258064516129,6.0,0.1520597179983411,0.8471926083866382,8.449101796407186
80,antoniomelo,0.136739417989418,27.0,2.5,0.1114982578397212,0.0,0.0
81,physicscidadenova,0.1315494943621076,151.73684210526315,29.63157894736842,0.0255464225667849,0.2022157899990019,5.762486126526082
82,litteratus,0.1213093709884467,38.0,3.0,0.048780487804878,0.0217391304347826,0.0046511627906976
83,valdemiracoelho,0.1189655172413793,35.666666666666664,6.333333333333333,0.108695652173913,0.0,0.0
84,amadeus,0.1187931288113833,81.15384615384616,18.53846153846154,0.0395271294331615,0.3023745115719867,6.0651204281891165
85,villalobos,0.1184659398875424,83.24444444444444,21.711111111111112,0.0253892215568862,0.6027822364901017,6.7727272727272725
86,murilorocha,0.1160557898151151,0.0,0.0,0.0759412890874282,0.0694444444444444,0.1178451178451178
87,francobrasileiro,0.1159374339463115,72.33333333333333,6.666666666666667,0.0984340044742729,0.0407766990291262,0.2
88,abiliomartins,0.1152173913043478,1.0,1.0,0.0652173913043478,0.0,0.0
89,pesenglish,0.1142857142857142,1.0,1.0,0.0285714285714285,0.0,0.0
90,eacorcovado,0.1124359567908661,84.06451612903226,11.096774193548388,0.1141506731595531,0.4468965517241379,0.320863309352518
91,aridesa,0.1111111111111111,109.0,11.0,0.0,0.0,0.3333333333333333
92,colegiosete,0.1110825005821352,61.52,16.24,0.1022629619020338,0.3957020418452231,9.072375127421
93,overabelcabral,0.1106446776611694,25.666666666666668,9.5,0.0422216637346066,0.358451808205849,20.99223602484472
94,abdiasmartins,0.1085271317829457,44.0,7.5,0.0884146341463414,0.0,0.0
95,colegiointegral,0.1017579009423887,226.5245901639344,32.42622950819672,0.0491739422431161,0.7420138377741793,8.566840926064227
96,colegiouirapuru,0.0998287768962958,35.64705882352941,4.705882352941177,0.1628769154720711,0.2943691037735849,3.196759259259259
97,cparaiso,0.0954292084726867,0.0,0.0,0.0071428571428571,0.0408163265306122,0.8
98,acessoboqueirao,0.0945924958868607,99.72222222222224,13.333333333333334,0.0589605916320534,0.3970269235676917,20.58333333333333
99,mariliamattoso,0.0942025428304943,14.7,4.8,0.1737057220708447,0.6582688689107254,11.095652173913043
100,physicsmacapa,0.0896003759157607,125.66666666666669,20.22222222222222,0.0401435299394483,0.1891412349183818,3.395833333333333
101,santoamerico,0.0892817354447307,158.06382978723406,30.170212765957448,0.0265389274308996,0.2824504291210417,4.941256830601093
102,nucleocriativo,0.0882655446470313,36.0,6.333333333333333,0.2004889975550122,0.2000932835820895,1.853448275862069
103,macvest,0.0880225573127375,230.5,37.0,0.0126794258373205,0.5126050420168067,1.4956521739130435
104,alpha,0.0841717457530192,353.5,48.40909090909091,0.0793688362919132,0.0,0.0
105,universitariolondrina,0.0833598238005494,154.69387755102042,39.30612244897959,0.0253590904230673,0.2659818719054464,36.52621359223301
106,overpontanegra,0.0820881407225269,10.5,3.125,0.0652406417112299,0.3538331035945287,15.756446991404012
107,cursoisfera,0.0816816816816816,7.666666666666667,2.0,0.0068965517241379,0.3888213851761847,10.781609195402298
108,colegioliceu,0.0802469135802469,4188.0,609.3333333333334,0.0006522717049032,0.0571428571428571,0.5060975609756098
109,overmarciliofurtado,0.0800291014914514,15.875,6.25,0.0776182881446039,0.3420117365071493,19.009646302250804
110,aescobjetivo,0.0790672741892254,9.4,2.6,0.0203619909502262,0.343104399100666,10.37882096069869
111,colegioecursoprogressao,0.0767928756414809,78.3076923076923,14.307692307692308,0.0839034929780338,0.6077682981589583,39.615584415584415
112,meta,0.0754696725711218,7.0,1.0,0.3076923076923077,0.0,0.066420664206642
113,isem,0.0754076086956521,1.3333333333333333,1.3333333333333333,0.1417910447761194,0.6813104988830976,10.27816091954023
114,progressaoig,0.0746934225195094,65.0,11.0,0.0699300699300699,0.7703330751355538,33.608
115,colegiopremium,0.0719738276990185,25.33333333333333,3.6666666666666665,0.1063829787234042,0.4681034482758621,4.078431372549019
116,cats,0.0704636728733114,293.0,38.0,0.034090909090909,0.4393939393939394,3.227272727272727
117,colegiojoaopaulo,0.0681503319405499,43.4,3.6,0.1629273504273504,0.5018677435638567,7.210069444444445
118,overzonanorte,0.0677352637021716,34.625,3.875,0.0787878787878787,0.2643189637725157,14.778242677824268
119,integradaeducativa,0.0667368067356499,68.73333333333333,11.666666666666666,0.0613379669852302,0.6721457130164371,13.0
120,colegiodosjesuitas,0.0666666666666666,0.0,0.0,0.0,0.0,0.0
121,spdacruz,0.0656039553576939,54.66666666666666,6.75,0.165,0.7785556727726096,22.220338983050848
122,progressaodc,0.0637916046018616,89.25,15.5,0.0985838779956427,0.5677795655671762,43.552083333333336
123,sagradafamilia,0.0621684124608896,4156.5,602.0,0.0002830544722606,0.290983606557377,0.984375
124,overjoaopessoa,0.0591133004926108,7.0,2.5,0.0519480519480519,0.243312101910828,7.173228346456693
125,profederal,0.056418948882954,738.5,72.66666666666667,0.0276839972991222,0.1654641654641654,2.5582655826558267
126,escoladeimpacto,0.0555555555555555,0.0,0.0,0.0,0.0,0.0625
127,benjaminconstant,0.05,0.0,0.0,0.0044444444444444,0.0,0.0
128,pioxi,0.0496219865259807,23.375,3.125,0.0953678474114441,0.6659558454591069,6.876623376623376
129,cursosazambuja,0.0469858168666523,128.63333333333333,7.333333333333333,0.1496442025952281,0.5947611710323575,1.465940054495913
130,institutoeurofarma,0.0457694886631733,178.0,57.0,0.0288906345465654,0.67,1.075812274368231
131,contemporaneocidadeverde,0.0428571428571428,5.6,1.0,0.0061728395061728,0.5257698541329011,6.978819969742814
132,dante,0.0416666666666666,0.0,0.0,0.0,0.0,0.0
133,laboratoriosromildo,0.0416666666666666,0.0,0.0,0.0555555555555555,0.0,0.6737588652482269
134,overnascimentodecastro,0.0393073811931243,86.0,7.0,0.0232558139534883,0.2461538461538461,0.6060606060606061
135,educarse,0.039206712433257,138.0,21.0,0.0033416875522138,0.0666666666666666,0.8
136,porto,0.0373747672498925,190.04545454545453,47.45454545454545,0.036217463981533,0.445254680017414,22.11517615176152
137,santadoroteia,0.0372498935717326,4156.5,602.0,0.0001074806534823,0.0707070707070707,1.2179487179487178
138,anossaatmosfera,0.0367870840221592,0.0,0.0,0.0333110143957147,0.0,0.0
139,amaisteste,0.0357142857142857,4.0,1.0,0.0357142857142857,0.0588235294117647,0.28
140,positivoon,0.0333333333333333,56.0,5.0,0.1,0.0,0.5
141,cursoenfase,0.0328689300689841,49.66666666666666,6.333333333333333,0.0436590436590436,0.2327586206896551,0.4798206278026906
142,brasilcursinhos,0.0316022104184618,0.0,0.0,0.0073448712536935,0.4700598802395209,1.9868995633187772
143,ipdhsolucoes,0.0267506391469726,4.0,1.0,0.0153721682847896,0.0,0.0
144,rede,0.0227272727272727,14.0,2.5,0.0,0.0,1.1666666666666667
145,apogeustoantonio2,0.0213459390738152,60.2,7.8,0.0285935085007728,0.3875921375921375,0.4288674033149171
146,casdinhosjc,0.0191257617473245,125.125,16.75,0.0110862381409231,0.4188991719434973,0.6551226551226551
147,qescola,0.0178186973797062,148.64705882352942,10.294117647058824,0.0007954962672867,0.006327111673521,0.1975903614457831
148,physicsconselheirofurtado,0.0170221342714746,18.428571428571427,2.142857142857143,0.023278370514064,0.1562189054726368,4.883870967741935
149,cursobase,0.0144912481171765,0.0,0.0,0.0153110047846889,0.4090909090909091,0.1810344827586207
150,informacao,0.0136464614408124,156.5,20.5,0.0015762925598991,0.0,0.0
151,colegioarena,0.0112282188443408,17.0,2.0,0.0316455696202531,0.37029752899647,7.247088186356073
152,primeirodemaio,0.0098638249953079,0.0,0.0,0.0074096028452874,0.2831632653061224,0.6180904522613065
153,joaorosa,0.008329126703685,3.0,3.0,0.0211640211640211,0.0,0.0
154,casdvest,0.0073667610015338,55.333333333333336,15.333333333333334,0.001965372016846,0.049896408839779,0.2853304674905964
155,master,0.0066244239631336,225.0,12.0,0.0039682539682539,0.2645477261369315,7.656293543892243
156,physicsalcindocacela,0.0064638810588407,128.5,17.166666666666668,0.009696351109977,0.3734667527437056,1.4195470798569725
157,gerabixo,0.0062041511895727,357.0,31.0,0.0046380885453267,0.0524017467248908,0.1130952380952381
158,escolamaster,0.0047318611987381,3854.75,560.5,0.0,0.3295985060690943,2.831111111111111
159,adrianochan,0.0042538544119401,131.29770992366412,6.916030534351145,0.0140012445550715,0.2257228587015821,6.837448559670782
160,redeinspira,0.001624548736462,12.0,1.0,0.0017406440382941,0.0,0.0
161,eldapereira,0.0,10.0,1.0,0.0555555555555555,0.0,0.0
162,conexaosaber,0.0,3.0,1.0,0.0,0.1133394105135217,6.9625
163,jardimsaopaulo,0.0,0.0,0.0,0.0,0.4548192771084337,1.0
164,zecarioca,0.0,0.0,0.0,0.0,0.0,0.0
165,santoagostinholeblon,0.0,217.0,88.0,0.0,0.0,0.0
166,sistemadeensinogpi,0.0,39.0,7.0,0.0,0.0,0.0
167,cicerofranklin,0.0,30.0,1.0,0.0,0.0,0.0
168,navegasas,0.0,27.0,6.0,0.0,0.1666666666666666,0.0
169,educamais,0.0,16.666666666666668,4.333333333333333,0.0,0.0,0.0
170,escola,0.0,7.0,3.0,0.0,0.0,0.0
171,herciliovilanova,0.0,6.0,2.0,0.0,0.0,0.0
172,albertocabral,0.0,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0
173,sobral,0.0,2.0,1.0,0.0,0.0,0.0
174,josesoares,0.0,1.5,1.5,0.0,0.0,0.0
175,venceslauchaves,0.0,1.0,1.0,0.0,0.0,0.0
176,saea,0.0,0.0,0.0,0.0,0.0,0.0
177,serios,0.0,0.0,0.0,0.0,0.0,0.0
178,redefilhasdejesus,0.0,0.0,0.0,0.0,0.0,0.0
179,saseducacao,0.0,0.0,0.0,0.0,0.02,0.0
180,mariacarmo,0.0,0.0,0.0,0.0,0.0,0.0
181,objetivoteresina,0.0,0.0,0.0,0.0,0.0238095238095238,0.5
182,esmg,0.0,0.0,0.0,0.0,0.0,0.0
183,engenhomoscou,0.0,0.0,0.0,0.0,0.0,0.0
184,domhelder,0.0,0.0,0.0,0.0,0.0,0.0
185,colegiosaoluis,0.0,0.0,0.0,0.0,0.0,0.0
186,mobile,0.0,0.0,0.0,0.0,0.0,0.0
187,arena,0.0,0.0,0.0,0.0,0.0,0.0
188,mariamerces,0.0,0.0,0.0,0.0,0.0,0.0
189,marialeao,0.0,0.0,0.0,0.0,0.0,0.0
190,manoelqueiroz,0.0,0.0,0.0,0.0,0.0,0.0
191,manoelbatista,0.0,0.0,0.0,0.0,0.0,0.0
192,barraazul,0.0,0.0,0.0,0.0,0.0,0.0
193,joaoxxiii,0.0,0.0,0.0,0.0,0.0,0.0
194,ismart,0.0,0.0,0.0,0.0,0.0,0.8461538461538461
195,imaculada,0.0,0.0,0.0,0.0,0.0,0.0
196,acesso,0.0,0.0,0.0,0.0,0.0,0.0
197,acessocampolargokids,0.0,0.0,0.0,0.0,0.3705882352941176,3.0309278350515463
198,acessoemilianoperneta,0.0,0.0,0.0,0.0,0.0,0.0
199,albertsabin,0.0,0.0,0.0,0.0,0.0,0.0
200,alfacembilingue,0.0,0.0,0.0,0.0,0.0,0.0
201,alfeurosa,0.0,0.0,0.0,0.0,0.0,0.0
202,amais,0.0,0.0,0.0,0.0,0.0,0.0
203,amaismaker,0.0,0.0,0.0,0.0,0.0,0.0
204,apogeubenfica,0.0,0.0,0.0,0.0,0.0,0.0
205,apogeupousoalegre,0.0,0.0,0.0,0.0,0.0,0.0
206,apogeustoantonio1,0.0,0.0,0.0,0.0,0.0,0.0
207,aprovest,0.0,0.0,0.0,0.0,0.8588235294117647,0.9176470588235294
208,arlindocavalcanti,0.0,0.0,0.0,0.0,0.0,0.0
209,atmo,0.0,0.0,0.0,0.0,0.0,0.0
210,augustolaranja,0.0,0.0,0.0,0.0,0.0,0.0
211,avaliacaoapogeu,0.0,0.0,0.0,0.0,0.0,0.0
212,bahema,0.0,0.0,0.0,0.0,0.0,0.0
213,bertelsmann,0.0,0.0,0.0,0.0,0.0142857142857142,0.005050505050505
214,blueschooleducacional,0.0,0.0,0.0,0.0,0.0,0.0
215,boaviagem,0.0,0.0,0.0,0.0,0.0,0.0
216,borapassar,0.0,0.0,0.0,0.0,0.0,0.0
217,bosquemananciais,0.0,0.0,0.0,0.0,0.0,0.0
218,camerinocursos,0.0,0.0,0.0,0.0,0.0505263157894736,0.0478668054110301
219,capacitacaoinspira,0.0,0.0,0.0,0.0,0.0,0.0
220,catamaravita,0.0,0.0,0.0,0.0,0.0,0.0
221,catarinense,0.0,0.0,0.0,0.0,0.0,0.0
222,caur,0.0,0.0,0.0,0.0,0.0,0.0
223,cav,0.0,0.0,0.0,0.0,0.0,0.0
224,cbpdigital,0.0,0.0,0.0,0.0,0.6688787185354691,8.333333333333334
225,cecbdf,0.0,0.0,0.0,0.0,0.0,0.0
226,cepseguro,0.0,0.0,0.0,0.0,0.0,0.0
227,cfc,0.0,0.0,0.0,0.0,0.0,0.0
228,cfimaculadaconceicao,0.0,0.0,0.0,0.0,0.0,0.0
229,classea,0.0,0.0,0.0,0.0,0.0,0.0
230,cmdpii,0.0,0.0,0.0,0.0,0.0,0.5
231,cnslpb,0.0,0.0,0.0,0.0,0.2569867619247741,2.68824531516184
232,cognita,0.0,0.0,0.0,0.0,0.0,0.0
233,colegioalbertsabin,0.0,0.0,0.0,0.0,0.0,0.0
234,colegioalphaunis,0.0,0.0,0.0,0.0,0.533447265625,5.031716417910448
235,colegioanchietai,0.0,0.0,0.0,0.0,0.0,0.0
236,colegioanchietaii,0.0,0.0,0.0,0.0,0.0,0.0
237,colegiobatistaindependente,0.0,0.0,0.0,0.0,0.6659574468085107,20.372340425531917
238,colegiobianguloiv,0.0,0.0,0.0,0.0,0.0,0.0
239,colegiocognos,0.0,0.0,0.0,0.0,0.0,0.0
240,colegiodelta,0.0,0.0,0.0,0.0,0.0,0.0
241,colegiodompedrosegundo,0.0,0.0,0.0,0.0,0.5555555555555556,0.9166666666666666
242,colegioeccos,0.0,0.0,0.0,0.0,0.0,0.0
243,colegioeducallis,0.0,0.0,0.0,0.0,0.454656862745098,5.215175537938845
244,colegioitamarati,0.0,0.0,0.0,0.0,0.0,0.0
245,colegiomagnum,0.0,0.0,0.0,0.0,0.3377814845704754,0.8243512974051896
246,colegiomarilia,0.0,0.0,0.0,0.0,0.0,0.0
247,colegiomartinus,0.0,0.0,0.0,0.0,0.0,0.0
248,colegiomodelo,0.0,0.0,0.0,0.0,0.0,0.1568627450980392
249,colegiomundial,0.0,0.0,0.0,0.0,0.3629032258064516,0.56
250,colegionovageracao,0.0,0.0,0.0,0.0,0.2111111111111111,0.9819004524886876
251,colegionovopatio,0.0,0.0,0.0,0.0,0.5462962962962963,0.3877551020408163
252,colegiopadreeustaquio,0.0,0.0,0.0,0.0,0.0,0.0
253,colegiopassionista,0.0,0.0,0.0,0.0,0.0,0.0
254,colegiopioxii,0.0,0.0,0.0,0.0,0.0,0.0
255,colegioplanck,0.0,0.0,0.0,0.0,0.5830760849827492,3.079856972586412
256,colegioradar,0.0,0.0,0.0,0.0,0.0,0.0
257,colegiosaberviver,0.0,0.0,0.0,0.0,0.0,0.0
258,colegiosalesianorn,0.0,0.0,0.0,0.0,0.0,0.0
259,colegiosantadoroteia,0.0,0.0,0.0,0.0,0.0,0.0
260,colegiosaojudas,0.0,0.0,0.0,0.0,0.0,0.0
261,colegioser,0.0,0.0,0.0,0.0,0.2677496991576414,1.5455974842767295
262,colegiounidadejardim,0.0,0.0,0.0,0.0,0.0,0.0
263,colegioup,0.0,0.0,0.0,0.0,0.42110029431741,23.31896551724138
264,coleguium,0.0,0.0,0.0,0.0,0.0,0.0
265,colsantamaria,0.0,0.0,0.0,0.0,0.0,0.0
266,conib,0.0,0.0,0.0,0.0,0.0,0.0
267,contemporaneo,0.0,0.0,0.0,0.0,0.0,0.0
268,contemporaneolagoanova,0.0,0.0,0.0,0.0,0.6340198963149782,6.731137088204038
269,crb,0.0,0.0,0.0,0.0,0.2988708144669909,13.172704296545914
270,crescercampinas,0.0,0.0,0.0,0.0,0.4635271878127432,25.071748878923767
271,cruzeiro,0.0,0.0,0.0,0.0,0.0,0.0
272,culturainglesa,0.0,0.0,0.0,0.0,0.0,0.0
273,cursinhoeach,0.0,0.0,0.0,0.0,0.2040816326530612,1.0
274,cursoleopoldo,0.0,0.0,0.0,0.0,0.251937984496124,0.46484375
275,cursoprogressao,0.0,0.0,0.0,0.0,0.1666666666666666,0.0031446540880503
276,dantealighieri,0.0,0.0,0.0,0.0,0.0,0.0
277,darwin,0.0,0.0,0.0,0.0,0.0,0.0
278,delta,0.0,0.0,0.0,0.0,0.0,0.0
279,deltaeducacional,0.0,0.0,0.0,0.0,0.3510540788267644,1.4901960784313726
280,demo,0.0,0.0,0.0,0.0,0.0,0.0
281,dionysia,0.0,0.0,0.0,0.0,0.0,0.0
282,dokimos,0.0,0.0,0.0,0.0,0.0,0.0
283,dombosco,0.0,0.0,0.0,0.0,0.0,0.0
284,dominius,0.0,0.0,0.0,0.0,0.0,0.0
285,dommga,0.0,0.0,0.0,0.0,0.5460526315789473,2.631578947368421
286,domus,0.0,0.0,0.0,0.0,0.3856209150326797,1.2156862745098038
287,educandarioterciocorreia,0.0,0.0,0.0,0.0,0.3817863397548161,9.631067961165048
288,eduqo,0.0,0.0,0.0,0.0,0.0,0.0
289,elitecuritiba,0.0,0.0,0.0,0.0,0.1438721136767318,0.0
290,eluneonline,0.0,0.0,0.0,0.0,0.3333333333333333,0.1388888888888889
291,elvirabrandao,0.0,0.0,0.0,0.0,0.0,0.0
292,ensinando,0.0,0.0,0.0,0.0,0.0,0.0
293,equipe,0.0,0.0,0.0,0.0,0.0,0.75
294,equipea,0.0,0.0,0.0,0.0,0.0,0.0
295,escolaalpha,0.0,0.0,0.0,0.0,0.0,0.0
296,escolacastanheiras,0.0,0.0,0.0,0.0,0.0,0.0
297,escoladomingossavio,0.0,0.0,0.0,0.0,0.0,0.0
298,escolaidaam,0.0,0.0,0.0,0.0,0.0,0.0
299,escolainternacional,0.0,0.0,0.0,0.0,0.0,0.0
300,escolajardimdasnacoes,0.0,0.0,0.0,0.0,0.0,0.0
301,escolapresbiterianadecanal,0.0,0.0,0.0,0.0,0.0,0.0
302,escreva,0.0,0.0,0.0,0.0,0.0,0.0
303,estantemagica,0.0,0.0,0.0,0.0,0.0,0.0
304,estreladamanha,0.0,0.0,0.0,0.0,0.0,0.0
305,forumcultural,0.0,0.0,0.0,0.0,0.0,0.0
306,franciscanopioxii,0.0,0.0,0.0,0.0,0.0,0.0
307,garra,0.0,0.0,0.0,0.0,0.3833333333333333,2.5
308,gaylussac,0.0,0.0,0.0,0.0,0.0,0.0
309,grandepasso,0.0,0.0,0.0,0.0,0.0,0.0
310,idaam,0.0,0.0,0.0,0.0,0.4755747126436782,0.1363316936050597
311,igmk,0.0,0.0,0.0,0.0,0.0,0.0
312,implantacao,0.0,0.0,0.0,0.0,0.0,0.000656275635767
313,institutoauxiliadoradf,0.0,0.0,0.0,0.0,0.19140625,1.5616438356164384
314,institutocristao,0.0,0.0,0.0,0.0,0.1308539944903581,0.9574468085106383
315,institutoideia,0.0,0.0,0.0,0.0,0.0,0.0
316,institutomariaauxiliadora,0.0,0.0,0.0,0.0,0.0,0.0
317,institutosaojose,0.0,0.0,0.0,0.0,0.0747663551401869,1.7118644067796611
