,namespace,Semana,Porcentagem de visualização de relatórios de SE por alunos
277,progressaoig,26,0.15384615384615385
278,santoamerico,32,0.1527887919640497
279,santoamerico,33,0.15221302626844188
280,acessopinhais,31,0.1511627906976744
281,colegiosete,28,0.15047725996631106
282,colegiouniverso,24,0.1503267973856209
283,anossaatmosfera,32,0.15
284,ceprimeiromundo,26,0.14984709480122324
285,overmarciliofurtado,33,0.1494661921708185
286,colegioeag,25,0.14846625766871166
287,acessosjpinhais,26,0.1476510067114094
288,colegioensitec,33,0.14732142857142858
289,colegiobilac,26,0.14705882352941177
290,colegioeag,32,0.1460775473399459
291,colegioensitec,32,0.14578005115089515
292,colegiocb,36,0.14549180327868852
293,stellamarisjuveve,34,0.14522821576763487
294,acessoboqueirao,35,0.14507772020725387
295,portinari,37,0.14340344168260039
296,colegiointegral,28,0.1429569266589057
297,lidera,26,0.14285714285714285
298,abiliomartins,33,0.14285714285714285
299,liessinbarra,28,0.14285714285714285
300,profederal,24,0.14242077128675068
301,elitecuritibaemilianoperneta,31,0.14201183431952663
302,universitariolondrina,24,0.14045746962115796
303,acessopinhais,24,0.14040114613180515
304,einsteinassis,25,0.14035087719298245
305,santoamerico,25,0.14031971580817051
306,physicsconselheirofurtado,33,0.13989637305699482
307,amadeus,33,0.13895781637717122
308,overmarciliofurtado,34,0.13836477987421383
309,acessoboqueirao,31,0.13829787234042554
310,faculdadeflamingo,29,0.13829787234042554
311,colegioeag,33,0.13812154696132597
312,porto,34,0.13734939759036144
313,integra,33,0.13725490196078433
314,progressaodc,30,0.13714285714285715
315,overabelcabral,31,0.13694267515923567
316,progressaoig,34,0.13675213675213677
317,profederal,28,0.13636363636363635
318,integradaeducativa,35,0.13586606567933032
319,senhorbonfim,31,0.13559322033898305
320,acessoalmirantetamandare,33,0.13513513513513514
321,colegioeag,26,0.1346153846153846
322,universitariolondrina,32,0.1340666895840495
323,physicsalcindocacela,36,0.13399503722084366
324,elitecuritibaemilianoperneta,25,0.13333333333333333
325,acessoboqueirao,24,0.1331877729257642
326,acessocampolargo,32,0.13225806451612904
327,colegiointegral,33,0.13201928530913215
328,colegiocb,33,0.13178294573643412
329,alpha,33,0.13177670424047236
330,colegiodasamericas,32,0.1311881188118812
331,antoniomelo,34,0.13114754098360656
332,mariliamattoso,32,0.13076923076923078
333,colegiosete,30,0.13063973063973064
334,overabelcabral,30,0.13053097345132744
335,professoratalitha,34,0.13043478260869565
336,colegiointegral,31,0.12948981926332648
337,ipdhsolucoes,30,0.12928759894459102
338,santoamerico,24,0.12903225806451613
339,progressaodc,33,0.12811387900355872
340,acessopinhais,34,0.12429378531073447
341,objetivolorena,32,0.12395709177592372
342,anossaatmosfera,33,0.12378640776699029
343,acessoboqueirao,34,0.12346477052359406
344,acessopinhais,35,0.12333333333333334
345,qescola,25,0.12307692307692308
346,progressaodc,32,0.12295081967213115
