,namespace,Semana,Porcentagem de engajamento em série de exercícios
70,acessopinhais,30,0.24087591240875914
89,acessosantafelicidade,37,0.24050632911392406
728,physicscidadenova,31,0.24031124877238044
287,colegioecursodesafio,30,0.24011702047858374
99,acessosjpinhais,35,0.23946716232961587
343,colegioguilhermedealmeida,33,0.23909113663542564
938,villalobos,24,0.23878509341592566
355,colegioiguatemy,35,0.23851123481370118
720,physicsbatistacampos,33,0.23829470022363422
722,physicsbatistacampos,35,0.23828613302297513
757,physicsumarizal,37,0.23809523809523808
335,colegioglobal,31,0.23711340206185566
460,eccos,37,0.23706896551724138
442,eacorcovado,30,0.2369732058704726
652,overmarciliofurtado,28,0.23636363636363636
396,colegiosete,34,0.23589949211440792
813,progressaoig,24,0.23535762483130904
284,colegioeag,36,0.23466257668711657
631,objetivolorena,35,0.2345328282828283
589,macvest,25,0.2334841628959276
249,colegiobrasilia,36,0.23194548125316058
125,alpha,34,0.23174766141911932
928,universobarcarena,32,0.23094170403587444
329,colegioflamingo,35,0.23050359712230215
532,insa,30,0.22986443381180224
721,physicsbatistacampos,34,0.2292232482346551
383,colegiopremium,24,0.22883597883597884
603,mariliamattoso,31,0.2286168521462639
715,physicsbatistacampos,24,0.22827605476390053
346,colegioguilhermedealmeida,36,0.22678744742801682
291,colegioecursodesafio,34,0.22652678905957288
508,gamt,26,0.22625698324022347
943,villalobos,29,0.22549019607843138
331,colegioflamingo,37,0.22524752475247525
327,colegioflamingo,33,0.22392638036809817
211,cem,36,0.2235294117647059
232,colegiobilac,31,0.22279129321382843
254,colegiocb,27,0.22257383966244726
611,mesalva,30,0.2222222222222222
810,progressaodc,33,0.2212756159336864
731,physicscidadenova,34,0.22087668429131843
325,colegioflamingo,31,0.22073921971252566
138,amadeus,37,0.22032113714135299
693,physicsalcindocacela,36,0.21950207468879668
241,colegiobrasilia,28,0.21937321937321938
67,acessopinhais,25,0.21918514698298092
626,objetivolorena,24,0.2185430463576159
815,progressaoig,26,0.21794871794871795
703,physicsalmirantebarroso,36,0.21772248317887521
717,physicsbatistacampos,26,0.2175459395376408
742,physicsmacapa,31,0.21717948717948718
862,senhorbonfim,32,0.21666666666666667
412,colegiouniverso,32,0.21621621621621623
730,physicscidadenova,33,0.213852994717837
773,portinari,35,0.21295185540626999
29,acessoboqueirao,34,0.2126532175689479
3,abdiasmartins,34,0.21212121212121213
630,objetivolorena,34,0.21110393802453195
828,psantagema,34,0.2110215053763441
389,colegiosete,27,0.2109375
